setup,fcp,order,part_number,report_date,report_time,part_contact,weld_up_set,angle_deviation,displacement_torque_rises,torque_peak,end_position
new,91.5,1,P34235232G_72023050330AFL,2-Feb-23,17:37:57,42.648,2.414,-0.34,0,462,45.062
new,91.5,2,P34235232G_72023050330AFC,2-Feb-23,17:38:32,42.806,2.378,-0.18,0.058,467,45.184
new,91.5,3,P34235232G_72023050330AFJ,2-Feb-23,17:38:44,42.638,2.268,-0.22,0.064,452,44.906
new,91.5,4,P34235232G_72023050330AFN,2-Feb-23,17:39:07,42.716,2.23,-0.32,0,433,44.946
new,91.5,5,P34235232G_72023050330AFK,2-Feb-23,17:39:19,42.754,2.35,-0.23,0.054,455,45.104
new,91.5,6,P34235232G_72023050330AFH,2-Feb-23,17:39:31,42.73,2.298,-0.49,0.128,470,45.028
new,91.5,7,P34235232G_72023050330AFG,2-Feb-23,17:39:43,42.788,2.31,-0.13,0.136,435,45.098
new,91.5,8,P34235232G_72023050330AFD,2-Feb-23,17:39:54,42.826,2.256,-0.13,0.068,448,45.082
new,91.5,9,P34235232G_72023050330AFB,2-Feb-23,17:40:06,42.814,2.506,0.13,0.072,464,45.32
new,91.5,10,P34235232G_72023050330AFF,2-Feb-23,17:40:51,42.816,2.308,-0.2,0.078,448,45.124
new,91.5,11,P34235232G_72023050330AFE,2-Feb-23,17:41:30,42.686,2.26,-0.28,0,466,44.946
new,91.5,12,P34235232G_72023050330AF7,2-Feb-23,17:42:30,42.426,2.198,-0.16,0.046,455,44.624
new,91.5,13,P34235232G_72023050330AF3,2-Feb-23,17:43:11,42.48,2.242,-0.27,0,466,44.722
new,91.5,14,P34235232G_72023050330AF8,2-Feb-23,17:43:32,42.444,2.068,-0.11,0.042,443,44.512
new,91.5,15,P34235232G_72023050330AEZ,2-Feb-23,17:44:10,42.434,2.148,-0.06,0,458,44.582
new,91.7,16,P34235232G_72023050330AFA,2-Feb-23,17:48:54,42.492,2.118,-0.19,0.04,461,44.61
new,91.7,17,P34235232G_72023050330AE4,2-Feb-23,17:49:12,42.538,2.086,-0.18,0.104,461,44.624
new,91.7,18,P34235232G_72023050330AEB,2-Feb-23,17:49:25,42.422,2.114,-0.12,0.068,457,44.536
new,91.7,19,P34235232G_72023050330AEF,2-Feb-23,17:49:37,42.534,2.162,-0.34,0.054,453,44.696
new,91.7,20,P34235232G_72023050330AEK,2-Feb-23,17:53:35,42.572,2.124,-0.27,0.106,476,44.696
new,91.7,21,P34235232G_72023050330AEP,2-Feb-23,17:54:04,42.538,2.058,-0.3,0.06,459,44.596
new,91.7,22,P34235232G_72023050330AFM,2-Feb-23,17:54:18,42.448,2.066,-0.26,0.032,467,44.514
new,91.7,23,P34235232G_72023050330AE5,2-Feb-23,17:54:30,42.6,2.166,-0.14,0.11,465,44.766
new,91.7,24,P34235232G_72023050330AEA,2-Feb-23,17:54:50,42.454,2.142,-0.27,0.06,468,44.596
new,91.7,25,P34235232G_72023050330AE9,2-Feb-23,17:55:01,42.456,2.11,-0.02,0.052,465,44.566
new,91.7,26,P34235232G_72023050330AE6,2-Feb-23,17:55:13,42.572,2.154,-0.28,0.118,444,44.726
new,91.7,27,P34235232G_72023050330AE8,2-Feb-23,17:55:24,42.486,2.052,-0.17,0.054,476,44.538
new,91.7,28,P34235232G_72023050330AEC,2-Feb-23,17:55:36,42.458,2.022,-0.15,0.074,471,44.48
new,91.7,29,P34235232G_72023050330AED,2-Feb-23,17:56:05,42.538,1.84,-0.2,0.054,442,44.378
new,91.7,30,P34235232G_72023050330AEG,2-Feb-23,17:56:34,42.508,2.074,-0.3,0.054,453,44.582
new,91.9,31,P34235232G_72023050330AEE,2-Feb-23,18:00:55,42.456,1.98,-0.34,0.034,453,44.436
new,91.9,32,P34235232G_72023050330AEV,2-Feb-23,18:01:09,42.356,2.194,-0.18,0,478,44.55
new,91.9,33,P34235232G_72023050330AEL,2-Feb-23,18:01:21,42.438,1.926,-0.16,0,453,44.364
new,91.9,34,P34235232G_72023050330AER,2-Feb-23,18:01:33,42.412,1.948,-0.27,0.036,461,44.36
new,91.9,35,P34235232G_72023050330AEJ,2-Feb-23,18:01:45,42.536,1.96,-0.29,0.102,476,44.496
new,91.9,36,P34235232G_72023050330AEH,2-Feb-23,18:01:56,42.464,2.122,-0.12,0.052,478,44.586
new,91.9,37,P34235232G_72023050330AEM,2-Feb-23,18:02:09,42.51,2.1,-0.29,0.042,477,44.61
new,91.9,38,P34235232G_72023050330AEN,2-Feb-23,18:02:22,42.452,2.022,-0.13,0.054,440,44.474
new,91.9,39,P34235232G_72023050330AES,2-Feb-23,18:02:34,42.482,2.038,-0.16,0.05,478,44.52
new,91.9,40,P34235232G_72023050330AF4,2-Feb-23,18:04:12,42.514,1.824,-0.12,0.052,460,44.338
new,91.9,41,P34235232G_72023050330AEW,2-Feb-23,18:04:42,42.454,1.858,-0.09,0.042,446,44.312
new,91.9,42,P34235232G_72023050330AF0,2-Feb-23,18:05:19,42.446,1.856,-0.25,0.068,465,44.302
new,91.9,43,P34235232G_72023050330AF9,2-Feb-23,18:05:36,42.46,2.082,-0.13,0.05,468,44.542
new,91.9,44,P34235232G_72023050330AF5,2-Feb-23,18:05:54,42.432,1.9,-0.15,0.028,464,44.332
new,91.9,45,P34235232G_72023050330AF6,2-Feb-23,18:06:13,42.412,1.792,-0.19,0.052,449,44.204
mid,91.5,1,P34235231G_72023080540BMJ,23-Feb-23,17:00:32,42.918,2.228,-0.25,0,393,45.146
mid,91.5,2,P34235231G_72023080540BMK,23-Feb-23,17:00:44,42.92,2.736,-0.58,0.042,425,45.656
mid,91.5,3,P34235231G_72023080540BML,23-Feb-23,17:01:28,42.852,2.186,-0.52,0.058,423,45.038
mid,91.5,4,P34235231G_72023080540BMP,23-Feb-23,17:04:56,42.864,2.252,-0.77,0.046,434,45.116
mid,91.5,5,P34235231G_72023080540BMM,23-Feb-23,17:05:16,42.846,2.244,-1.05,0.038,424,45.09
mid,91.5,6,P34235231G_72023080540BMN,23-Feb-23,17:05:28,42.714,2.12,-0.23,0,443,44.834
mid,91.5,7,P34235231G_72023080540BMH,23-Feb-23,17:05:53,42.75,2.312,-0.39,0,422,45.062
mid,91.5,8,P34235231G_72023080540BMG,23-Feb-23,17:06:05,42.844,2.194,-0.17,0.022,428,45.038
mid,91.5,9,P34235231G_72023080540BMC,23-Feb-23,17:06:17,42.816,2.094,-0.22,0.038,423,44.91
mid,91.5,10,P34235231G_72023080540BMD,23-Feb-23,17:08:10,42.85,2.432,-0.73,0.042,435,45.282
mid,91.5,11,P34235231G_72023080540BMF,23-Feb-23,17:08:51,42.88,2.218,-0.62,0.032,420,45.098
mid,91.5,12,P34235231G_72023080540BM8,23-Feb-23,17:09:03,43.086,2.394,-0.75,0.082,448,45.48
mid,91.5,13,P34235231G_72023080540BM9,23-Feb-23,17:09:30,42.946,1.976,0.07,0.036,434,44.922
mid,91.5,14,P34235231G_72023080540BME,23-Feb-23,17:10:49,42.834,2.296,-0.55,0.048,448,45.13
