TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\13-MARZO-2023 3T\L-716-2 34356608B INICIO 2T PZA 1.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 09-98 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-13-2023"
"TESTTIME","18:40:27"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",3.966377
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",488.2142
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","544967"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","13-MARZO-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT","p34356608b*71623110720b8v"
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",4
"MINLOAD",.5
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.3
"LIMLOLOADIDX",1
"LIMLOLOAD",1.3
"LIMHILOADIDX",0
"LIMHILOAD",1.7
"LIMHILOADIDX",1
"LIMHILOAD",1.7
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.512382E-04,5.605766E-03,0,0,""
.7918242,2.580355E-02,0,0,""
1.236752,2.830741E-02,0,0,""
1.644201,3.548514E-02,0,0,""
2.503535,4.166133E-02,0,0,""
2.912522,4.399826E-02,0,0,""
3.334977,5.050828E-02,0,0,""
3.879372,5.468138E-02,0,0,""
4.389927,5.451445E-02,0,0,""
4.814907,5.384676E-02,0,0,""
5.361918,5.601677E-02,0,0,""
5.86904,.0561837,0,0,""
6.293221,5.668446E-02,0,0,""
6.84524,.0570183,0,0,""
7.349019,.0570183,0,0,""
7.776597,.0570183,0,0,""
8.321815,5.868755E-02,0,0,""
8.829875,6.302757E-02,0,0,""
9.291324,6.619913E-02,0,0,""
9.907656,7.604764E-02,0,0,""
10.4165,8.673077E-02,0,0,""
10.83819,9.774774E-02,0,0,""
11.39192,.1052593,0,0,""
11.89564,.1126039,0,0,""
12.3198,.1132716,0,0,""
12.87356,.1137724,0,0,""
13.37644,.114607,0,0,""
13.80318,.121284,0,0,""
14.35014,.1331356,0,0,""
14.85811,.1461557,0,0,""
15.28228,.163015,0,0,""
15.82755,.169525,0,0,""
16.28728,.1708604,0,0,""
16.76481,.1715281,0,0,""
17.31007,.1780381,0,0,""
17.81895,.1982359,0,0,""
18.24225,.2164306,0,0,""
18.79429,.226446,0,0,""
19.29894,.2277814,0,0,""
19.72303,.2382976,0,0,""
20.26999,.2731847,0,0,""
20.7797,.2848693,0,0,""
21.20645,.2850362,0,0,""
21.76013,.3059018,0,0,""
22.26051,.336282,0,0,""
22.68297,.340622,0,0,""
23.28499,.3541429,0,0,""
23.73963,.3868599,0,0,""
24.16726,.3983776,0,0,""
24.7142,.399713,0,0,""
25.22305,.432597,0,0,""
25.64808,.4532955,0,0,""
26.1908,.4563001,0,0,""
26.70212,.4936911,0,0,""
27.12549,.5120527,0,0,""
27.67328,.5397621,0,0,""
28.18379,.5691406,0,0,""
28.61053,.5913417,0,0,""
29.15667,.6262289,0,0,""
29.67985,.6644544,0,0,""
30.12688,.6863214,0,0,""
30.74158,.7404047,0,0,""
31.24957,.7883118,0,0,""
31.67544,.8091773,0,0,""
32.21813,.8544136,0,0,""
32.72951,.9051583,0,0,""
