TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\13-MARZO-2023 3T\L-716-2 34356608B INICIO 2T PZA 2.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 09-98 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-13-2023"
"TESTTIME","18:43:13"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",3.953023
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",503.9935
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","544967"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","13-MARZO-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT","p34356608b*71623110720b97"
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",4
"MINLOAD",.5
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.3
"LIMLOLOADIDX",1
"LIMLOLOAD",1.3
"LIMHILOADIDX",0
"LIMHILOAD",1.7
"LIMHILOADIDX",1
"LIMHILOAD",1.7
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.027916E-04,1.662274E-02,0,0,""
.5867556,3.915747E-02,0,0,""
1.026954,3.949131E-02,0,0,""
1.433488,4.166132E-02,0,0,""
2.292823,.0478375,0,0,""
2.700828,5.301213E-02,0,0,""
3.559382,5.284522E-02,0,0,""
4.070809,5.618368E-02,0,0,""
4.497539,5.685139E-02,0,0,""
5.042782,5.618368E-02,0,0,""
5.552526,5.584985E-02,0,0,""
5.977469,5.668446E-02,0,0,""
6.519333,5.534907E-02,0,0,""
7.031566,5.685139E-02,0,0,""
7.455752,5.685139E-02,0,0,""
8.002697,5.668446E-02,0,0,""
8.513234,5.751908E-02,0,0,""
8.974664,5.835371E-02,0,0,""
9.594448,6.653298E-02,0,0,""
10.09821,6.786837E-02,0,0,""
10.52489,7.537994E-02,0,0,""
11.07102,.09057,0,0,""
11.58495,9.023616E-02,0,0,""
12.00153,.1004185,0,0,""
12.55439,.108097,0,0,""
13.05905,.1117693,0,0,""
13.48576,.1136055,0,0,""
14.03019,.1137724,0,0,""
14.54071,.1149409,0,0,""
14.96907,.114774,0,0,""
15.51433,.1232871,0,0,""
15.96902,.1328018,0,0,""
16.44481,.1526657,0,0,""
16.99767,.1661866,0,0,""
17.50148,.1701927,0,0,""
17.929,.1708604,0,0,""
18.47423,.1725297,0,0,""
18.98227,.1822113,0,0,""
19.40479,.2074167,0,0,""
19.95766,.2271137,0,0,""
20.46141,.2276145,0,0,""
20.88987,.2317876,0,0,""
21.43429,.2666746,0,0,""
21.94564,.2832001,0,0,""
22.36894,.2850363,0,0,""
22.93115,.303231,0,0,""
23.35785,.334112,0,0,""
23.84724,.3416236,0,0,""
24.40097,.3671629,0,0,""
24.90384,.3967084,0,0,""
25.33059,.4008815,0,0,""
25.87838,.4434471,0,0,""
26.38551,.4557994,0,0,""
26.80803,.4699879,0,0,""
27.3609,.5110511,0,0,""
27.86556,.5190635,0,0,""
28.29144,.5641329,0,0,""
28.83752,.5913417,0,0,""
29.34636,.6268966,0,0,""
29.76965,.669629,0,0,""
30.31405,.6966707,0,0,""
30.76111,.7394031,0,0,""
31.25131,.7863087,0,0,""
31.79744,.8248681,0,0,""
32.30797,.857919,0,0,""
