TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\16-MARZO-2023 1T\L-716-2 34368404A 1T C MODELO #1.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 09-98 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-16-2023"
"TESTTIME","15:57:14"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",3.999717
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",464.5261
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","16-MARZO-2023 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34368404a*716231107507jt"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",4
"MINLOAD",.5
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.3
"LIMLOLOADIDX",1
"LIMLOLOAD",1.3
"LIMHILOADIDX",0
"LIMHILOAD",1.7
"LIMHILOADIDX",1
"LIMHILOAD",1.7
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.270149E-04,1.607853E-02,0,0,""
.4842606,4.111712E-02,0,0,""
1.236764,4.695945E-02,0,0,""
1.660334,4.762715E-02,0,0,""
2.103802,5.129948E-02,0,0,""
2.612674,6.582186E-02,0,0,""
3.018245,6.849264E-02,0,0,""
3.438211,7.249881E-02,0,0,""
3.986827,7.299957E-02,0,0,""
4.494838,7.350034E-02,0,0,""
4.917366,7.583728E-02,0,0,""
5.470263,8.902426E-02,0,0,""
5.976604,.1123936,0,0,""
6.398998,.1190706,0,0,""
6.946778,.1290861,0,0,""
7.457357,.1297537,0,0,""
7.879806,.131423,0,0,""
8.446232,.1406038,0,0,""
8.977916,.1634723,0,0,""
9.58838,.1846716,0,0,""
10.10316,.1870086,0,0,""
10.52478,.1940194,0,0,""
11.07257,.2335805,0,0,""
11.58312,.2429283,0,0,""
12.0065,.2462667,0,0,""
12.54919,.2831569,0,0,""
13.06311,.3001831,0,0,""
13.48559,.3095309,0,0,""
14.03337,.3534318,0,0,""
14.54644,.3636142,0,0,""
14.98086,.403509,0,0,""
15.62426,.4227052,0,0,""
16.16527,.4707793,0,0,""
16.78337,.5058332,0,0,""
17.29642,.5320403,0,0,""
17.71639,.5769429,0,0,""
18.26503,.6101607,0,0,""
18.77219,.6437124,0,0,""
19.19555,.6936225,0,0,""
19.75012,.7273412,0,0,""
20.25645,.7615605,0,0,""
20.67636,.8101353,0,0,""
21.22668,.8445216,0,0,""
21.74993,.8735664,0,0,""
22.15969,.9189697,0,0,""
22.71088,.9379991,0,0,""
23.25272,.983903,0,0,""
23.86743,1.035483,0,0,""
24.37794,1.059853,0,0,""
24.80383,1.096744,0,0,""
25.35079,1.142481,0,0,""
25.85794,1.160675,0,0,""
26.28299,1.208416,0,0,""
26.82738,1.221436,0,0,""
27.3396,1.261497,0,0,""
27.76125,1.267674,0,0,""
28.31073,1.268341,0,0,""
28.82465,1.268341,0,0,""
29.2421,1.265504,0,0,""
29.79415,1.251148,0,0,""
30.33687,1.238462,0,0,""
30.95997,1.260496,0,0,""
31.46628,1.268341,0,0,""
31.88627,1.270845,0,0,""
32.43491,1.283031,0,0,""
32.94288,1.308737,0,0,""
33.36874,1.306901,0,0,""
33.91234,1.311241,0,0,""
34.42621,1.303229,0,0,""
34.84704,1.283198,0,0,""
35.4126,1.273516,0,0,""
35.9062,1.268842,0,0,""
36.33033,1.268174,0,0,""
36.88071,1.266004,0,0,""
37.42687,1.268341,0,0,""
38.03726,1.326598,0,0,""
38.5495,1.328434,0,0,""
38.97111,1.326097,0,0,""
39.52062,1.326431,0,0,""
40.03116,1.327266,0,0,""
40.45447,1.326097,0,0,""
40.99803,1.326097,0,0,""
41.51196,1.331272,0,0,""
41.93278,1.327934,0,0,""
42.48651,1.327767,0,0,""
42.99028,1.330104,0,0,""
43.41612,1.330437,0,0,""
43.96472,1.335612,0,0,""
44.5117,1.344292,0,0,""
45.12218,1.362487,0,0,""
45.63527,1.379846,0,0,""
46.05603,1.381849,0,0,""
46.60551,1.38235,0,0,""
47.11944,1.38235,0,0,""
47.53769,1.382183,0,0,""
48.08804,1.382016,0,0,""
48.59603,1.382016,0,0,""
49.03629,1.380681,0,0,""
49.67472,1.378177,0,0,""
50.18439,1.374505,0,0,""
50.60851,1.37751,0,0,""
51.1504,1.373837,0,0,""
51.59747,1.367494,0,0,""
52.0843,1.373003,0,0,""
52.63294,1.369831,0,0,""
53.14772,1.374839,0,0,""
53.56687,1.374505,0,0,""
54.11718,1.366827,0,0,""
54.62433,1.375173,0,0,""
55.04677,1.381349,0,0,""
55.60896,1.384354,0,0,""
56.10851,1.391698,0,0,""
56.52675,1.396706,0,0,""
57.07793,1.400211,0,0,""
57.58511,1.382684,0,0,""
58.00924,1.382183,0,0,""
58.59601,1.38235,0,0,""
59.06755,1.382684,0,0,""
59.48756,1.385021,0,0,""
60.03619,1.385021,0,0,""
60.54591,1.385689,0,0,""
60.97263,1.389361,0,0,""
61.51958,1.398208,0,0,""
62.02589,1.40355,0,0,""
62.46696,1.413566,0,0,""
63.10538,1.436768,0,0,""
63.61257,1.44428,0,0,""
64.03833,1.452125,0,0,""
64.58107,1.454796,0,0,""
65.09416,1.447284,0,0,""
65.55222,1.438938,0,0,""
66.17368,1.436601,0,0,""
66.67996,1.432094,0,0,""
67.10333,1.426252,0,0,""
67.65112,1.399377,0,0,""
68.16419,1.388193,0,0,""
68.58325,1.382851,0,0,""
69.15138,1.382183,0,0,""
69.64072,1.381015,0,0,""
70.06667,1.381683,0,0,""
70.61025,1.376007,0,0,""
71.12079,1.363989,0,0,""
71.5475,1.361485,0,0,""
72.09277,1.368663,0,0,""
72.53468,1.377676,0,0,""
73.02744,1.374338,0,0,""
73.57015,1.374839,0,0,""
74.08408,1.352137,0,0,""
74.50488,1.348131,0,0,""
75.05355,1.337114,0,0,""
75.56322,1.340787,0,0,""
76.00428,1.338116,0,0,""
76.63765,1.335779,0,0,""
77.1507,1.33628,0,0,""
77.57233,1.331272,0,0,""
78.12183,1.3281,0,0,""
78.62983,1.327934,0,0,""
79.05236,1.326431,0,0,""
79.63991,1.332774,0,0,""
80.11238,1.341621,0,0,""
80.53317,1.351136,0,0,""
81.08183,1.360984,0,0,""
81.59151,1.361318,0,0,""
82.01647,1.357646,0,0,""
82.55837,1.354307,0,0,""
83.07401,1.337615,0,0,""
83.49815,1.33628,0,0,""
84.0409,1.330938,0,0,""
84.55485,1.327433,0,0,""
84.97558,1.328768,0,0,""
85.52591,1.328101,0,0,""
86.03307,1.326598,0,0,""
86.49284,1.325597,0,0,""
87.11089,1.326097,0,0,""
87.62395,1.326097,0,0,""
88.0406,1.326265,0,0,""
88.59261,1.331105,0,0,""
89.09887,1.332107,0,0,""
89.53918,1.328768,0,0,""
90.17838,1.344125,0,0,""
90.68557,1.333108,0,0,""
91.11057,1.326264,0,0,""
91.65415,1.32543,0,0,""
92.16724,1.326765,0,0,""
92.58882,1.327767,0,0,""
93.13913,1.326598,0,0,""
93.68695,1.327266,0,0,""
94.30333,1.328768,0,0,""
94.81049,1.326431,0,0,""
95.2355,1.326264,0,0,""
95.77906,1.325764,0,0,""
96.30739,1.325764,0,0,""
96.94496,1.340119,0,0,""
97.45465,1.352137,0,0,""
97.8805,1.346796,0,0,""
98.42828,1.347297,0,0,""
98.93545,1.353974,0,0,""
99.35709,1.349633,0,0,""
99.90488,1.344125,0,0,""
100.4154,1.341121,0,0,""
100.8794,1.368663,"","",""
101.4907,1.35798,"","",""
102.0046,1.342456,"","",""
102.4237,1.337114,"","",""
102.9893,1.333275,"","",""
103.482,1.331773,"","",""
103.9071,1.329937,"","",""
104.4498,1.33244,"","",""
104.9629,1.330437,"","",""
105.3862,1.340953,"","",""
105.9332,1.360317,"","",""
106.4463,1.363321,"","",""
106.8662,1.363321,"","",""
107.4165,1.343124,"","",""
107.9609,1.331606,"","",""
108.5807,1.335946,"","",""
109.0879,1.338283,"","",""
109.5086,1.336614,"","",""
110.0725,1.33411,"","",""
110.5712,1.339618,"","",""
110.9911,1.338116,"","",""
111.5423,1.336113,"","",""
112.052,1.332441,"","",""
112.4719,1.337615,"","",""
113.018,1.348799,"","",""
113.5286,1.363321,"","",""
113.952,1.376842,"","",""
114.5023,1.379346,"","",""
115.045,1.37584,"","",""
115.6656,1.36499,"","",""
116.1727,1.363822,"","",""
116.613,1.364156,"","",""
117.2514,1.352471,"","",""
117.7585,1.346963,"","",""
118.1844,1.345794,"","",""
118.728,1.339451,"","",""
119.2386,1.337281,"","",""
119.6652,1.33194,"","",""
120.2113,1.330604,"","",""
120.7185,1.335445,"","",""
121.1444,1.329102,"","",""
121.6879,1.329269,"","",""
122.1358,1.337114,"","",""
122.6278,1.346128,"","",""
123.1721,1.344125,"","",""
123.6852,1.333776,"","",""
124.1043,1.331272,"","",""
124.6546,1.332107,"","",""
125.1626,1.327099,"","",""
125.5869,1.328935,"","",""
126.1313,1.326932,"","",""
126.6418,1.328434,"","",""
127.0677,1.330604,"","",""
127.6146,1.330438,"","",""
128.1226,1.33194,"","",""
128.5451,1.333442,"","",""
129.1335,1.334444,"","",""
129.6068,1.336614,"","",""
130.0454,1.34496,"","",""
130.6829,1.359816,"","",""
131.1901,1.36232,"","",""
131.6125,1.364156,"","",""
132.1595,1.355977,"","",""
132.67,1.359148,"","",""
133.0959,1.349633,"","",""
133.6428,1.346629,"","",""
134.15,1.357145,"","",""
134.5742,1.361652,"","",""
135.1195,1.35197,"","",""
135.63,1.35798,"","",""
136.0949,1.351637,"","",""
136.7112,1.351803,"","",""
137.2184,1.345961,"","",""
137.6408,1.342456,"","",""
138.1946,1.341955,"","",""
138.7,1.3498,"","",""
139.1217,1.36015,"","",""
139.6728,1.360984,"","",""
140.1817,1.358981,"","",""
140.605,1.353973,"","",""
141.1477,1.353807,"","",""
141.6617,1.341621,"","",""
142.0816,1.347464,"","",""
142.6319,1.360984,"","",""
143.1797,1.368329,"","",""
143.8105,1.361652,"","",""
144.3032,1.365491,"","",""
144.7266,1.350301,"","",""
145.2803,1.353473,"","",""
145.7866,1.354641,"","",""
146.2058,1.35798,"","",""
146.7561,1.365658,"","",""
147.2632,1.376174,"","",""
147.6857,1.374672,"","",""
148.2386,1.372669,"","",""
148.744,1.368496,"","",""
149.1682,1.36499,"","",""
149.716,1.361151,"","",""
150.2655,1.367661,"","",""
150.8878,1.361485,"","",""
151.3881,1.361485,"","",""
151.8115,1.347964,"","",""
152.3635,1.339284,"","",""
152.8707,1.337114,"","",""
153.2915,1.334944,"","",""
153.841,1.332774,"","",""
154.3498,1.333275,"","",""
154.7748,1.340119,"","",""
155.3243,1.354474,"","",""
155.8315,1.358981,"","",""
156.254,1.365491,"","",""
156.8001,1.343291,"","",""
157.2607,1.341621,"","",""
157.7331,1.337615,"","",""
158.2842,1.34279,"","",""
158.7914,1.350802,"","",""
159.2139,1.354808,"","",""
159.7668,1.358647,"","",""
160.2714,1.358981,"","",""
160.6947,1.362654,"","",""
161.2442,1.357145,"","",""
161.7522,1.363154,"","",""
162.1747,1.366159,"","",""
162.7276,1.3715,"","",""
163.2339,1.381015,"","",""
163.6556,1.379513,"","",""
164.2211,1.377843,"","",""
164.647,1.37801,"","",""
165.1381,1.368997,"","",""
165.6884,1.359983,"","",""
166.1972,1.362987,"","",""
166.6205,1.363655,"","",""
167.1641,1.362319,"","",""
167.6763,1.357813,"","",""
168.0971,1.352471,"","",""
168.6492,1.349633,"","",""
169.158,1.35364,"","",""
169.5805,1.353974,"","",""
170.1241,1.354975,"","",""
170.6515,1.356978,"","",""
171.289,1.369497,"","",""
171.7344,1.377509,"","",""
172.2229,1.377843,"","",""
172.7724,1.372335,"","",""
173.2796,1.367995,"","",""
173.7029,1.363321,"","",""
174.255,1.361318,"","",""
174.7596,1.366326,"","",""
175.1863,1.36499,"","",""
175.7332,1.361652,"","",""
176.2446,1.362653,"","",""
176.6629,1.375506,"","",""
177.2157,1.374004,"","",""
177.7229,1.372335,"","",""
178.1454,1.372001,"","",""
178.727,1.38018,"","",""
179.2037,1.381683,"","",""
179.6253,1.381849,"","",""
180.1765,1.381849,"","",""
180.682,1.381015,"","",""
181.1054,1.381182,"","",""
181.6582,1.380848,"","",""
182.1628,1.379679,"","",""
182.5862,1.37801,"","",""
183.1356,1.38018,"","",""
183.6428,1.380514,"","",""
184.0661,1.381182,"","",""
184.6181,1.382016,"","",""
185.1245,1.382183,"","",""
185.5842,1.381516,"","",""
186.2031,1.381849,"","",""
186.7111,1.382183,"","",""
187.1344,1.385355,"","",""
187.6805,1.406221,"","",""
188.1911,1.393534,"","",""
188.6178,1.387692,"","",""
189.1639,1.386523,"","",""
189.6711,1.392866,"","",""
190.0961,1.39537,"","",""
190.6396,1.402214,"","",""
191.168,1.416403,"","",""
191.8047,1.431927,"","",""
192.3152,1.434264,"","",""
192.7801,1.435766,"","",""
193.3913,1.43827,"","",""
193.9044,1.439939,"","",""
194.3244,1.441108,"","",""
194.8738,1.449621,"","",""
195.3996,1.450956,"","",""
196.0388,1.440273,"","",""
196.546,1.439105,"","",""
196.9677,1.4361,"","",""
197.5214,1.419241,"","",""
198.0294,1.40355,"","",""
198.4485,1.388693,"","",""
198.9988,1.384187,"","",""
199.5068,1.383018,"","",""
199.9665,1.382517,"","",""
200.5829,1.38235,"","",""
201.0934,1.382016,"","",""
201.5176,1.382016,"","",""
202.0663,1.380514,"","",""
202.5751,1.382016,"","",""
202.9967,1.382183,"","",""
203.5437,1.382183,"","",""
204.0567,1.382183,"","",""
204.4928,1.382183,"","",""
205.1278,1.382183,"","",""
205.6409,1.382183,"","",""
206.0625,1.382183,"","",""
206.6111,1.381849,"","",""
207.1598,1.381683,"","",""
207.7761,1.381683,"","",""
208.2842,1.382016,"","",""
208.7075,1.382016,"","",""
209.2536,1.382183,"","",""
209.7642,1.382016,"","",""
210.1917,1.383519,"","",""
210.7361,1.382684,"","",""
211.2611,1.383018,"","",""
211.9011,1.383519,"","",""
212.4091,1.382183,"","",""
212.8317,1.381849,"","",""
213.3853,1.382684,"","",""
213.9264,1.382016,"","",""
214.5436,1.382183,"","",""
215.0525,1.382016,"","",""
215.4775,1.382016,"","",""
216.027,1.381849,"","",""
216.5341,1.382183,"","",""
216.9566,1.382183,"","",""
217.5095,1.382183,"","",""
218.031,1.381683,"","",""
218.6677,1.38235,"","",""
219.1766,1.38402,"","",""
219.599,1.38235,"","",""
220.1519,1.382684,"","",""
220.6938,1.382183,"","",""
221.3093,1.382183,"","",""
221.8199,1.381849,"","",""
222.2457,1.382016,"","",""
222.7926,1.38235,"","",""
223.3006,1.38235,"","",""
223.7257,1.382517,"","",""
224.2693,1.382684,"","",""
224.7984,1.382183,"","",""
225.4343,1.382183,"","",""
225.9558,1.382517,"","",""
226.3681,1.383352,"","",""
226.9193,1.387024,"","",""
227.4629,1.387024,"","",""
228.0826,1.382684,"","",""
228.5872,1.382851,"","",""
229.0123,1.387358,"","",""
229.5592,1.383018,"","",""
230.0697,1.382517,"","",""
230.4973,1.381849,"","",""
231.0443,1.382183,"","",""
231.57,1.382851,"","",""
232.2084,1.382183,"","",""
232.7148,1.382183,"","",""
233.1355,1.38235,"","",""
233.6841,1.38235,"","",""
234.2328,1.383853,"","",""
234.8492,1.386356,"","",""
235.3572,1.389528,"","",""
235.7805,1.385856,"","",""
236.3333,1.384019,"","",""
236.8371,1.383352,"","",""
237.2614,1.38402,"","",""
237.8091,1.383853,"","",""
238.3358,1.384186,"","",""
238.9741,1.384354,"","",""
239.4821,1.384687,"","",""
239.9047,1.38836,"","",""
240.4584,1.384854,"","",""
241.0002,1.388694,"","",""
241.6166,1.397374,"","",""
242.1254,1.411061,"","",""
242.5505,1.417739,"","",""
243.1017,1.411562,"","",""
243.6088,1.410728,"","",""
244.0339,1.403049,"","",""
244.5766,1.397874,"","",""
245.104,1.39487,"","",""
245.7416,1.387692,"","",""
246.2513,1.386356,"","",""
246.6755,1.386523,"","",""
247.2182,1.385522,"","",""
247.7304,1.383686,"","",""
248.1918,1.383519,"","",""
248.8099,1.38235,"","",""
249.3171,1.381849,"","",""
249.7404,1.382183,"","",""
250.2924,1.382851,"","",""
250.7987,1.385188,"","",""
251.2203,1.383185,"","",""
251.769,1.383853,"","",""
252.2778,1.383352,"","",""
252.7011,1.382851,"","",""
253.2464,1.383519,"","",""
253.7603,1.384019,"","",""
254.1828,1.383185,"","",""
254.7289,1.383853,"","",""
255.1726,1.384354,"","",""
255.662,1.387859,"","",""
256.2123,1.388193,"","",""
256.7212,1.384854,"","",""
257.1428,1.393534,"","",""
257.6973,1.405553,"","",""
258.2036,1.40789,"","",""
258.6388,1.406888,"","",""
259.2815,1.402381,"","",""
259.7869,1.389695,"","",""
260.2085,1.391364,"","",""
260.758,1.397207,"","",""
261.2677,1.398208,"","",""
261.6919,1.40138,"","",""
262.2761,1.400045,"","",""
262.7511,1.414233,"","",""
263.1753,1.406721,"","",""
263.718,1.406554,"","",""
264.2294,1.409225,"","",""
264.651,1.399043,"","",""
265.2014,1.401213,"","",""
265.7119,1.414901,"","",""
266.1318,1.417905,"","",""
266.6779,1.420743,"","",""
267.191,1.41657,"","",""
267.6118,1.406054,"","",""
268.1621,1.403884,"","",""
268.6743,1.409225,"","",""
269.1299,1.409392,"","",""
269.7462,1.41657,"","",""
270.2602,1.419742,"","",""
270.6801,1.415735,"","",""
271.2313,1.408557,"","",""
271.7419,1.406388,"","",""
272.1771,1.415568,"","",""
272.8146,1.428422,"","",""
273.3251,1.435099,"","",""
273.7485,1.434598,"","",""
274.2921,1.434932,"","",""
274.806,1.434932,"","",""
275.2267,1.434765,"","",""
275.7737,1.43777,"","",""
276.2164,1.435266,"","",""
276.7101,1.432762,"","",""
277.257,1.426919,"","",""
277.765,1.430759,"","",""
278.1884,1.431259,"","",""
278.7404,1.427253,"","",""
279.2484,1.428589,"","",""
279.6683,1.413899,"","",""
280.2186,1.408391,"","",""
280.7318,1.420409,"","",""
281.1483,1.425584,"","",""
281.7021,1.433596,"","",""
282.2092,1.436768,"","",""
282.6283,1.435433,"","",""
283.2125,1.433262,"","",""
283.6909,1.435933,"","",""
284.11,1.434598,"","",""
284.662,1.435933,"","",""
285.1708,1.435433,"","",""
285.5941,1.43777,"","",""
286.1394,1.435933,"","",""
286.6516,1.437102,"","",""
287.0716,1.43827,"","",""
287.6202,1.43777,"","",""
288.1291,1.438604,"","",""
288.5516,1.438604,"","",""
289.0969,1.438771,"","",""
289.6099,1.438771,"","",""
290.0688,1.436601,"","",""
290.6903,1.428255,"","",""
291.1992,1.42525,"","",""
291.6233,1.428422,"","",""
292.1652,1.428422,"","",""
292.6935,1.427921,"","",""
293.3319,1.423414,"","",""
293.8399,1.422579,"","",""
294.2674,1.420576,"","",""
294.8152,1.422246,"","",""
295.3224,1.418406,"","",""
295.7431,1.426085,"","",""
296.2909,1.436601,"","",""
296.7338,1.436768,"","",""
297.2273,1.437269,"","",""
297.7743,1.435099,"","",""
298.2814,1.428923,"","",""
298.7048,1.42525,"","",""
299.2686,1.42525,"","",""
299.764,1.421411,"","",""
300.1848,1.420576,"","",""
300.7343,1.423748,"","",""
301.2423,1.439272,"","",""
301.6665,1.437603,"","",""
302.2108,1.433263,"","",""
