TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\17-MARZO-2023 3T\L-716-2 34368404A 2T INICIO# 4.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 09-98 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-17-2023"
"TESTTIME","19:52:59"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",3.966385
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",486.233
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","548048"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT","qasn2307"
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","17-MARZO-2023 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34368404a*716231107607gj"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",4
"MINLOAD",.5
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.3
"LIMLOLOADIDX",1
"LIMLOLOAD",1.3
"LIMHILOADIDX",0
"LIMHILOAD",1.7
"LIMHILOADIDX",1
"LIMHILOAD",1.7
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.815174E-04,1.775421E-03,0,0,""
.6905586,1.396087E-02,0,0,""
1.131302,1.446164E-02,0,0,""
1.53826,1.930243E-02,0,0,""
2.398576,2.431014E-02,0,0,""
2.805867,2.547861E-02,0,0,""
3.774431,3.816484E-02,0,0,""
4.284168,3.916638E-02,0,0,""
4.710825,4.033484E-02,0,0,""
5.258667,4.450794E-02,0,0,""
5.768343,4.751258E-02,0,0,""
6.190895,4.717872E-02,0,0,""
6.732747,5.101797E-02,0,0,""
7.249212,5.302106E-02,0,0,""
7.667416,5.352183E-02,0,0,""
8.216063,5.452337E-02,0,0,""
8.725745,5.502415E-02,0,0,""
9.183778,5.485722E-02,0,0,""
9.816274,5.485722E-02,0,0,""
10.31156,5.485722E-02,0,0,""
10.7374,5.736108E-02,0,0,""
11.28438,5.585877E-02,0,0,""
11.79238,5.836263E-02,0,0,""
12.2157,6.253572E-02,0,0,""
12.76772,.0693796,0,0,""
13.27151,7.872733E-02,0,0,""
13.69823,8.707352E-02,0,0,""
14.24515,9.992666E-02,0,0,""
14.75315,.1047674,0,0,""
15.1757,.110109,0,0,""
15.72858,.1116113,0,0,""
16.26875,.1121121,0,0,""
16.88675,.112279,0,0,""
17.3973,.116786,0,0,""
17.82236,.1186221,0,0,""
18.37017,.1288045,0,0,""
18.87904,.1511723,0,0,""
19.29973,.1576823,0,0,""
19.85348,.1640254,0,0,""
20.35641,.1680316,0,0,""
20.78395,.1692,0,0,""
21.33003,.1707024,0,0,""
21.8389,.1828878,0,0,""
22.26138,.2025848,0,0,""
22.80666,.2201118,0,0,""
23.2672,.2239511,0,0,""
23.74218,.2252865,0,0,""
24.28996,.2301273,0,0,""
24.80053,.2464858,0,0,""
25.2256,.2703559,0,0,""
25.77509,.2817067,0,0,""
26.28138,.2840437,0,0,""
26.70383,.2943929,0,0,""
27.25669,.3254408,0,0,""
27.75961,.33796,0,0,""
28.18717,.3399631,0,0,""
28.73412,.3516478,0,0,""
29.24128,.3840311,0,0,""
29.66376,.3945473,0,0,""
30.27167,.3998889,0,0,""
30.72125,.4139105,0,0,""
31.14712,.4387821,0,0,""
31.69489,.4534714,0,0,""
32.20206,.4634869,0,0,""
