TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\16-MARZO-2023 1T\L-716-2 34270900C 1T C MODELO #4.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 900-37 WAVE DISC 16 IN-MINUTE Rev_3.par"
"TESTDATE","03-16-2023"
"TESTTIME","14:22:07"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.968824
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",473.4059
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","16-MARZO-2023 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34270900c*71623110740dn3"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.55
"LIMLOLOADIDX",1
"LIMLOLOAD",1.55
"LIMHILOADIDX",0
"LIMHILOAD",1.95
"LIMHILOADIDX",1
"LIMHILOAD",1.95
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
2.785683E-04,5.700444E-02,0,0,""
.6879788,5.750522E-02,0,0,""
1.134596,5.850676E-02,0,0,""
1.534869,6.034292E-02,0,0,""
2.401016,6.551756E-02,0,0,""
2.804958,7.569992E-02,0,0,""
3.22487,8.204302E-02,0,0,""
3.775199,9.522999E-02,0,0,""
4.280643,.1029085,0,0,""
4.706586,.1080831,0,0,""
5.250158,.1114216,0,0,""
5.659871,.1099193,0,0,""
6.079008,.112757,0,0,""
6.628447,.1140924,0,0,""
7.137312,.1150939,0,0,""
7.55809,.1204355,0,0,""
8.108432,.1344571,0,0,""
8.517401,.1494802,0,0,""
9.506293,.1703457,0,0,""
9.993981,.1710134,0,0,""
10.41647,.1753534,0,0,""
10.96933,.1992235,0,0,""
11.47309,.2245959,0,0,""
11.89895,.2276006,0,0,""
12.44593,.228936,0,0,""
12.95389,.2554769,0,0,""
13.3764,.2783455,0,0,""
13.92844,.2853563,0,0,""
14.43303,.305888,0,0,""
14.85975,.3397735,0,0,""
15.40499,.3432789,0,0,""
15.95532,.3845093,0,0,""
16.57003,.3995324,0,0,""
17.09328,.4372573,0,0,""
17.72909,.4571212,0,0,""
18.24134,.5068645,0,0,""
18.66636,.5128737,0,0,""
19.21247,.5684593,0,0,""
19.72214,.608688,0,0,""
20.14886,.6302212,0,0,""
20.6958,.6841375,0,0,""
21.20129,.7395563,0,0,""
21.62552,.7857942,0,0,""
22.17245,.8370398,0,0,""
22.68215,.8951292,0,0,""
23.1486,.9488787,0,0,""
23.77177,1.022158,0,0,""
24.26795,1.082752,0,0,""
24.69377,1.139506,0,0,""
25.24071,1.205608,0,0,""
25.74872,1.277385,0,0,""
26.1712,1.332136,0,0,""
26.72408,1.410757,0,0,""
27.23038,1.463171,0,0,""
27.65199,1.499394,0,0,""
28.19813,1.545632,0,0,""
28.71033,1.593538,0,0,""
29.13199,1.61791,0,0,""
29.69839,1.513582,0,0,""
30.12516,1.464841,0,0,""
30.63149,1.680005,0,0,""
31.26894,1.763969,0,0,""
31.77783,1.814546,0,0,""
32.2012,1.831906,0,0,""
32.75236,1.877811,0,0,""
33.25783,1.88165,0,0,""
33.68787,1.884989,0,0,""
34.22891,1.878646,0,0,""
34.73859,1.868463,0,0,""
35.16111,1.823059,0,0,""
35.71228,1.780995,0,0,""
36.21944,1.763468,0,0,""
36.64275,1.744939,0,0,""
37.24476,1.753786,0,0,""
37.70023,1.764804,0,0,""
