TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\15-MARZO-2023 3T\L-716-2 34270900C 2T INICIO #6 AJUSTE 2.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 900-37 WAVE DISC 16 IN-MINUTE Rev_3.par"
"TESTDATE","03-15-2023"
"TESTTIME","20:23:02"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.9864
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",478.5181
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","546962"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT","04657"
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT",""
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","15-MARZO-2023 3T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34270900c*71623110740bel"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.55
"LIMLOLOADIDX",1
"LIMLOLOAD",1.55
"LIMHILOADIDX",0
"LIMHILOAD",1.95
"LIMHILOADIDX",1
"LIMHILOAD",1.95
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.512382E-04,1.515373E-02,0,0,""
.5850478,.0351846,0,0,""
1.023545,.0358523,0,0,""
1.430048,3.635307E-02,0,0,""
2.29863,3.735462E-02,0,0,""
2.699938,3.735462E-02,0,0,""
3.119958,3.718769E-02,0,0,""
3.672826,3.735461E-02,0,0,""
4.177464,4.035925E-02,0,0,""
4.620194,4.252926E-02,0,0,""
5.251842,4.803774E-02,0,0,""
5.763257,6.272703E-02,0,0,""
6.189066,6.756783E-02,0,0,""
6.735175,7.941943E-02,0,0,""
7.244034,8.709793E-02,0,0,""
7.666532,8.759871E-02,0,0,""
8.218533,9.260643E-02,0,0,""
8.761227,9.377491E-02,0,0,""
9.376771,9.427568E-02,0,0,""
9.88643,9.477644E-02,0,0,""
10.31404,.102288,0,0,""
10.86012,.1201489,0,0,""
11.38503,.1383436,0,0,""
12.02431,.1490267,0,0,""
12.53312,.1510298,0,0,""
12.95477,.1511967,0,0,""
13.50678,.1620467,0,0,""
14.01225,.1944299,0,0,""
14.43726,.2061146,0,0,""
14.98505,.2082846,0,0,""
15.52948,.2191347,0,0,""
16.15007,.2622012,0,0,""
16.65469,.2657066,0,0,""
17.08054,.2815643,0,0,""
17.63428,.3191221,0,0,""
18.15414,.3271345,0,0,""
18.79168,.3747077,0,0,""
19.30054,.385057,0,0,""
19.72212,.4264541,0,0,""
20.27501,.4373041,0,0,""
20.77964,.483542,0,0,""
21.20382,.4932235,0,0,""
21.75161,.5334525,0,0,""
22.19274,.5536504,0,0,""
22.68469,.6057305,0,0,""
23.23502,.6594799,0,0,""
23.74131,.7062186,0,0,""
24.16462,.7360979,0,0,""
24.71834,.7920174,0,0,""
25.22127,.8444315,0,0,""
25.64968,.8933401,0,0,""
26.19494,.9546012,0,0,""
26.70292,1.011522,0,0,""
27.12455,1.061934,0,0,""
27.67825,1.128703,0,0,""
28.18204,1.188629,0,0,""
28.60876,1.238873,0,0,""
29.19636,1.311986,0,0,""
29.66625,1.363398,0,0,""
30.08624,1.401958,0,0,""
30.63826,1.365735,0,0,""
31.14457,1.240876,0,0,""
31.58564,1.435175,0,0,""
32.22325,1.532993,0,0,""
32.73208,1.597259,0,0,""
33.15622,1.635818,0,0,""
33.69976,1.688065,0,0,""
34.21035,1.743985,0,0,""
34.63702,1.785215,0,0,""
35.18312,1.827279,0,0,""
35.69201,1.859496,0,0,""
36.15254,1.89889,0,0,""
36.76809,1.916583,0,0,""
37.27779,1.917918,0,0,""
37.70365,1.916249,0,0,""
38.25147,1.912076,0,0,""
38.65788,1.869678,0,0,""
39.07618,1.851317,0,0,""
39.62734,1.803075,0,0,""
40.13365,1.79523,0,0,""
40.55612,1.79089,0,0,""
41.10984,1.800738,0,0,""
41.61273,1.801739,0,0,""
42.03946,1.801739,0,0,""
42.58641,1.800905,0,0,""
43.02748,1.800571,0,0,""
43.51687,1.798735,0,0,""
44.06973,1.76919,0,0,""
44.57604,1.751663,0,0,""
44.9986,1.74532,0,0,""
45.54636,1.735639,0,0,""
46.06029,1.698581,0,0,""
46.47939,1.701252,0,0,""
47.02975,1.743818,0,0,""
47.53606,1.774532,0,0,""
47.9602,1.796899,0,0,""
48.51309,1.789221,0,0,""
49.016,1.760677,0,0,""
49.44354,1.745988,0,0,""
50.03027,1.745153,0,0,""
50.49769,1.744653,0,0,""
50.9201,1.744486,0,0,""
51.47297,1.744152,0,0,""
51.99453,1.742817,0,0,""
52.62953,1.744486,0,0,""
53.14182,1.74482,0,0,""
53.56678,1.744653,0,0,""
54.11375,1.747657,0,0,""
54.62257,1.767187,0,0,""
55.04428,1.793728,0,0,""
55.59798,1.802741,0,0,""
56.10177,1.811087,0,0,""
56.52851,1.825276,0,0,""
57.11527,1.82995,0,0,""
57.58344,1.823941,0,0,""
58.00507,1.813758,0,0,""
58.55794,1.805913,0,0,""
59.06421,1.801907,0,0,""
59.4884,1.802073,0,0,""
60.03452,1.801406,0,0,""
60.54419,1.797233,0,0,""
60.9692,1.794061,0,0,""
61.51781,1.785882,0,0,""
62.02499,1.780875,0,0,""
62.44755,1.763515,0,0,""
63.00124,1.760009,0,0,""
63.50501,1.765184,0,0,""
63.96817,1.786717,0,0,""
64.57944,1.792893,0,0,""
65.09254,1.791391,0,0,""
65.53111,1.786383,0,0,""
66.17199,1.775533,0,0,""
66.67831,1.771694,0,0,""
67.10086,1.774865,0,0,""
67.65458,1.765351,0,0,""
68.15742,1.769357,0,0,""
68.58418,1.781375,0,0,""
69.13111,1.788887,0,0,""
69.63912,1.778037,0,0,""
70.06155,1.778872,0,0,""
70.61445,1.770192,0,0,""
71.15634,1.764516,0,0,""
71.77271,1.772862,0,0,""
72.30021,1.791724,0,0,""
72.93775,1.798902,0,0,""
73.44576,1.802407,0,0,""
73.86736,1.80224,0,0,""
74.41939,1.801406,0,0,""
74.92485,1.801739,0,0,""
75.35155,1.799236,0,0,""
75.89769,1.797734,0,0,""
76.40651,1.792058,0,0,""
76.83067,1.787051,0,0,""
77.38097,1.781876,0,0,""
77.92284,1.770525,0,0,""
78.53925,1.758173,0,0,""
79.0676,1.748158,0,0,""
79.70343,1.748659,0,0,""
80.21484,1.758173,0,0,""
80.63982,1.770025,0,0,""
81.18762,1.777536,0,0,""
81.69478,1.794395,0,0,""
82.11725,1.794562,0,0,""
82.67096,1.795063,0,0,""
83.17389,1.793227,0,0,""
83.60151,1.79089,0,0,""
84.14761,1.778204,0,0,""
84.70302,1.771861,0,0,""
85.31258,1.769023,0,0,""
85.83495,1.775032,0,0,""
86.47083,1.78438,0,0,""
86.9839,1.781709,0,0,""
87.40556,1.78438,0,0,""
87.95334,1.7979,0,0,""
88.46301,1.800571,0,0,""
88.88475,1.801239,0,0,""
89.43762,1.802407,0,0,""
89.94391,1.807415,0,0,""
90.36639,1.826278,0,0,""
90.92097,1.844974,0,0,""
91.46116,1.854488,0,0,""
92.07918,1.857493,0,0,""
92.60412,1.857493,0,0,""
93.01393,1.858495,0,0,""
93.55577,1.858495,0,0,""
94.06799,1.858495,0,0,""
94.49386,1.858995,0,0,""
95.03743,1.858662,0,0,""
95.54882,1.858161,0,0,""
95.97465,1.851651,0,0,""
96.52245,1.822105,0,0,""
97.03047,1.80658,0,0,""
97.4521,1.802574,0,0,""
98.00581,1.801907,0,0,""
98.54433,1.802407,0,0,""
99.16323,1.800404,0,0,""
99.67293,1.785381,0,0,""
100.0971,1.759175,0,0,""
100.6483,1.74532,0,0,""
101.1537,1.744653,0,0,""
101.5763,1.741147,"","",""
102.1232,1.74098,"","",""
102.6329,1.73881,"","",""
103.0554,1.727626,"","",""
103.6074,1.715441,"","",""
104.1146,1.703923,"","",""
104.537,1.702087,"","",""
105.0907,1.706927,"","",""
105.6326,1.716609,"","",""
106.2693,1.7323,"","",""
106.7596,1.722785,"","",""
107.1862,1.724788,"","",""
107.7323,1.726291,"","",""
108.2403,1.724955,"","",""
108.662,1.719447,"","",""
109.2157,1.715607,"","",""
109.7195,1.712603,"","",""
110.1453,1.705759,"","",""
110.6923,1.701419,"","",""
111.2011,1.703088,"","",""
111.6228,1.693907,"","",""
112.1757,1.691403,"","",""
112.6159,1.693239,"","",""
113.1045,1.699082,"","",""
113.6531,1.697079,"","",""
114.1628,1.705091,"","",""
114.5869,1.707094,"","",""
115.1356,1.710767,"","",""
115.6436,1.714606,"","",""
116.0652,1.722451,"","",""
116.6189,1.714105,"","",""
117.1236,1.696912,"","",""
117.5486,1.691236,"","",""
118.0955,1.688399,"","",""
118.6036,1.688399,"","",""
119.0252,1.688565,"","",""
119.6289,1.687731,"","",""
120.087,1.687564,"","",""
120.5094,1.687898,"","",""
121.0555,1.687898,"","",""
121.5652,1.688065,"","",""
121.9902,1.690402,"","",""
122.5389,1.69374,"","",""
123.0452,1.703923,"","",""
123.4676,1.706427,"","",""
124.0154,1.710099,"","",""
124.526,1.713104,"","",""
124.951,1.715441,"","",""
125.4988,1.716943,"","",""
126.0068,1.72145,"","",""
126.4818,1.718779,"","",""
127.0838,1.708764,"","",""
127.5935,1.712269,"","",""
128.0177,1.713604,"","",""
128.5672,1.712269,"","",""
129.0735,1.706259,"","",""
129.4959,1.706427,"","",""
130.0437,1.707929,"","",""
130.5543,1.707595,"","",""
130.9793,1.717277,"","",""
131.5262,1.71761,"","",""
132.0342,1.722451,"","",""
132.4567,1.720949,"","",""
133.0104,1.71494,"","",""
133.4507,1.715274,"","",""
133.9384,1.703088,"","",""
134.487,1.697746,"","",""
134.995,1.694074,"","",""
135.4176,1.690402,"","",""
135.9713,1.690235,"","",""
136.475,1.688232,"","",""
136.8983,1.688565,"","",""
137.447,1.687898,"","",""
137.9566,1.688398,"","",""
138.3817,1.688065,"","",""
138.9295,1.687731,"","",""
139.4383,1.690235,"","",""
139.8777,1.690402,"","",""
140.5145,1.693573,"","",""
140.9589,1.689567,"","",""
141.4483,1.689066,"","",""
141.9902,1.6894,"","",""
142.5033,1.688733,"","",""
142.93,1.688065,"","",""
143.4744,1.688565,"","",""
143.9849,1.687898,"","",""
144.4117,1.687898,"","",""
144.9578,1.687898,"","",""
145.465,1.68723,"","",""
145.8874,1.687063,"","",""
146.4352,1.687397,"","",""
146.9458,1.687898,"","",""
147.3708,1.688065,"","",""
147.9524,1.688398,"","",""
148.4265,1.688232,"","",""
148.8482,1.688232,"","",""
149.4011,1.688232,"","",""
149.9065,1.688065,"","",""
150.3315,1.686229,"","",""
150.8785,1.686729,"","",""
151.3882,1.683558,"","",""
151.8125,1.686562,"","",""
152.3619,1.684059,"","",""
152.8682,1.680386,"","",""
153.2915,1.686396,"","",""
153.8452,1.684059,"","",""
154.3524,1.685227,"","",""
154.8079,1.68723,"","",""
155.4226,1.687898,"","",""
155.9339,1.687898,"","",""
156.3607,1.688565,"","",""
156.9068,1.688565,"","",""
157.4156,1.688565,"","",""
157.8381,1.688399,"","",""
158.3893,1.688065,"","",""
158.8947,1.688565,"","",""
159.3181,1.688566,"","",""
159.8667,1.689233,"","",""
160.3942,1.690569,"","",""
161.0317,1.688565,"","",""
161.5397,1.688232,"","",""
162.0003,1.689066,"","",""
162.6158,1.689567,"","",""
163.1272,1.689233,"","",""
163.5514,1.690068,"","",""
164.1,1.694575,"","",""
164.608,1.692739,"","",""
165.0297,1.697079,"","",""
165.5835,1.695744,"","",""
166.0863,1.696077,"","",""
166.5139,1.696411,"","",""
167.0761,1.688398,"","",""
167.5706,1.689066,"","",""
167.9955,1.688733,"","",""
168.5366,1.6894,"","",""
168.9828,1.688399,"","",""
169.4713,1.688399,"","",""
170.0199,1.688232,"","",""
170.5287,1.688232,"","",""
170.9513,1.688899,"","",""
171.5033,1.689233,"","",""
172.0096,1.695409,"","",""
172.433,1.700251,"","",""
172.9799,1.693072,"","",""
173.4904,1.694408,"","",""
173.9333,1.693073,"","",""
174.5657,1.691737,"","",""
175.0754,1.688733,"","",""
175.5021,1.690235,"","",""
176.0888,1.690235,"","",""
176.5571,1.688398,"","",""
176.9795,1.688065,"","",""
177.5316,1.688399,"","",""
178.0387,1.687898,"","",""
178.4603,1.688232,"","",""
179.0064,1.688566,"","",""
179.5178,1.687898,"","",""
179.9437,1.688899,"","",""
180.5076,1.690402,"","",""
181.0012,1.691069,"","",""
181.4271,1.691069,"","",""
181.9682,1.690402,"","",""
182.4778,1.689734,"","",""
182.9426,1.689233,"","",""
183.5523,1.689233,"","",""
184.0645,1.691737,"","",""
184.4886,1.688565,"","",""
185.0365,1.691737,"","",""
185.5461,1.695409,"","",""
185.9711,1.691904,"","",""
186.5189,1.693072,"","",""
187.0269,1.70192,"","",""
187.4663,1.711768,"","",""
188.1056,1.71711,"","",""
188.6127,1.720115,"","",""
189.0344,1.722118,"","",""
189.5864,1.71928,"","",""
190.1291,1.722284,"","",""
190.7463,1.720281,"","",""
191.2552,1.723286,"","",""
191.6827,1.720615,"","",""
192.2297,1.728461,"","",""
192.7368,1.729963,"","",""
193.1585,1.730297,"","",""
193.7131,1.731632,"","",""
194.2338,1.730297,"","",""
194.8713,1.734136,"","",""
195.3818,1.733802,"","",""
195.806,1.735806,"","",""
196.3547,1.74098,"","",""
196.8974,1.742817,"","",""
197.512,1.743484,"","",""
198.0234,1.743985,"","",""
198.451,1.743317,"","",""
198.9955,1.741314,"","",""
199.5051,1.741982,"","",""
199.9276,1.743651,"","",""
200.4788,1.744152,"","",""
201.0012,1.743818,"","",""
201.6387,1.741481,"","",""
202.1484,1.742316,"","",""
202.5743,1.742483,"","",""
203.1212,1.742983,"","",""
203.6656,1.742316,"","",""
204.2854,1.743985,"","",""
204.7934,1.740646,"","",""
205.2167,1.739478,"","",""
205.7688,1.739979,"","",""
206.2725,1.736807,"","",""
206.6984,1.732634,"","",""
207.2462,1.728294,"","",""
207.7703,1.72145,"","",""
