TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\15-MARZO-2023 1T\L-716-4 34270900C 1T AJUSTE #5.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 900-37 WAVE DISC 16 IN-MINUTE Rev_3.par"
"TESTDATE","03-15-2023"
"TESTTIME","17:19:38"
"PASSFAIL",0
"TURNAROUND",-999
"PEAKLOAD",2.977633
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",483.7751
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT","04657"
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT",""
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","15-MARZO-2023 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34270900c*71623110740653"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.55
"LIMLOLOADIDX",1
"LIMLOLOAD",1.55
"LIMHILOADIDX",0
"LIMHILOAD",1.95
"LIMHILOADIDX",1
"LIMHILOAD",1.95
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
2.846241E-04,2.007608E-02,0,0,""
.7918969,4.862006E-02,0,0,""
1.353951,5.696626E-02,0,0,""
1.850801,5.980396E-02,0,0,""
2.821152,6.063858E-02,0,0,""
3.331676,6.264167E-02,0,0,""
3.757541,6.731556E-02,0,0,""
4.304467,8.784722E-02,0,0,""
4.812491,.1030373,0,0,""
5.235049,.1112166,0,0,""
5.787891,.1172258,0,0,""
6.291676,.1180605,0,0,""
6.717492,.1208982,0,0,""
7.264461,.1400944,0,0,""
7.772454,.169306,0,0,""
8.212737,.1738129,0,0,""
8.849442,.1796553,0,0,""
9.296447,.206697,0,0,""
9.783287,.2295657,0,0,""
10.33365,.2315688,0,0,""
10.84078,.2597789,0,0,""
11.26327,.2843166,0,0,""
11.81613,.2903259,0,0,""
12.31989,.3258806,0,0,""
12.74663,.3445761,0,0,""
13.29356,.3539238,0,0,""
13.80073,.399494,0,0,""
14.22406,.4076733,0,0,""
14.77612,.4574169,0,0,""
15.28074,.4761125,0,0,""
15.70654,.5155065,0,0,""
16.29503,.5690891,0,0,""
16.76661,.5983007,0,0,""
17.18568,.6315186,0,0,""
17.736,.6864365,0,0,""
18.24402,.7376822,0,0,""
18.66648,.7780777,0,0,""
19.21427,.8380033,0,0,""
19.72734,.9014345,0,0,""
20.14732,.9463369,0,0,""
20.6968,1.016946,0,0,""
21.20393,1.080544,0,0,""
21.64429,1.135295,0,0,""
22.28093,1.203734,0,0,""
22.79062,1.260821,0,0,""
23.25206,1.312067,0,0,""
23.86585,1.122275,0,0,""
24.37728,1.345118,0,0,""
24.80148,1.409217,0,0,""
25.34929,1.471646,0,0,""
25.85643,1.523059,0,0,""
26.27892,1.559448,0,0,""
26.8326,1.607355,0,0,""
27.3355,1.656264,0,0,""
27.76222,1.707009,0,0,""
28.30919,1.747238,0,0,""
28.81801,1.770441,0,0,""
29.24217,1.808833,0,0,""
29.78575,1.824857,0,0,""
30.23277,1.825024,0,0,""
30.72132,1.825024,0,0,""
31.26998,1.80516,0,0,""
31.77964,1.769105,0,0,""
32.20389,1.744233,0,0,""
32.75253,1.711516,0,0,""
33.25968,1.711683,0,0,""
33.68298,1.723368,0,0,""
34.23586,1.759591,0,0,""
34.73874,1.767603,0,0,""
35.18411,1.768771,0,0,""
35.81491,1.768604,0,0,""
36.32883,1.765767,0,0,""
36.74959,1.750576,0,0,""
37.23133,1.712851,0,0,""
37.70378,1.706341,0,0,""
38.12542,1.662774,0,0,""
38.67405,1.643578,0,0,""
39.18628,1.610026,0,0,""
39.60629,1.615535,0,0,""
40.15577,1.664944,0,0,""
40.66295,1.711015,0,0,""
41.08537,1.71185,0,0,""
41.6391,1.711349,0,0,""
42.16233,1.709513,0,0,""
42.79738,1.692987,0,0,""
43.30622,1.693655,0,0,""
43.72869,1.674459,0,0,""
44.31459,1.659937,0,0,""
44.78782,1.662274,0,0,""
45.21118,1.661105,0,0,""
45.75815,1.658768,0,0,""
46.27034,1.658101,0,0,""
46.69112,1.663442,0,0,""
47.2415,1.680468,0,0,""
47.75539,1.707175,0,0,""
48.17116,1.711683,0,0,""
48.74095,1.720697,0,0,""
49.23032,1.729878,0,0,""
49.65452,1.731213,0,0,""
50.20062,1.728542,0,0,""
50.70862,1.714353,0,0,""
51.16921,1.711349,0,0,""
51.7856,1.711182,0,0,""
52.29614,1.710514,0,0,""
52.72197,1.710347,0,0,""
53.26892,1.711182,0,0,""
53.77692,1.711516,0,0,""
54.19941,1.711015,0,0,""
54.75227,1.711015,0,0,""
55.25688,1.709846,0,0,""
55.69629,1.706508,0,0,""
56.22882,1.701,0,0,""
56.73683,1.703503,0,0,""
57.16018,1.709012,0,0,""
57.70627,1.713018,0,0,""
58.15252,1.715021,0,0,""
58.64105,1.721698,0,0,""
59.18886,1.713686,0,0,""
59.69939,1.711516,0,0,""
60.12352,1.711182,0,0,""
60.67302,1.711015,0,0,""
61.17934,1.709846,0,0,""
61.60268,1.711349,0,0,""
62.15554,1.71185,0,0,""
62.66016,1.711182,0,0,""
63.08428,1.711349,0,0,""
63.63211,1.711182,0,0,""
64.14009,1.71018,0,0,""
64.56344,1.710681,0,0,""
65.14932,1.718526,0,0,""
65.62179,1.73572,0,0,""
66.04346,1.750076,0,0,""
66.5946,1.765099,0,0,""
67.10518,1.7656,0,0,""
67.52508,1.7656,0,0,""
68.06947,1.760759,0,0,""
68.58257,1.757254,0,0,""
69.02284,1.743399,0,0,""
69.66039,1.733884,0,0,""
70.17006,1.741229,0,0,""
70.59424,1.737556,0,0,""
71.13698,1.715522,0,0,""
71.65003,1.714687,0,0,""
72.10807,1.711349,0,0,""
72.72871,1.711349,0,0,""
73.23586,1.711182,0,0,""
73.65828,1.711015,0,0,""
74.2078,1.71018,0,0,""
74.72003,1.711516,0,0,""
75.13921,1.711349,0,0,""
75.68864,1.712684,0,0,""
76.19665,1.712183,0,0,""
76.62172,1.712851,0,0,""
77.16612,1.711349,0,0,""
77.67664,1.711683,0,0,""
78.10165,1.711015,0,0,""
78.64861,1.712016,0,0,""
79.19383,1.711349,0,0,""
79.81364,1.711349,0,0,""
80.32165,1.711683,0,0,""
80.74493,1.711349,0,0,""
81.29697,1.711182,0,0,""
81.80075,1.712016,0,0,""
82.22746,1.719361,0,0,""
82.79473,1.730212,0,0,""
83.28153,1.751578,0,0,""
83.70657,1.759924,0,0,""
84.25181,1.764765,0,0,""
84.76487,1.765099,0,0,""
85.18485,1.760759,0,0,""
85.73435,1.763263,0,0,""
86.17722,1.762595,0,0,""
86.66826,1.75909,0,0,""
87.21774,1.761093,0,0,""
87.72403,1.760759,0,0,""
88.14651,1.764598,0,0,""
88.69347,1.765433,0,0,""
89.20398,1.755584,0,0,""
89.63155,1.748073,0,0,""
90.1785,1.750076,0,0,""
90.68481,1.746904,0,0,""
91.10979,1.747238,0,0,""
91.65336,1.762261,0,0,""
92.16475,1.767603,0,0,""
92.59152,1.767269,0,0,""
93.17905,1.768104,0,0,""
93.6507,1.770274,0,0,""
94.06809,1.769773,0,0,""
94.62011,1.770941,0,0,""
95.12473,1.783293,0,0,""
95.54974,1.800653,0,0,""
96.11535,1.803324,0,0,""
96.6064,1.814007,0,0,""
97.03649,1.815509,0,0,""
97.58007,1.81384,0,0,""
98.08804,1.817512,0,0,""
98.51138,1.823855,0,0,""
99.06424,1.824857,0,0,""
99.56802,1.825525,0,0,""
100.5409,1.827194,0,0,""
101.048,1.825191,"","",""
101.4713,1.824022,"","",""
102.0234,1.81384,"","",""
102.528,1.786298,"","",""
102.9716,1.772444,"","",""
103.6092,1.766768,"","",""
104.1155,1.756753,"","",""
104.5397,1.736054,"","",""
105.0925,1.718193,"","",""
105.5963,1.711349,"","",""
106.0222,1.709846,"","",""
106.5683,1.705507,"","",""
107.1135,1.700332,"","",""
107.7341,1.697828,"","",""
108.2396,1.691986,"","",""
108.6638,1.694824,"","",""
