TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\17-MARZO-2023 1T\L-716-4 34270900C 1T INICIO #4.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 900-37 WAVE DISC 16 IN-MINUTE Rev_3.par"
"TESTDATE","03-17-2023"
"TESTTIME","07:23:26"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.989573
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",481.9768
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","17-MARZO-2023 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.55
"LIMLOLOADIDX",1
"LIMLOLOAD",1.55
"LIMHILOADIDX",0
"LIMHILOAD",1.95
"LIMHILOADIDX",1
"LIMHILOAD",1.95
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
2.906799E-04,8.576372E-02,0,0,""
.6032274,.0857637,0,0,""
1.239326,8.593063E-02,0,0,""
1.744946,8.643141E-02,0,0,""
2.612795,8.659833E-02,0,0,""
3.019177,8.810065E-02,0,0,""
3.438302,8.726603E-02,0,0,""
3.989431,9.377606E-02,0,0,""
4.498248,9.661376E-02,0,0,""
4.918262,.1079646,0,0,""
5.464365,.1188146,0,0,""
5.978281,.1308332,0,0,""
6.398204,.1361747,0,0,""
6.949406,.1393463,0,0,""
7.476893,.1408486,0,0,""
8.112713,.1426848,0,0,""
8.619877,.1431856,0,0,""
9.079612,.1431855,0,0,""
9.696828,.1513648,0,0,""
10.20655,.1632165,0,0,""
10.63154,.172898,0,0,""
11.17425,.190592,0,0,""
11.68734,.1992721,0,0,""
12.10986,.1992721,0,0,""
12.65681,.2006074,0,0,""
13.16817,.2079521,0,0,""
13.59239,.2286506,0,0,""
14.15881,.2525208,0,0,""
14.64816,.25636,0,0,""
15.07403,.2583631,0,0,""
15.61755,.2830678,0,0,""
16.06294,.3079394,0,0,""
16.55146,.3134479,0,0,""
17.10092,.3263011,0,0,""
17.61144,.3595189,0,0,""
18.03478,.3712036,0,0,""
18.57749,.3818868,0,0,""
19.0897,.4187769,0,0,""
19.51308,.4269561,0,0,""
20.06087,.4421462,0,0,""
20.57054,.4768663,0,0,""
21.01168,.4845449,0,0,""
21.64663,.5356235,0,0,""
22.15974,.5483097,0,0,""
22.57968,.593713,0,0,""
23.0614,.6142447,0,0,""
23.53131,.6551411,0,0,""
23.95718,.6965382,0,0,""
24.50497,.7402722,0,0,""
25.01296,.77566,0,0,""
25.43794,.8235672,0,0,""
25.9815,.8789858,0,0,""
26.49462,.9340708,0,0,""
26.91459,.9746334,0,0,""
27.46403,1.029217,0,0,""
27.97547,1.084803,0,0,""
28.39709,1.120525,0,0,""
28.94827,1.177613,0,0,""
29.45709,1.220179,0,0,""
29.91516,.9016876,0,0,""
30.53155,1.214002,0,0,""
31.04205,1.320166,0,0,""
31.46626,1.36607,0,0,""
32.00982,1.433842,0,0,""
32.52288,1.479411,0,0,""
32.94367,1.519306,0,0,""
33.49231,1.571888,0,0,""
34.00202,1.624635,0,0,""
34.44309,1.676215,0,0,""
35.08487,1.733469,0,0,""
35.59116,1.7747,0,0,""
36.01114,1.79373,0,0,""
36.56144,1.839466,0,0,""
37.00172,1.850316,0,0,""
37.49454,1.851651,0,0,""
38.03809,1.851651,0,0,""
38.55198,1.844807,0,0,""
38.9711,1.796901,0,0,""
39.52143,1.78338,0,0,""
40.03282,1.742984,0,0,""
40.45106,1.737809,0,0,""
41.00308,1.74265,0,0,""
41.51105,1.771862,0,0,""
41.93443,1.787887,0,0,""
42.4805,1.792895,0,0,""
42.99274,1.793229,0,0,""
43.41351,1.793062,0,0,""
43.96386,1.793396,0,0,""
44.40417,1.788555,0,0,""
44.89439,1.773865,0,0,""
45.4481,1.739979,0,0,""
45.95271,1.7313,0,0,""
46.37438,1.704425,0,0,""
46.92384,1.708932,0,0,""
47.43098,1.739645,0,0,""
47.85345,1.788555,0,0,""
48.40717,1.797903,0,0,""
48.91266,1.7964,0,0,""
49.33508,1.796066,0,0,""
49.88375,1.793396,0,0,""
50.39429,1.792728,0,0,""
50.82184,1.790558,0,0,""
51.36963,1.783881,0,0,""
51.91487,1.789223,0,0,""
52.52448,1.785049,0,0,""
53.03756,1.784549,0,0,""
53.46006,1.790057,0,0,""
54.00867,1.79156,0,0,""
54.51753,1.792561,0,0,""
54.96126,1.793897,0,0,""
55.5928,1.804246,0,0,""
56.1042,1.832122,0,0,""
56.53097,1.843639,0,0,""
57.07793,1.846143,0,0,""
57.58421,1.844307,0,0,""
58.00752,1.827615,0,0,""
58.56128,1.811423,0,0,""
59.10146,1.810589,0,0,""
59.71949,1.81159,0,0,""
60.22924,1.805748,0,0,""
60.65332,1.807584,0,0,""
61.20196,1.805247,0,0,""
61.72524,1.797068,0,0,""
62.367,1.795399,0,0,""
62.87421,1.793563,0,0,""
63.29408,1.792394,0,0,""
63.84445,1.790725,0,0,""
64.35669,1.792895,0,0,""
64.77406,1.793396,0,0,""
65.32693,1.79423,0,0,""
65.83326,1.795733,0,0,""
66.29386,1.79373,0,0,""
66.91191,1.793563,0,0,""
67.41908,1.792394,0,0,""
67.84239,1.791226,0,0,""
68.41052,1.790558,0,0,""
68.90411,1.791059,0,0,""
69.32576,1.793229,0,0,""
69.87271,1.791393,0,0,""
70.38578,1.790224,0,0,""
70.80405,1.789389,0,0,""
71.34849,1.784382,0,0,""
71.86326,1.786218,0,0,""
72.28488,1.790224,0,0,""
72.83097,1.793229,0,0,""
73.27631,1.798904,0,0,""
73.76398,1.812759,0,0,""
74.31516,1.824944,0,0,""
74.82232,1.81376,0,0,""
75.26341,1.799572,0,0,""
75.90012,1.794564,0,0,""
76.40895,1.793229,0,0,""
76.83399,1.792394,0,0,""
77.3767,1.792394,0,0,""
77.88978,1.793229,0,0,""
78.31226,1.792394,0,0,""
78.85923,1.789223,0,0,""
79.37061,1.785717,0,0,""
79.79568,1.774199,0,0,""
80.37817,1.778206,0,0,""
80.85402,1.788221,0,0,""
81.27732,1.790725,0,0,""
81.8395,1.792227,0,0,""
82.33057,1.793229,0,0,""
82.75642,1.793563,0,0,""
83.3034,1.79373,0,0,""
83.81053,1.793896,0,0,""
84.23469,1.793229,0,0,""
84.78589,1.792561,0,0,""
85.29388,1.789557,0,0,""
85.71382,1.790892,0,0,""
86.26414,1.79156,0,0,""
86.77641,1.791393,0,0,""
87.23112,1.789389,0,0,""
87.84827,1.788054,0,0,""
88.35882,1.784716,0,0,""
88.80252,1.789389,0,0,""
89.43323,1.792227,0,0,""
89.94549,1.793563,0,0,""
90.36799,1.801408,0,0,""
90.91662,1.820103,0,0,""
91.42632,1.838631,0,0,""
91.85048,1.842471,0,0,""
92.39996,1.847478,0,0,""
92.9071,1.848313,0,0,""
93.32961,1.849648,0,0,""
93.87568,1.849147,0,0,""
94.32107,1.849815,0,0,""
94.81041,1.850817,0,0,""
95.37596,1.853487,0,0,""
95.87041,1.851318,0,0,""
96.29382,1.850316,0,0,""
96.83735,1.846143,0,0,""
97.35036,1.839132,0,0,""
97.7704,1.839466,0,0,""
98.32074,1.828783,0,0,""
98.83467,1.81109,0,0,""
99.25035,1.822106,0,0,""
99.79648,1.815095,0,0,""
100.3087,1.795065,0,0,""
100.732,1.793563,"","",""
101.3204,1.793396,"","",""
101.7903,1.792728,"","",""
102.234,1.790224,"","",""
102.8656,1.785049,"","",""
103.3787,1.770694,"","",""
103.7987,1.751163,"","",""
104.3473,1.748993,"","",""
104.857,1.741816,"","",""
105.282,1.740647,"","",""
105.8315,1.739479,"","",""
106.3387,1.747157,"","",""
106.7603,1.752666,"","",""
107.309,1.758675,"","",""
107.8212,1.763516,"","",""
108.2759,1.761346,"","",""
108.9126,1.754001,"","",""
109.4037,1.746823,"","",""
109.8261,1.74432,"","",""
110.3764,1.747324,"","",""
110.8836,1.74699,"","",""
111.3061,1.746156,"","",""
111.8598,1.747157,"","",""
112.3669,1.747491,"","",""
112.7885,1.74482,"","",""
113.3355,1.740647,"","",""
113.846,1.74048,"","",""
114.2703,1.74265,"","",""
114.8197,1.75133,"","",""
115.3616,1.763349,"","",""
116,1.764184,"","",""
116.4936,1.76218,"","",""
116.9152,1.764684,"","",""
117.4622,1.766187,"","",""
117.9736,1.756672,"","",""
118.3969,1.74482,"","",""
118.9456,1.738978,"","",""
119.451,1.738143,"","",""
119.8752,1.737309,"","",""
120.4213,1.736474,"","",""
120.931,1.736808,"","",""
121.3569,1.736307,"","",""
121.9038,1.735639,"","",""
122.4643,1.736474,"","",""
123.0646,1.736975,"","",""
123.5768,1.736808,"","",""
123.9976,1.736641,"","",""
124.5454,1.740814,"","",""
125.0559,1.73831,"","",""
125.4818,1.737141,"","",""
126.0304,1.736975,"","",""
126.5435,1.738143,"","",""
126.9593,1.737141,"","",""
127.5147,1.736808,"","",""
128.0201,1.736808,"","",""
128.4393,1.736641,"","",""
128.9888,1.736474,"","",""
129.4485,1.737309,"","",""
129.9217,1.736307,"","",""
130.4653,1.736975,"","",""
130.9784,1.73614,"","",""
131.4,1.737976,"","",""
131.9487,1.737642,"","",""
132.4584,1.736975,"","",""
132.8842,1.739145,"","",""
133.432,1.736808,"","",""
133.94,1.73614,"","",""
134.3625,1.736307,"","",""
134.9086,1.735806,"","",""
135.42,1.729797,"","",""
135.8451,1.72963,"","",""
136.4276,1.72479,"","",""
136.9025,1.729797,"","",""
137.3259,1.730799,"","",""
137.8694,1.728629,"","",""
138.3833,1.731633,"","",""
138.8033,1.725457,"","",""
139.3544,1.727126,"","",""
139.865,1.734304,"","",""
140.2841,1.736307,"","",""
140.8362,1.73614,"","",""
141.3424,1.735806,"","",""
141.765,1.734805,"","",""
142.3127,1.732969,"","",""
142.8402,1.732635,"","",""
143.2856,1.72963,"","",""
143.8977,1.716944,"","",""
144.4091,1.710935,"","",""
144.8333,1.71611,"","",""
145.3811,1.713773,"","",""
145.8967,1.709433,"","",""
146.3158,1.708598,"","",""
146.8593,1.701421,"","",""
147.3698,1.699417,"","",""
147.7932,1.698416,"","",""
148.341,1.704425,"","",""
148.8507,1.707931,"","",""
149.2757,1.708765,"","",""
149.8387,1.706595,"","",""
150.3713,1.70309,"","",""
150.9826,1.691739,"","",""
151.4931,1.684394,"","",""
151.9165,1.681724,"","",""
152.4659,1.679888,"","",""
152.9782,1.679888,"","",""
153.3981,1.679554,"","",""
153.9426,1.679554,"","",""
154.4565,1.679387,"","",""
154.879,1.679387,"","",""
155.4251,1.679387,"","",""
155.9365,1.679387,"","",""
156.3792,1.679053,"","",""
157.0109,1.679554,"","",""
157.4571,1.67922,"","",""
157.9447,1.679387,"","",""
158.4934,1.679554,"","",""
159.0031,1.679053,"","",""
159.4281,1.679554,"","",""
159.9767,1.679387,"","",""
160.4847,1.678552,"","",""
160.9063,1.678886,"","",""
161.4533,1.67922,"","",""
161.9647,1.678385,"","",""
162.3897,1.679554,"","",""
162.9367,1.679554,"","",""
163.4447,1.67922,"","",""
163.8681,1.679387,"","",""
164.4539,1.679554,"","",""
164.9263,1.679554,"","",""
165.3472,1.680222,"","",""
165.8967,1.680555,"","",""
166.4071,1.680555,"","",""
166.8313,1.679721,"","",""
167.38,1.679387,"","",""
167.8863,1.678385,"","",""
168.3096,1.678552,"","",""
168.8565,1.679387,"","",""
169.3671,1.679721,"","",""
169.8082,1.679554,"","",""
170.4483,1.680722,"","",""
170.9529,1.680221,"","",""
171.4119,1.680055,"","",""
172.0341,1.685563,"","",""
172.5396,1.690237,"","",""
172.9621,1.696246,"","",""
173.5107,1.700753,"","",""
174.0213,1.699918,"","",""
174.4454,1.693742,"","",""
174.9941,1.69007,"","",""
175.5012,1.692073,"","",""
175.9237,1.686398,"","",""
176.4766,1.6879,"","",""
176.9829,1.69274,"","",""
177.4045,1.684728,"","",""
177.954,1.69224,"","",""
178.4976,1.697414,"","",""
179.119,1.698249,"","",""
179.6245,1.696413,"","",""
180.0495,1.702923,"","",""
180.5965,1.697081,"","",""
181.1087,1.70359,"","",""
181.5295,1.712771,"","",""
182.0789,1.72696,"","",""
182.5861,1.723788,"","",""
183.0095,1.722453,"","",""
183.5818,1.713773,"","",""
184.0678,1.705927,"","",""
184.4894,1.697581,"","",""
185.0398,1.697581,"","",""
185.5859,1.700419,"","",""
186.2039,1.69875,"","",""
186.7119,1.70092,"","",""
187.1336,1.699083,"","",""
187.6882,1.70309,"","",""
188.1911,1.704926,"","",""
188.6144,1.705927,"","",""
189.1639,1.71611,"","",""
189.671,1.715108,"","",""
190.1113,1.72312,"","",""
190.7497,1.723955,"","",""
191.2602,1.724957,"","",""
191.681,1.724122,"","",""
192.2313,1.726125,"","",""
192.7741,1.721451,"","",""
193.3904,1.714774,"","",""
193.901,1.718113,"","",""
194.326,1.70743,"","",""
194.873,1.717111,"","",""
195.3835,1.720116,"","",""
195.8077,1.713272,"","",""
196.3503,1.708932,"","",""
196.8795,1.717278,"","",""
197.5222,1.728462,"","",""
198.0251,1.728796,"","",""
198.4518,1.732301,"","",""
198.9987,1.735472,"","",""
199.5059,1.734805,"","",""
199.9665,1.734137,"","",""
200.5837,1.733803,"","",""
201.0943,1.733469,"","",""
201.5193,1.730298,"","",""
202.0688,1.72963,"","",""
202.5768,1.732969,"","",""
203.0009,1.727961,"","",""
203.5428,1.7313,"","",""
204.0559,1.732969,"","",""
204.4775,1.733136,"","",""
205.027,1.734304,"","",""
205.5341,1.734972,"","",""
205.9575,1.734972,"","",""
206.5104,1.731133,"","",""
207.0522,1.72746,"","",""
207.6695,1.72529,"","",""
208.1817,1.721618,"","",""
208.6017,1.723788,"","",""
209.152,1.717612,"","",""
209.6591,1.720283,"","",""
210.0825,1.72312,"","",""
210.6557,1.726459,"","",""
211.1416,1.730799,"","",""
211.5625,1.728295,"","",""
212.1128,1.728295,"","",""
212.6242,1.731967,"","",""
213.0424,1.730965,"","",""
213.5953,1.734638,"","",""
214.1364,1.736307,"","",""
214.7527,1.736975,"","",""
215.2641,1.736808,"","",""
215.6908,1.739646,"","",""
216.2378,1.739645,"","",""
216.7475,1.739145,"","",""
217.1843,1.740313,"","",""
217.8227,1.743485,"","",""
218.3358,1.748159,"","",""
218.7532,1.76869,"","",""
219.3052,1.769191,"","",""
219.8124,1.763683,"","",""
220.2349,1.778706,"","",""
220.7894,1.788221,"","",""
221.3313,1.792227,"","",""
221.946,1.793396,"","",""
222.4556,1.79373,"","",""
222.8807,1.795566,"","",""
223.4225,1.794397,"","",""
223.9517,1.800907,"","",""
224.5884,1.814428,"","",""
225.0981,1.822273,"","",""
225.5248,1.821606,"","",""
226.0718,1.805414,"","",""
226.5789,1.795566,"","",""
227.0023,1.793897,"","",""
227.556,1.792895,"","",""
228.0648,1.789389,"","",""
228.5229,1.783714,"","",""
229.1392,1.78121,"","",""
229.6472,1.776703,"","",""
230.074,1.775701,"","",""
230.6175,1.767021,"","",""
231.129,1.755503,"","",""
231.5505,1.741315,"","",""
232.1,1.736808,"","",""
232.608,1.736808,"","",""
233.0297,1.735806,"","",""
233.5834,1.736307,"","",""
234.0905,1.734972,"","",""
234.5105,1.7318,"","",""
235.06,1.726792,"","",""
235.6052,1.729964,"","",""
236.225,1.735305,"","",""
236.7321,1.733636,"","",""
237.1546,1.732301,"","",""
237.7211,1.732301,"","",""
238.2146,1.731466,"","",""
238.6355,1.734805,"","",""
239.185,1.734805,"","",""
239.6938,1.730965,"","",""
240.1189,1.726792,"","",""
240.6616,1.723621,"","",""
241.1746,1.727126,"","",""
241.598,1.721284,"","",""
242.1449,1.717779,"","",""
242.6936,1.72262,"","",""
243.3091,1.723454,"","",""
243.8188,1.725123,"","",""
244.2607,1.725457,"","",""
244.8957,1.730298,"","",""
245.4088,1.7318,"","",""
245.8279,1.732468,"","",""
246.3791,1.734638,"","",""
246.8879,1.726625,"","",""
247.3113,1.725791,"","",""
247.8548,1.727961,"","",""
248.3653,1.723955,"","",""
248.7887,1.720783,"","",""
249.3382,1.714774,"","",""
249.7784,1.70576,"","",""
250.2686,1.701254,"","",""
250.8148,1.708431,"","",""
251.3278,1.715776,"","",""
251.7503,1.715943,"","",""
252.299,1.723955,"","",""
252.8121,1.730632,"","",""
253.2303,1.726125,"","",""
253.7815,1.720616,"","",""
254.2878,1.720283,"","",""
254.7111,1.719448,"","",""
255.2648,1.717946,"","",""
255.7686,1.709767,"","",""
256.1945,1.710601,"","",""
256.7753,1.716444,"","",""
257.2485,1.707764,"","",""
257.6736,1.717779,"","",""
258.218,1.70793,"","",""
258.7286,1.700252,"","",""
259.1553,1.706261,"","",""
259.7014,1.703424,"","",""
260.2094,1.708765,"","",""
260.6327,1.704926,"","",""
261.1805,1.702589,"","",""
261.6919,1.699584,"","",""
262.1135,1.690404,"","",""
262.6613,1.69274,"","",""
263.1702,1.693074,"","",""
263.6316,1.688901,"","",""
264.2531,1.682725,"","",""
264.7738,1.686398,"","",""
265.4105,1.686398,"","",""
265.921,1.683894,"","",""
266.346,1.688234,"","",""
266.8947,1.686731,"","",""
267.401,1.688901,"","",""
267.8243,1.69925,"","",""
268.3788,1.706595,"","",""
268.8817,1.710768,"","",""
269.3076,1.711102,"","",""
269.8546,1.708765,"","",""
270.3618,1.702756,"","",""
270.8224,1.694911,"","",""
271.4582,1.688234,"","",""
271.9501,1.693241,"","",""
272.3734,1.689569,"","",""
272.9229,1.691071,"","",""
273.4292,1.687566,"","",""
273.8526,1.688901,"","",""
274.3995,1.688568,"","",""
274.9126,1.692073,"","",""
275.3334,1.697581,"","",""
275.8829,1.697081,"","",""
276.39,1.695912,"","",""
276.8133,1.690737,"","",""
277.3662,1.683226,"","",""
277.9064,1.68139,"","",""
278.5245,1.680722,"","",""
279.0341,1.679721,"","",""
279.4592,1.67922,"","",""
280.0078,1.679721,"","",""
280.515,1.677885,"","",""
280.9375,1.678552,"","",""
281.492,1.678719,"","",""
281.9984,1.678886,"","",""
282.4183,1.679387,"","",""
282.967,1.679053,"","",""
283.4758,1.679387,"","",""
283.8982,1.679387,"","",""
284.4503,1.679554,"","",""
285.0091,1.679387,"","",""
285.6102,1.678719,"","",""
286.1233,1.678218,"","",""
286.5432,1.67705,"","",""
287.0919,1.678051,"","",""
287.5999,1.678218,"","",""
288.0232,1.675547,"","",""
288.5761,1.675047,"","",""
289.0815,1.677384,"","",""
289.5032,1.676549,"","",""
290.0518,1.677384,"","",""
290.5606,1.677718,"","",""
290.9849,1.679053,"","",""
291.5284,1.679387,"","",""
291.9763,1.679721,"","",""
292.4666,1.67922,"","",""
293.0135,1.678552,"","",""
293.5266,1.67922,"","",""
293.9465,1.678552,"","",""
294.4968,1.676716,"","",""
295.004,1.675047,"","",""
295.4265,1.675047,"","",""
295.9794,1.671541,"","",""
296.4822,1.678218,"","",""
296.9098,1.675882,"","",""
297.4559,1.678218,"","",""
297.9631,1.679554,"","",""
298.4034,1.679554,"","",""
299.0417,1.679721,"","",""
299.5895,1.681223,"","",""
300.205,1.683059,"","",""
300.7131,1.684728,"","",""
301.1364,1.683393,"","",""
301.6884,1.682558,"","",""
302.193,1.681891,"","",""
302.6189,1.680221,"","",""
303.1667,1.680055,"","",""
303.6789,1.681891,"","",""
304.0964,1.680722,"","",""
304.6484,1.680055,"","",""
305.1716,1.68139,"","",""
305.8142,1.680388,"","",""
306.3189,1.682558,"","",""
306.7769,1.686398,"","",""
307.3992,1.693408,"","",""
307.9064,1.691572,"","",""
308.3288,1.698082,"","",""
308.8834,1.703256,"","",""
309.3897,1.696413,"","",""
309.8088,1.697581,"","",""
310.36,1.697748,"","",""
310.8663,1.691739,"","",""
311.2888,1.691405,"","",""
311.8416,1.694076,"","",""
312.3471,1.689569,"","",""
312.7713,1.688568,"","",""
313.3191,1.692407,"","",""
313.8635,1.706762,"","",""
314.4832,1.715275,"","",""
314.9912,1.725457,"","",""
315.4171,1.72746,"","",""
315.9615,1.719949,"","",""
316.4746,1.719281,"","",""
316.8946,1.727293,"","",""
317.4441,1.731299,"","",""
317.9512,1.726125,"","",""
318.3745,1.726792,"","",""
318.9427,1.726793,"","",""
319.4355,1.72312,"","",""
319.8553,1.72529,"","",""
320.4048,1.731466,"","",""
320.9518,1.734304,"","",""
321.569,1.728462,"","",""
322.0779,1.733469,"","",""
322.5029,1.735306,"","",""
323.0448,1.728295,"","",""
323.5561,1.731299,"","",""
323.9794,1.726125,"","",""
324.529,1.723955,"","",""
325.0369,1.722119,"","",""
325.4764,1.718614,"","",""
326.1156,1.717779,"","",""
326.627,1.719949,"","",""
327.0461,1.723788,"","",""
327.5973,1.725958,"","",""
328.1383,1.722286,"","",""
328.7555,1.725457,"","",""
329.2677,1.728962,"","",""
329.6919,1.730966,"","",""
330.238,1.734471,"","",""
330.7485,1.734972,"","",""
331.1728,1.735973,"","",""
331.7214,1.734471,"","",""
332.2455,1.735139,"","",""
332.8864,1.734638,"","",""
333.3901,1.734972,"","",""
333.8195,1.733135,"","",""
334.3639,1.731299,"","",""
334.8727,1.732969,"","",""
335.3341,1.735138,"","",""
335.9556,1.737141,"","",""
336.4611,1.736808,"","",""
336.8827,1.736641,"","",""
337.4313,1.73831,"","",""
337.9393,1.741649,"","",""
338.3626,1.751998,"","",""
338.9155,1.758007,"","",""
339.4209,1.763015,"","",""
339.8443,1.771195,"","",""
340.3912,1.778706,"","",""
340.9009,1.783714,"","",""
341.326,1.783547,"","",""
341.8678,1.784215,"","",""
342.3149,1.792728,"","",""
342.8052,1.792561,"","",""
343.3597,1.792561,"","",""
343.8618,1.79373,"","",""
344.2885,1.793897,"","",""
344.8346,1.797569,"","",""
345.3426,1.815095,"","",""
345.7828,1.828616,"","",""
346.4221,1.84197,"","",""
346.9309,1.845475,"","",""
347.3509,1.84898,"","",""
347.9037,1.84898,"","",""
348.4092,1.850817,"","",""
348.8401,1.850149,"","",""
349.4218,1.83546,"","",""
349.8942,1.82244,"","",""
350.3125,1.802577,"","",""
350.8645,1.795399,"","",""
351.3725,1.793062,"","",""
351.7976,1.793563,"","",""
352.3394,1.794898,"","",""
352.8508,1.79373,"","",""
353.2741,1.792561,"","",""
353.8228,1.791226,"","",""
354.3308,1.787053,"","",""
354.7541,1.773698,"","",""
355.307,1.769692,"","",""
355.8107,1.762514,"","",""
356.2747,1.749995,"","",""
356.8936,1.740146,"","",""
357.4008,1.739645,"","",""
357.8258,1.738143,"","",""
358.3685,1.737976,"","",""
358.8782,1.737809,"","",""
359.3218,1.73831,"","",""
359.9535,1.74265,"","",""
360.4648,1.745988,"","",""
360.8874,1.748326,"","",""
361.4368,1.743986,"","",""
361.9449,1.762347,"","",""
362.369,1.768858,"","",""
362.9194,1.741983,"","",""
363.4621,1.736641,"","",""
364.0793,1.737141,"","",""
364.589,1.737141,"","",""
365.0149,1.737809,"","",""
365.5619,1.736808,"","",""
366.0859,1.736641,"","",""
366.7277,1.739312,"","",""
367.2357,1.738811,"","",""
367.6599,1.741983,"","",""
368.2035,1.745488,"","",""
368.7148,1.74699,"","",""
369.1364,1.744653,"","",""
369.6868,1.744319,"","",""
370.1948,1.742984,"","",""
370.6528,1.740814,"","",""
371.2726,1.743485,"","",""
371.7848,1.740647,"","",""
372.2031,1.740146,"","",""
372.7551,1.734805,"","",""
373.2622,1.734471,"","",""
373.6847,1.736307,"","",""
374.2308,1.736474,"","",""
374.7422,1.736474,"","",""
375.1647,1.735973,"","",""
375.7142,1.737141,"","",""
376.2239,1.735639,"","",""
376.649,1.735639,"","",""
377.1908,1.734304,"","",""
377.6378,1.735973,"","",""
378.1263,1.736808,"","",""
378.6741,1.736307,"","",""
379.1839,1.736641,"","",""
379.6223,1.736975,"","",""
380.2616,1.736307,"","",""
380.7738,1.738143,"","",""
381.193,1.737141,"","",""
381.7433,1.736975,"","",""
382.2504,1.73614,"","",""
382.6729,1.736975,"","",""
383.2267,1.736641,"","",""
383.7321,1.736307,"","",""
384.1537,1.735973,"","",""
384.7362,1.734805,"","",""
385.2121,1.733803,"","",""
385.6372,1.734304,"","",""
386.179,1.73614,"","",""
386.6938,1.735472,"","",""
387.1162,1.735973,"","",""
387.6624,1.735639,"","",""
388.1737,1.735806,"","",""
388.5987,1.735806,"","",""
389.1457,1.735973,"","",""
389.6537,1.736975,"","",""
390.0762,1.736641,"","",""
