TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\16-MARZO-2023 1T\L-716-4 34270900C 1T INICIO #5.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 900-37 WAVE DISC 16 IN-MINUTE Rev_3.par"
"TESTDATE","03-16-2023"
"TESTTIME","07:12:50"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.959476
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",487.6833
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","16-MARZO-2023 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34270900c*71623110740gtg"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.55
"LIMLOLOADIDX",1
"LIMLOLOAD",1.55
"LIMHILOADIDX",0
"LIMHILOAD",1.95
"LIMHILOADIDX",1
"LIMHILOAD",1.95
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
2.967358E-04,5.700444E-02,0,0,""
.7910551,7.786992E-02,0,0,""
1.341173,8.554842E-02,0,0,""
1.747483,8.287764E-02,0,0,""
2.731307,.1072485,0,0,""
3.224113,.1089177,0,0,""
3.648293,.1122562,0,0,""
4.193536,.1139255,0,0,""
4.704079,.1144262,0,0,""
5.12654,.1139255,0,0,""
5.67773,.1145932,0,0,""
6.082423,.114927,0,0,""
6.500681,.1154278,0,0,""
7.052676,.1197678,0,0,""
7.55898,.1321202,0,0,""
7.984099,.1366271,0,0,""
8.536089,.1486456,0,0,""
9.078813,.163168,0,0,""
9.692601,.1705126,0,0,""
10.20482,.1706796,0,0,""
10.62992,.1710134,0,0,""
11.17097,.1745188,0,0,""
11.68318,.1907104,0,0,""
12.10905,.2129113,0,0,""
12.67804,.2260983,0,0,""
13.16654,.2277675,0,0,""
13.59069,.2301044,0,0,""
14.13848,.2514707,0,0,""
14.64565,.2753409,0,0,""
15.06727,.2846887,0,0,""
15.61507,.2870255,0,0,""
16.07223,.3120641,0,0,""
16.55063,.3386051,0,0,""
17.09845,.3461166,0,0,""
17.60641,.3861785,0,0,""
18.0281,.3980301,0,0,""
18.58012,.4155571,0,0,""
19.09324,.4547842,0,0,""
19.53859,.4664689,0,0,""
20.17441,.5123729,0,0,""
20.68154,.5517669,0,0,""
21.10491,.5707963,0,0,""
21.65268,.624045,0,0,""
22.16575,.6517543,0,0,""
22.58485,.6868083,0,0,""
23.09962,.7385547,0,0,""
23.53987,.775278,0,0,""
23.96318,.8084958,0,0,""
24.52705,.8637475,0,0,""
25.02406,.9230056,0,0,""
25.66671,1.004965,0,0,""
26.20095,1.071234,0,0,""
26.8444,1.149187,0,0,""
27.34309,1.211617,0,0,""
27.76136,1.269373,0,0,""
28.31424,1.352,0,0,""
28.81626,1.421107,0,0,""
29.23793,1.474188,0,0,""
29.85429,1.534448,0,0,""
30.30046,1.553978,0,0,""
30.71964,1.590367,0,0,""
31.26743,1.598546,0,0,""
31.77715,1.612401,0,0,""
32.1996,1.636104,0,0,""
32.75163,1.647623,0,0,""
33.27488,1.649626,0,0,""
34.15623,1.650293,0,0,""
34.6405,1.650627,0,0,""
35.05535,1.651128,0,0,""
35.59891,1.653465,0,0,""
36.00964,1.658138,0,0,""
36.44644,1.656135,0,0,""
36.97988,1.659641,0,0,""
37.48955,1.666819,0,0,""
37.91372,1.662645,0,0,""
38.45645,1.655969,0,0,""
38.86538,1.652964,0,0,""
39.28448,1.651796,0,0,""
39.85256,1.651295,0,0,""
40.34534,1.651295,0,0,""
40.76617,1.651295,0,0,""
41.31398,1.651295,0,0,""
41.82369,1.650794,0,0,""
42.25036,1.65046,0,0,""
42.8185,1.650126,0,0,""
43.31972,1.650794,0,0,""
43.97844,1.65046,0,0,""
44.4763,1.650627,0,0,""
44.89029,1.65046,0,0,""
45.45162,1.65046,0,0,""
45.95622,1.650794,0,0,""
46.41258,1.65046,0,0,""
47.02472,1.648791,0,0,""
47.56152,1.648958,0,0,""
48.20247,1.649292,0,0,""
48.81371,1.645119,0,0,""
49.35302,1.647789,0,0,""
49.87712,1.647122,0,0,""
50.30302,1.646287,0,0,""
50.95745,1.646287,0,0,""
51.4824,1.645452,0,0,""
52.10216,1.646287,0,0,""
52.61183,1.648624,0,0,""
53.03435,1.648958,0,0,""
53.58553,1.649292,0,0,""
54.09438,1.649125,0,0,""
54.51523,1.648791,0,0,""
55.06133,1.649626,0,0,""
55.57271,1.648791,0,0,""
55.99773,1.648958,0,0,""
56.56075,1.644952,0,0,""
57.05432,1.634435,0,0,""
57.476,1.633934,0,0,""
58.02212,1.635604,0,0,""
58.46571,1.627258,0,0,""
58.95848,1.618744,0,0,""
59.50542,1.60973,0,0,""
60.03458,1.607393,0,0,""
60.67045,1.605223,0,0,""
61.17591,1.619579,0,0,""
61.60263,1.618744,0,0,""
62.14785,1.624754,0,0,""
62.66264,1.6331,0,0,""
63.08006,1.630429,0,0,""
63.64562,1.621415,0,0,""
64.13924,1.615907,0,0,""
64.56089,1.61791,0,0,""
65.10785,1.608562,0,0,""
65.54984,1.60539,0,0,""
66.04593,1.607226,0,0,""
66.59203,1.606392,0,0,""
66.9976,1.608729,0,0,""
67.41752,1.610231,0,0,""
67.96533,1.619579,0,0,""
68.47416,1.626924,0,0,""
68.89665,1.632265,0,0,""
69.44869,1.63744,0,0,""
69.95331,1.646788,0,0,""
70.38345,1.645285,0,0,""
70.92532,1.644117,0,0,""
71.33253,1.64562,0,0,""
71.75246,1.645119,0,0,""
72.3003,1.647789,0,0,""
72.7422,1.645452,0,0,""
73.23328,1.647956,0,0,""
73.79802,1.646621,0,0,""
74.28906,1.645119,0,0,""
74.71581,1.64612,0,0,""
75.26698,1.635437,0,0,""
75.76991,1.630596,0,0,""
76.19497,1.627091,0,0,""
76.74361,1.620747,0,0,""
77.25247,1.617075,0,0,""
77.67407,1.619078,0,0,""
78.22779,1.629094,0,0,""
78.73156,1.630596,0,0,""
79.15826,1.633934,0,0,""
79.73738,1.633601,0,0,""
80.23271,1.632933,0,0,""
80.86939,1.630262,0,0,""
81.3774,1.619579,0,0,""
81.79903,1.61407,0,0,""
82.34595,1.602052,0,0,""
82.85989,1.605724,0,0,""
83.27981,1.60105,0,0,""
83.84879,1.602386,0,0,""
84.3373,1.607727,0,0,""
84.76404,1.626757,0,0,""
85.31181,1.638442,0,0,""
85.81729,1.639443,0,0,""
86.24409,1.644284,0,0,""
86.82997,1.648791,0,0,""
87.29899,1.649626,0,0,""
87.72403,1.649792,0,0,""
88.27266,1.649959,0,0,""
88.77895,1.650126,0,0,""
89.20143,1.649292,0,0,""
89.74841,1.65046,0,0,""
90.2589,1.650794,0,0,""
