TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\15-MARZO-2023 1T\L-716-4 34270900C 1T INICIO #6.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 900-37 WAVE DISC 16 IN-MINUTE Rev_3.par"
"TESTDATE","03-15-2023"
"TESTTIME","06:36:59"
"PASSFAIL",0
"TURNAROUND",-999
"PEAKLOAD",2.96482
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",477.3608
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT",""
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","15-MAR-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34270900c*71623110730shy"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.55
"LIMLOLOADIDX",1
"LIMLOLOAD",1.55
"LIMHILOADIDX",0
"LIMHILOAD",1.95
"LIMHILOADIDX",1
"LIMHILOAD",1.95
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.451824E-04,5.617061E-02,0,0,""
.6913882,6.000986E-02,0,0,""
1.149748,.0581737,0,0,""
1.641597,5.934217E-02,0,0,""
2.508568,7.286302E-02,0,0,""
2.911638,7.870536E-02,0,0,""
3.334929,8.805311E-02,0,0,""
3.878512,9.990471E-02,0,0,""
4.394112,.105914,0,0,""
4.817414,.103744,0,0,""
5.360138,.1067486,0,0,""
5.869839,.1115894,0,0,""
6.301626,.1127579,0,0,""
6.843496,.1130917,0,0,""
7.350659,.1142602,0,0,""
7.790925,.1179325,0,0,""
8.43013,.125611,0,0,""
8.977093,.1463096,0,0,""
9.593485,.1658397,0,0,""
10.01002,.1685105,0,0,""
10.4198,.1700128,0,0,""
10.96252,.1711812,0,0,""
11.47563,.1820313,0,0,""
11.89984,.2030637,0,0,""
12.45185,.2220931,0,0,""
12.95565,.2269339,0,0,""
13.38149,.2276016,0,0,""
13.92842,.2457962,0,0,""
14.43641,.2674963,0,0,""
14.86143,.2806833,0,0,""
15.41178,.2851903,0,0,""
15.95277,.3135673,0,0,""
16.57003,.3394404,0,0,""
17.08056,.3441143,0,0,""
17.50473,.3689859,0,0,""
18.05336,.3973629,0,0,""
18.56305,.4068776,0,0,""
18.98722,.4469396,0,0,""
19.52994,.4622967,0,0,""
20.04134,.5043615,0,0,""
20.46639,.5150446,0,0,""
21.01417,.5666241,0,0,""
21.53654,.5911619,0,0,""
21.94806,.6255482,0,0,""
22.48994,.6761262,0,0,""
22.93697,.7081756,0,0,""
23.42464,.7422281,0,0,""
23.97329,.797146,0,0,""
24.48298,.8539,0,0,""
24.90797,.902141,0,0,""
25.45659,.963402,0,0,""
25.96377,1.021992,0,0,""
26.38623,1.075241,0,0,""
26.93489,1.133497,0,0,""
27.44795,1.193256,0,0,""
27.86705,1.230147,0,0,""
28.43008,.9800946,0,0,""
28.92456,1.121312,0,0,""
29.34708,1.272211,0,0,""
29.93548,1.365689,0,0,""
30.40627,1.423277,0,0,""
30.82787,1.480867,0,0,""
31.37649,1.54196,0,0,""
31.88791,1.601052,0,0,""
32.30954,1.650127,0,0,""
32.85394,1.706715,0,0,""
33.36702,1.759963,0,0,""
33.78947,1.80136,0,0,""
34.33643,1.846429,0,0,""
34.8639,1.883987,0,0,""
35.50312,1.936903,0,0,""
36.01283,1.989316,0,0,""
36.43616,1.992321,0,0,""
36.9179,1.998497,0,0,""
37.38612,1.99399,0,0,""
37.8078,1.991653,0,0,""
38.35984,1.988648,0,0,""
38.86782,1.938906,0,0,""
39.2886,1.927054,0,0,""
39.83639,1.891499,0,0,""
40.34525,1.900179,0,0,""
40.77111,1.934399,0,0,""
41.3206,1.956933,0,0,""
41.84127,1.988982,0,0,""
42.48479,1.990818,0,0,""
42.98852,1.991152,0,0,""
43.41525,1.991486,0,0,""
44.00198,1.973959,0,0,""
44.47104,1.934733,0,0,""
44.89606,1.89901,0,0,""
45.44047,1.863956,0,0,""
45.95268,1.822226,0,0,""
46.37438,1.823394,0,0,""
46.92214,1.875808,0,0,""
47.43271,1.919542,0,0,""
47.85691,1.934399,0,0,""
48.42079,1.9349,0,0,""
48.91776,1.934399,0,0,""
49.33515,1.929224,0,0,""
49.88887,1.906856,0,0,""
50.39179,1.879647,0,0,""
50.85828,1.877644,0,0,""
51.46707,1.877811,0,0,""
51.97758,1.876475,0,0,""
52.40685,1.876809,0,0,""
52.94955,1.877477,0,0,""
53.45924,1.877811,0,0,""
53.88427,1.87948,0,0,""
54.43292,1.903517,0,0,""
54.94004,1.933898,0,0,""
55.37952,1.934566,0,0,""
56.01785,1.936235,0,0,""
56.52587,1.935067,0,0,""
56.94836,1.934566,0,0,""
57.50208,1.930727,0,0,""
58.04309,1.916872,0,0,""
58.66032,1.904352,0,0,""
59.17422,1.917372,0,0,""
59.59337,1.915703,0,0,""
60.14452,1.922046,0,0,""
60.65086,1.917038,0,0,""
61.0742,1.911863,0,0,""
61.62706,1.89851,0,0,""
62.14779,1.880482,0,0,""
62.78444,1.877644,0,0,""
63.295,1.878145,0,0,""
63.72089,1.881149,0,0,""
64.26783,1.895171,0,0,""
64.77581,1.904352,0,0,""
65.23639,1.915202,0,0,""
65.85787,1.910195,0,0,""
66.36164,1.893001,0,0,""
66.78408,1.886992,0,0,""
67.33701,1.883319,0,0,""
67.84245,1.878645,0,0,""
68.26577,1.877811,0,0,""
68.82964,1.878645,0,0,""
69.32751,1.877644,0,0,""
69.74654,1.877477,0,0,""
70.2969,1.87731,0,0,""
70.80406,1.876475,0,0,""
71.2274,1.877811,0,0,""
71.77943,1.878312,0,0,""
72.3213,1.890163,0,0,""
72.9385,1.901013,0,0,""
73.44736,1.922714,0,0,""
73.87238,1.920377,0,0,""
74.42185,1.895505,0,0,""
74.9282,1.884488,0,0,""
75.35155,1.877811,0,0,""
75.90524,1.878645,0,0,""
76.40902,1.877811,0,0,""
76.8315,1.878145,0,0,""
