TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\14-MARZO-2023 1T\L-716-2 34285576C 1T C MODELO #1.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 10-76-45 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-14-2023"
"TESTTIME","09:33:52"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.958641
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",487.4734
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","14-MARZO-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.85
"LIMLOLOADIDX",1
"LIMLOLOAD",1.85
"LIMHILOADIDX",0
"LIMHILOAD",2.3
"LIMHILOADIDX",1
"LIMHILOAD",2.3
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.512382E-04,5.299521E-02,0,0,""
.5850902,.0508252,0,0,""
1.038054,5.099213E-02,0,0,""
1.854138,5.249444E-02,0,0,""
2.335068,5.266136E-02,0,0,""
2.80253,5.316214E-02,0,0,""
3.226614,5.299521E-02,0,0,""
3.772735,5.332905E-02,0,0,""
4.283308,5.366291E-02,0,0,""
4.704988,5.332906E-02,0,0,""
5.255281,5.583292E-02,0,0,""
5.778553,.0591714,0,0,""
6.41602,6.434605E-02,0,0,""
6.92574,7.252531E-02,0,0,""
7.349975,7.686534E-02,0,0,""
7.899439,8.454383E-02,0,0,""
8.407438,9.756389E-02,0,0,""
8.829924,.1007355,0,0,""
9.415008,.1042408,0,0,""
9.886545,.1070786,0,0,""
10.31329,.1095824,0,0,""
10.85936,.1099163,0,0,""
11.36903,.1099163,0,0,""
11.79242,.1099163,0,0,""
12.34275,.1100832,0,0,""
12.84814,.112587,0,0,""
13.27323,.1172609,0,0,""
13.82611,.1297802,0,0,""
14.32902,.1424664,0,0,""
14.75578,.1571557,0,0,""
15.30272,.165168,0,0,""
15.81071,.1665034,0,0,""
16.26789,.167338,0,0,""
16.88681,.1701757,0,0,""
17.3957,.1835297,0,0,""
17.81813,.2038944,0,0,""
18.37098,.2215883,0,0,""
18.8756,.2235914,0,0,""
19.31925,.2255945,0,0,""
19.95599,.2502992,0,0,""
20.46313,.2761724,0,0,""
20.88645,.2803456,0,0,""
21.43932,.285854,0,0,""
21.94477,.3260828,0,0,""
22.36722,.3357645,0,0,""
22.9159,.3434429,0,0,""
23.46457,.3851739,0,0,""
24.0809,.3971924,0,0,""
24.58806,.4320795,0,0,""
25.01135,.4512758,0,0,""
25.56425,.4774828,0,0,""
26.08327,.5081968,0,0,""
26.72248,.5495938,0,0,""
27.23219,.5701255,0,0,""
27.65379,.6131918,0,0,""
28.20587,.6449074,0,0,""
28.71387,.6832999,0,0,""
29.13546,.731374,0,0,""
29.68327,.7690987,0,0,""
30.19382,.8161712,0,0,""
30.65529,.853896,0,0,""
31.26739,.9173271,0,0,""
31.77878,.9687396,0,0,""
32.20557,1.02132,0,0,""
32.76606,1.080078,0,0,""
