TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\13-MARZO-2023 1T\L-716-2 34285576C 1T INICIO #2.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 10-76-45 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-13-2023"
"TESTTIME","06:45:18"
"PASSFAIL",0
"TURNAROUND",-999
"PEAKLOAD",2.967504
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",478.0618
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT","ESPECIAL"
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","13-MARZO-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.85
"LIMLOLOADIDX",1
"LIMLOLOAD",1.85
"LIMHILOADIDX",0
"LIMHILOAD",2.3
"LIMHILOADIDX",1
"LIMHILOAD",2.3
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.330708E-04,1.111425E-02,0,0,""
.6006598,3.414974E-02,0,0,""
1.136274,4.132747E-02,0,0,""
1.536413,4.516672E-02,0,0,""
2.401803,5.067521E-02,0,0,""
2.804855,5.635061E-02,0,0,""
3.225657,5.518216E-02,0,0,""
3.770948,5.685139E-02,0,0,""
4.282315,5.635061E-02,0,0,""
4.705606,5.718523E-02,0,0,""
5.252526,5.668446E-02,0,0,""
5.763075,5.751908E-02,0,0,""
6.18731,5.935524E-02,0,0,""
6.73595,6.135834E-02,0,0,""
7.25835,7.204146E-02,0,0,""
7.894982,9.975082E-02,0,0,""
8.406373,.1085978,0,0,""
8.868705,.1132716,0,0,""
9.486757,.1141063,0,0,""
9.994726,.1144401,0,0,""
10.41556,.1197817,0,0,""
10.96336,.1383103,0,0,""
11.47306,.1596765,0,0,""
11.89974,.1688573,0,0,""
12.4467,.1706935,0,0,""
12.9547,.1738651,0,0,""
13.37724,.1858836,0,0,""
13.93005,.2165975,0,0,""
14.43468,.2276145,0,0,""
14.86058,.2301183,0,0,""
15.4067,.2596639,0,0,""
15.84691,.2828662,0,0,""
16.33794,.2868724,0,0,""
16.89085,.3219266,0,0,""
17.39717,.3409559,0,0,""
17.81881,.3489682,0,0,""
18.37337,.39554,0,0,""
18.87635,.4008815,0,0,""
19.30212,.4437809,0,0,""
19.84993,.4581364,0,0,""
20.35624,.5020373,0,0,""
20.79487,.513555,0,0,""
21.33333,.5669706,0,0,""
21.83624,.5911748,0,0,""
22.26384,.6262289,0,0,""
22.84469,.6813137,0,0,""
23.31791,.7263831,0,0,""
23.7404,.7454125,0,0,""
24.29328,.7998295,0,0,""
24.79789,.8539129,0,0,""
25.22378,.8958107,0,0,""
25.77833,.9547348,0,0,""
26.27954,1.003643,0,0,""
26.70117,1.035526,0,0,""
27.25321,1.095118,0,0,""
27.77729,1.1482,0,0,""
28.41823,1.207958,0,0,""
28.922,1.253696,0,0,""
29.34786,1.303439,0,0,""
29.92867,1.344169,0,0,""
30.4045,1.373214,0,0,""
30.82957,1.421621,0,0,""
31.37142,1.452836,0,0,""
31.88368,1.480546,0,0,""
32.30611,1.508589,0,0,""
