TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\13-MARZO-2023 1T\L-716-2 34285576C 1T INICIO #3.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 10-76-45 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-13-2023"
"TESTTIME","06:48:28"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.995714
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",480.0701
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","13-MARZO-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34285576c*716231107200j4"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.85
"LIMLOLOADIDX",1
"LIMLOLOAD",1.85
"LIMHILOADIDX",0
"LIMHILOAD",2.3
"LIMHILOADIDX",1
"LIMHILOAD",2.3
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.512382E-04,3.769603E-03,0,0,""
.7041963,3.481745E-02,0,0,""
1.240162,4.666903E-02,0,0,""
1.642554,5.100906E-02,0,0,""
2.608531,5.584985E-02,0,0,""
3.020007,5.718523E-02,0,0,""
3.43746,.0570183,0,0,""
3.990339,.0570183,0,0,""
4.493221,5.735215E-02,0,0,""
4.919879,.0570183,0,0,""
5.465152,5.868755E-02,0,0,""
5.974829,6.987146E-02,0,0,""
6.39735,8.389307E-02,0,0,""
6.949364,9.708004E-02,0,0,""
7.470922,.1084309,0,0,""
8.107584,.1139393,0,0,""
8.618133,.1144401,0,0,""
9.080429,.1176117,0,0,""
9.700189,.1406472,0,0,""
10.20734,.1591758,0,0,""
10.62812,.1678558,0,0,""
11.17593,.1710273,0,0,""
11.68647,.1738651,0,0,""
12.11145,.1855497,0,0,""
12.65926,.2194352,0,0,""
13.16727,.2271137,0,0,""
13.59061,.2296176,0,0,""
14.14348,.2596639,0,0,""
14.64642,.2840347,0,0,""
15.07316,.2852032,0,0,""
15.61924,.3104088,0,0,""
16.1679,.340622,0,0,""
16.78422,.3546436,0,0,""
17.2914,.3952061,0,0,""
17.7156,.4000469,0,0,""
18.26763,.447954,0,0,""
18.77052,.4568009,0,0,""
19.19721,.4953604,0,0,""
19.74417,.5123865,0,0,""
20.25302,.5544513,0,0,""
20.67468,.5714777,0,0,""
21.24194,.6238919,0,0,""
21.73216,.6584452,0,0,""
22.15885,.6854868,0,0,""
22.70411,.7394031,0,0,""
23.14523,.7759594,0,0,""
23.6372,.8105126,0,0,""
24.18751,.8612575,0,0,""
24.69297,.9160085,0,0,""
25.11713,.9670871,0,0,""
25.6641,1.024175,0,0,""
26.17466,1.082264,0,0,""
26.59962,1.129672,0,0,""
27.14828,1.186759,0,0,""
27.65542,1.230327,0,0,""
28.07877,1.264379,0,0,""
28.63162,1.314456,0,0,""
29.13456,1.367371,0,0,""
29.5612,1.418283,0,0,""
30.1412,1.472533,0,0,""
30.61617,1.511426,0,0,""
31.03955,1.541639,0,0,""
31.58397,1.594889,0,0,""
32.09623,1.642628,0,0,""
32.51954,1.656316,0,0,""
33.06733,1.70606,0,0,""
33.57701,1.710734,0,0,""
34.00203,1.730264,0,0,""
34.5659,1.738944,0,0,""
35.05611,1.720749,0,0,""
35.48116,1.708397,0,0,""
36.03403,1.69137,0,0,""
36.53692,1.66967,0,0,""
36.99582,1.704224,0,0,""
37.61223,1.720582,0,0,""
38.1236,1.763815,0,0,""
38.54945,1.765818,0,0,""
39.09554,1.781008,0,0,""
39.60441,1.793695,0,0,""
40.02694,1.806548,0,0,""
40.58063,1.795197,0,0,""
41.08361,1.775333,0,0,""
41.52722,1.766486,0,0,""
42.16391,1.755636,0,0,""
42.67107,1.709732,0,0,""
43.09355,1.707562,0,0,""
43.64052,1.717911,0,0,""
44.08496,1.76465,0,0,""
44.57519,1.809553,0,0,""
45.12385,1.821571,0,0,""
45.63269,1.82274,0,0,""
46.05519,1.822239,0,0,""
46.60551,1.82057,0,0,""
47.11182,1.805713,0,0,""
47.54102,1.786684,0,0,""
48.09815,1.772161,0,0,""
48.59347,1.770659,0,0,""
49.02024,1.769156,0,0,""
49.56719,1.770492,0,0,""
50.07604,1.776167,0,0,""
50.49761,1.783345,0,0,""
51.08441,1.807383,0,0,""
51.55517,1.821237,0,0,""
51.98014,1.821905,0,0,""
52.52707,1.831753,0,0,""
53.0351,1.851617,0,0,""
53.45757,1.858795,0,0,""
54.01044,1.867141,0,0,""
54.5142,1.854288,0,0,""
54.95785,1.840433,0,0,""
55.59542,1.826913,0,0,""
56.10085,1.824075,0,0,""
56.52502,1.828749,0,0,""
57.07874,1.848446,0,0,""
57.58251,1.863969,0,0,""
58.04566,1.871314,0,0,""
58.65694,1.876822,0,0,""
59.16916,1.875487,0,0,""
59.59256,1.874485,0,0,""
60.14035,1.86881,0,0,""
60.64923,1.863969,0,0,""
61.07421,1.859963,0,0,""
61.63895,1.871481,0,0,""
62.1334,1.877156,0,0,""
62.55504,1.878324,0,0,""
63.10706,1.877991,0,0,""
63.60996,1.878491,0,0,""
64.035,1.878491,0,0,""
64.58366,1.878324,0,0,""
65.12891,1.877657,0,0,""
65.74781,1.876655,0,0,""
66.25497,1.877156,0,0,""
66.6783,1.875988,0,0,""
67.22525,1.872482,0,0,""
67.73662,1.864303,0,0,""
68.16081,1.862634,0,0,""
68.72212,1.857793,0,0,""
69.21661,1.868142,0,0,""
69.63913,1.875988,0,0,""
70.192,1.878491,0,0,""
70.69577,1.879994,0,0,""
71.12329,1.880995,0,0,""
71.66943,1.881329,0,0,""
72.21301,1.880161,0,0,""
72.83362,1.878324,0,0,""
73.34164,1.878491,0,0,""
73.76321,1.877824,0,0,""
74.31018,1.877991,0,0,""
74.82068,1.877657,0,0,""
75.2618,1.878492,0,0,""
75.79351,1.878658,0,0,""
76.3015,1.876655,0,0,""
76.72311,1.877156,0,0,""
77.27602,1.874152,0,0,""
77.78233,1.871815,0,0,""
78.2048,1.87098,0,0,""
78.75259,1.873818,0,0,""
79.29953,1.877991,0,0,""
79.91846,1.876488,0,0,""
80.4256,1.875821,0,0,""
80.8481,1.871815,0,0,""
81.4018,1.866807,0,0,""
81.92081,1.844106,0,0,""
82.56092,1.825577,0,0,""
83.06974,1.825244,0,0,""
83.49561,1.824743,0,0,""
84.04341,1.822406,0,0,""
84.55141,1.823741,0,0,""
84.97311,1.822072,0,0,""
85.52769,1.821571,0,0,""
86.02975,1.827914,0,0,""
86.48863,1.85362,0,0,""
87.10503,1.876822,0,0,""
87.61644,1.878491,0,0,""
88.04478,1.880494,0,0,""
88.58835,1.885836,0,0,""
89.09807,1.897521,0,0,""
89.52389,1.896853,0,0,""
90.0717,1.888507,0,0,""
90.57886,1.886504,0,0,""
91.0013,1.88834,0,0,""
91.54827,1.894516,0,0,""
92.05964,1.896519,0,0,""
92.4847,1.898022,0,0,""
93.03247,1.905367,0,0,""
93.5752,1.898022,0,0,""
94.19663,1.895351,0,0,""
94.70464,1.900692,0,0,""
95.12628,1.913212,0,0,""
95.69522,1.928569,0,0,""
96.188,1.935079,0,0,""
96.60545,1.936415,0,0,""
97.15667,1.940588,0,0,""
97.66462,1.953941,0,0,""
98.08794,1.952439,0,0,""
98.63998,1.951104,0,0,""
99.14375,1.95511,0,0,""
99.56965,1.940087,0,0,""
100.1174,1.93558,0,0,""
100.661,1.933577,0,0,""
101.2816,1.918554,"","",""
101.7887,1.887339,"","",""
102.2273,1.883499,"","",""
102.8666,1.879827,"","",""
103.3746,1.878825,"","",""
103.797,1.878658,"","",""
104.3499,1.878825,"","",""
104.8554,1.878157,"","",""
105.2787,1.87799,"","",""
105.8265,1.874318,"","",""
106.3362,1.863135,"","",""
106.7578,1.844106,"","",""
107.3107,1.842603,"","",""
107.8517,1.835092,"","",""
108.4748,1.833089,"","",""
108.9938,1.827747,"","",""
109.6331,1.822907,"","",""
110.1436,1.822239,"","",""
110.5686,1.821738,"","",""
111.1165,1.821738,"","",""
111.6244,1.821404,"","",""
112.0469,1.822072,"","",""
112.5998,1.825744,"","",""
113.1027,1.82758,"","",""
113.5295,1.831086,"","",""
114.0773,1.833089,"","",""
114.5853,1.824409,"","",""
115.045,1.823074,"","",""
115.6614,1.821571,"","",""
116.172,1.821738,"","",""
116.5969,1.821738,"","",""
117.1447,1.821571,"","",""
117.6544,1.821738,"","",""
118.0743,1.821237,"","",""
118.6289,1.821404,"","",""
119.1336,1.820737,"","",""
119.5551,1.821738,"","",""
120.1047,1.826746,"","",""
120.6127,1.845274,"","",""
121.0343,1.85579,"","",""
121.588,1.867308,"","",""
122.129,1.876321,"","",""
122.7666,1.875988,"","",""
123.2559,1.871648,"","",""
123.6827,1.872816,"","",""
124.2296,1.867641,"","",""
124.7376,1.868476,"","",""
125.161,1.864971,"","",""
125.713,1.867308,"","",""
126.2168,1.869478,"","",""
126.6435,1.867808,"","",""
127.1896,1.870479,"","",""
127.6985,1.865639,"","",""
128.1201,1.865805,"","",""
128.6738,1.875487,"","",""
129.2173,1.877156,"","",""
129.838,1.878324,"","",""
130.3417,1.878324,"","",""
130.7676,1.878658,"","",""
131.3137,1.878157,"","",""
131.8225,1.878658,"","",""
132.2441,1.878491,"","",""
132.7911,1.878658,"","",""
133.3016,1.878157,"","",""
133.7284,1.878157,"","",""
134.2728,1.878324,"","",""
134.7833,1.87799,"","",""
135.2059,1.878491,"","",""
135.757,1.878157,"","",""
136.3141,1.877824,"","",""
136.9161,1.878658,"","",""
137.4266,1.878992,"","",""
137.8534,1.878491,"","",""
138.3986,1.878324,"","",""
138.9092,1.878825,"","",""
139.3308,1.877657,"","",""
139.8828,1.875654,"","",""
140.39,1.874652,"","",""
140.8116,1.86397,"","",""
141.3594,1.84878,"","",""
141.8699,1.853286,"","",""
142.2958,1.855623,"","",""
142.8588,1.850115,"","",""
143.388,1.85796,"","",""
144.0078,1.866473,"","",""
144.5115,1.845441,"","",""
144.9391,1.844773,"","",""
145.4852,1.852452,"","",""
145.994,1.853787,"","",""
146.4165,1.856792,"","",""
146.9677,1.857793,"","",""
147.4732,1.852953,"","",""
147.8974,1.850949,"","",""
148.452,1.850282,"","",""
148.9557,1.837429,"","",""
149.3807,1.833089,"","",""
149.9489,1.82975,"","",""
150.4704,1.830585,"","",""
151.086,1.825911,"","",""
151.5982,1.823741,"","",""
152.0215,1.824576,"","",""
152.5693,1.824743,"","",""
153.0798,1.826245,"","",""
153.5048,1.826746,"","",""
154.0526,1.831753,"","",""
154.5589,1.842103,"","",""
154.9822,1.844273,"","",""
155.536,1.82925,"","",""
156.0397,1.823074,"","",""
156.4817,1.823074,"","",""
157.115,1.821738,"","",""
157.5587,1.821571,"","",""
158.0497,1.821404,"","",""
158.5984,1.822072,"","",""
159.1089,1.82274,"","",""
159.5323,1.823741,"","",""
160.0809,1.825911,"","",""
160.5889,1.828916,"","",""
161.0156,1.829083,"","",""
161.5575,1.837095,"","",""
162.068,1.850449,"","",""
162.4956,1.85579,"","",""
163.0408,1.869478,"","",""
163.5488,1.876989,"","",""
163.9722,1.877824,"","",""
164.5589,1.878157,"","",""
165.028,1.878491,"","",""
165.4555,1.878491,"","",""
166.0008,1.878324,"","",""
166.5113,1.877824,"","",""
166.9355,1.878157,"","",""
167.4842,1.87799,"","",""
167.9896,1.876321,"","",""
168.4137,1.877991,"","",""
168.9607,1.877156,"","",""
169.4713,1.87749,"","",""
169.9123,1.877824,"","",""
170.5524,1.87749,"","",""
171.057,1.878324,"","",""
171.5176,1.878157,"","",""
172.1373,1.878658,"","",""
172.6454,1.878491,"","",""
173.0661,1.875487,"","",""
173.6131,1.871982,"","",""
174.1245,1.868643,"","",""
174.5495,1.871814,"","",""
175.0973,1.873985,"","",""
175.6044,1.876822,"","",""
176.0286,1.878324,"","",""
176.5815,1.877824,"","",""
177.0844,1.878324,"","",""
177.512,1.87749,"","",""
178.0564,1.878324,"","",""
178.6017,1.878491,"","",""
179.2223,1.878825,"","",""
179.7303,1.879326,"","",""
180.1536,1.880661,"","",""
180.7065,1.882998,"","",""
181.2094,1.881329,"","",""
181.6353,1.881663,"","",""
182.183,1.886671,"","",""
182.691,1.890343,"","",""
183.1127,1.889342,"","",""
183.6791,1.882665,"","",""
184.1702,1.881663,"","",""
184.596,1.880995,"","",""
185.1438,1.879993,"","",""
185.6874,1.884835,"","",""
186.3072,1.892346,"","",""
186.816,1.894016,"","",""
187.2368,1.904365,"","",""
187.7913,1.914214,"","",""
188.2951,1.908705,"","",""
188.721,1.901027,"","",""
189.2672,1.901861,"","",""
189.776,1.894183,"","",""
190.2145,1.897855,"","",""
190.8521,1.904031,"","",""
191.3618,1.912544,"","",""
191.7885,1.912544,"","",""
192.3354,1.925231,"","",""
192.7765,1.925231,"","",""
193.2668,1.923728,"","",""
193.8188,1.924563,"","",""
194.3217,1.922226,"","",""
194.7459,1.930906,"","",""
195.2971,1.934078,"","",""
195.8033,1.935246,"","",""
196.2275,1.935413,"","",""
196.7711,1.935413,"","",""
197.2842,1.935413,"","",""
197.7076,1.93558,"","",""
198.2545,1.936081,"","",""
198.7651,1.936248,"","",""
199.1867,1.935747,"","",""
199.7726,1.935079,"","",""
200.2467,1.935246,"","",""
200.6683,1.935413,"","",""
201.2153,1.934746,"","",""
201.725,1.935246,"","",""
202.1483,1.934746,"","",""
202.6978,1.935079,"","",""
203.2075,1.935413,"","",""
203.6283,1.935413,"","",""
204.182,1.935413,"","",""
204.6866,1.935747,"","",""
205.1125,1.934412,"","",""
205.6586,1.934579,"","",""
206.1675,1.931741,"","",""
206.6272,1.931908,"","",""
207.2444,1.928569,"","",""
207.7533,1.930573,"","",""
208.1774,1.93341,"","",""
208.727,1.933243,"","",""
209.2358,1.930906,"","",""
209.6574,1.932576,"","",""
210.2103,1.924396,"","",""
210.7301,1.918387,"","",""
211.3686,1.918053,"","",""
211.8782,1.920891,"","",""
212.3041,1.915382,"","",""
212.8612,1.918053,"","",""
213.3997,1.911543,"","",""
214.011,1.907704,"","",""
214.5215,1.902863,"","",""
214.9542,1.913045,"","",""
215.4935,1.925064,"","",""
216.0032,1.928903,"","",""
216.4265,1.932409,"","",""
216.9785,1.935079,"","",""
217.4984,1.935246,"","",""
218.1342,1.935413,"","",""
218.6456,1.935914,"","",""
219.0723,1.936081,"","",""
219.6176,1.937082,"","",""
220.1281,1.942424,"","",""
220.5862,1.95077,"","",""
221.2042,1.942257,"","",""
221.7148,1.94209,"","",""
222.139,1.93992,"","",""
222.6868,1.93992,"","",""
223.1947,1.943259,"","",""
223.6165,1.9486,"","",""
224.1786,1.957614,"","",""
224.674,1.972303,"","",""
225.1023,1.984989,"","",""
225.6467,1.990163,"","",""
226.1548,1.990497,"","",""
226.5772,1.991499,"","",""
227.1301,1.993669,"","",""
227.6711,2.00118,"","",""
228.2883,2.02021,"","",""
228.798,2.012031,"","",""
229.2205,2.000179,"","",""
229.7717,1.994336,"","",""
230.2814,1.992334,"","",""
230.7013,1.990497,"","",""
231.2482,1.981483,"","",""
231.7596,1.958115,"","",""
232.1855,1.94643,"","",""
232.7316,1.939085,"","",""
233.2405,1.935246,"","",""
233.6639,1.934412,"","",""
234.2167,1.934245,"","",""
234.7569,1.934412,"","",""
235.3707,1.933577,"","",""
235.8837,1.93074,"","",""
236.3097,1.924062,"","",""
236.8575,1.907871,"","",""
237.3655,1.902863,"","",""
237.8032,1.888173,"","",""
238.4416,1.883666,"","",""
238.9513,1.889008,"","",""
239.3763,1.886504,"","",""
239.9258,1.888507,"","",""
240.4338,1.889342,"","",""
240.8563,1.888841,"","",""
241.4083,1.882999,"","",""
241.9493,1.888006,"","",""
242.5657,1.887005,"","",""
243.0754,1.880995,"","",""
243.4987,1.884668,"","",""
244.0499,1.882665,"","",""
244.5714,1.88183,"","",""
245.2081,1.880161,"","",""
245.7186,1.879159,"","",""
246.1454,1.878992,"","",""
246.6915,1.878658,"","",""
247.2012,1.878658,"","",""
247.6245,1.878324,"","",""
248.1748,1.879326,"","",""
248.682,1.881163,"","",""
249.1392,1.880661,"","",""
249.7598,1.879827,"","",""
250.2678,1.880828,"","",""
250.6903,1.880828,"","",""
251.2592,1.884334,"","",""
251.7503,1.881997,"","",""
252.172,1.880328,"","",""
252.7206,1.87966,"","",""
253.2287,1.878491,"","",""
253.6511,1.878324,"","",""
254.2031,1.878324,"","",""
254.7086,1.878658,"","",""
255.1319,1.878325,"","",""
255.6805,1.878658,"","",""
256.1217,1.880161,"","",""
256.611,1.87966,"","",""
257.1656,1.882164,"","",""
257.6727,1.884501,"","",""
258.1105,1.891679,"","",""
258.7488,1.890009,"","",""
259.2568,1.912711,"","",""
259.6785,1.919722,"","",""
260.2314,1.922727,"","",""
260.7368,1.927735,"","",""
261.1611,1.927568,"","",""
261.708,1.932743,"","",""
262.2186,1.934245,"","",""
262.6435,1.933911,"","",""
263.2252,1.934745,"","",""
263.6968,1.934245,"","",""
264.1218,1.935079,"","",""
264.6891,1.934245,"","",""
265.1785,1.934746,"","",""
265.6043,1.934913,"","",""
266.1512,1.934912,"","",""
266.6592,1.934579,"","",""
267.0809,1.934579,"","",""
267.6337,1.934912,"","",""
268.1418,1.930406,"","",""
268.5626,1.9269,"","",""
269.1113,1.914714,"","",""
269.6209,1.912544,"","",""
270.079,1.913713,"","",""
270.6979,1.898856,"","",""
271.2059,1.905033,"","",""
271.647,1.914214,"","",""
272.2879,1.909373,"","",""
272.7917,1.906201,"","",""
273.2175,1.908872,"","",""
273.7645,1.907203,"","",""
274.2733,1.913212,"","",""
274.6958,1.906034,"","",""
275.2487,1.89919,"","",""
275.755,1.89485,"","",""
276.1766,1.905534,"","",""
276.7244,1.90303,"","",""
277.1664,1.90303,"","",""
