TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\14-MARZO-2023 3T\L-716-2 34285576C 2T INICIO #1.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 10-76-45 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-14-2023"
"TESTTIME","18:52:00"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.971512
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",482.7312
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","546962"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","14-MARZO-23 3T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.85
"LIMLOLOADIDX",1
"LIMLOLOAD",1.85
"LIMHILOADIDX",0
"LIMHILOAD",2.3
"LIMHILOADIDX",1
"LIMHILOAD",2.3
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
2.846241E-04,2.363656E-02,0,0,""
.6904375,2.413733E-02,0,0,""
1.132877,2.513887E-02,0,0,""
1.539847,2.480502E-02,0,0,""
2.502681,2.614041E-02,0,0,""
2.910729,2.530579E-02,0,0,""
3.334038,2.580656E-02,0,0,""
3.876732,2.647426E-02,0,0,""
4.391501,2.831043E-02,0,0,""
4.811491,.0281435,0,0,""
5.360077,3.014659E-02,0,0,""
5.869779,3.265044E-02,0,0,""
6.291446,.0329843,0,0,""
6.843508,3.765817E-02,0,0,""
7.350611,5.034439E-02,0,0,""
7.774011,.0573552,0,0,""
8.321821,5.785596E-02,0,0,""
8.865356,6.386523E-02,0,0,""
9.485098,7.838762E-02,0,0,""
9.993079,7.655144E-02,0,0,""
10.41558,8.155917E-02,0,0,""
10.98453,8.205995E-02,0,0,""
11.47561,.0823938,0,0,""
11.89723,8.272764E-02,0,0,""
12.44416,8.473073E-02,0,0,""
12.95385,8.673382E-02,0,0,""
13.37632,9.341078E-02,0,0,""
13.92837,.1111047,0,0,""
14.43639,.123624,0,0,""
14.85798,.1299671,0,0,""
15.40493,.1376456,0,0,""
15.84774,.1391479,0,0,""
16.34134,.1398156,0,0,""
16.88828,.1408172,0,0,""
17.3955,.1570088,0,0,""
17.83662,.1710303,0,0,""
18.47329,.1907273,0,0,""
18.9821,.195902,0,0,""
19.4072,.1969035,0,0,""
19.95756,.2167675,0,0,""
20.46212,.2448108,0,0,""
20.88627,.2528232,0,0,""
21.44004,.2559947,0,0,""
21.9446,.2820348,0,0,""
22.36961,.3079079,0,0,""
22.95127,.3119141,0,0,""
23.42461,.3409589,0,0,""
23.84706,.364829,0,0,""
24.41688,.3708383,0,0,""
24.9071,.4132368,0,0,""
25.32789,.4247546,0,0,""
25.87652,.4636478,0,0,""
26.38539,.480841,0,0,""
26.80788,.4992027,0,0,""
27.35994,.5370947,0,0,""
27.86625,.5703124,0,0,""
28.28953,.5950171,0,0,""
28.83647,.6465965,0,0,""
29.34619,.6923336,0,0,""
29.80507,.7235485,0,0,""
30.42149,.7836409,0,0,""
30.93114,.8370566,0,0,""
31.37228,.8859653,0,0,""
31.90482,.9427192,0,0,""
