TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\14-MARZO-2023 1T\L-716-3 34285576C  1T INICIO #1.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 10-76-45 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-14-2023"
"TESTTIME","06:51:36"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.939611
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",472.3502
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","547503"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","14-MARZO-23 1T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34285576c*716231107300kg"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.85
"LIMLOLOADIDX",1
"LIMLOLOAD",1.85
"LIMHILOADIDX",0
"LIMHILOAD",2.3
"LIMHILOADIDX",1
"LIMHILOAD",2.3
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.875732E-04,4.197824E-02,0,0,""
.4820624,.0486552,0,0,""
1.343686,5.065827E-02,0,0,""
1.750069,5.149289E-02,0,0,""
2.610251,5.299521E-02,0,0,""
3.018317,5.282829E-02,0,0,""
3.442522,5.299521E-02,0,0,""
3.986088,5.332906E-02,0,0,""
4.497448,5.299521E-02,0,0,""
4.919946,5.332905E-02,0,0,""
5.46775,5.366291E-02,0,0,""
5.976622,5.382983E-02,0,0,""
6.399942,5.533215E-02,0,0,""
6.946045,5.783601E-02,0,0,""
7.474386,6.634913E-02,0,0,""
8.111024,7.202455E-02,0,0,""
8.620755,9.021925E-02,0,0,""
9.083893,9.739698E-02,0,0,""
9.695986,.1037401,0,0,""
10.2099,.1084139,0,0,""
10.62904,.1097493,0,0,""
11.17853,.1099163,0,0,""
11.68649,.1102501,0,0,""
12.10899,.1142563,0,0,""
12.66104,.1217678,0,0,""
13.16898,.1392948,0,0,""
13.59151,.1544849,0,0,""
14.13931,.1656688,0,0,""
14.64812,.1668372,0,0,""
15.07315,.1671711,0,0,""
15.62267,.1751835,0,0,""
16.16367,.2033936,0,0,""
16.78004,.2225898,0,0,""
17.29141,.224426,0,0,""
17.71557,.2324383,0,0,""
18.26426,.2679932,0,0,""
18.77308,.2806794,0,0,""
19.19727,.2828493,0,0,""
19.74082,.3225774,0,0,""
20.25394,.3377676,0,0,""
20.67642,.3464476,0,0,""
21.24368,.3891801,0,0,""
21.73477,.3955232,0,0,""
22.15636,.4282403,0,0,""
22.70669,.4516096,0,0,""
23.14781,.4766482,0,0,""
23.63972,.5065275,0,0,""
24.18415,.5262246,0,0,""
24.69382,.5654516,0,0,""
25.12138,.5946633,0,0,""
25.66746,.6262119,0,0,""
26.17464,.6789598,0,0,""
26.59801,.722527,0,0,""
27.14493,.7667617,0,0,""
27.65801,.8111635,0,0,""
28.08053,.8500567,0,0,""
28.62749,.9076455,0,0,""
29.13714,.9643995,0,0,""
29.56132,1.017481,0,0,""
30.11079,1.078075,0,0,""
30.55106,1.134161,0,0,""
31.04211,1.192084,0,0,""
31.58653,1.25685,0,0,""
32.09792,1.319113,0,0,""
32.52038,1.370525,0,0,""
