TENSILE WAVEFORM 3.0
"FILENAME","C:\Pruebas de proceso 2023\MARZO\14-MARZO-2023 3T\L-716-3 34285576C 2T INICIO #1.csv"
"PARAFILE","C:\Test Parameters\SPR8 SPOOL 10-76-45 WAVE DISC 16 IN-MINUTE REV_3.par"
"TESTDATE","03-14-2023"
"TESTTIME","19:11:11"
"PASSFAIL",1
"TURNAROUND",-999
"PEAKLOAD",2.942183
"WORKLOAD",0
"USEWORKLOADLIMIT",#FALSE#
"WORKLOADLO",0
"WORKLOADHI",100
"USEPEAKLOADLIMIT",#TRUE#
"PEAKLOADLO",0
"PEAKLOADHI",10
"PEAKPOS",470.4511
"USEPEAKPOSLIMIT",#TRUE#
"PEAKPOSLO",-100
"PEAKPOSHI",500
"STEPTYPE",1
"HANDHELD",0
"COMMENTIDX",0
"COMMENTLABEL","Technician"
"COMMENT","546962"
"COMMENTIDX",1
"COMMENTLABEL","Lab Number"
"COMMENT",""
"COMMENTIDX",2
"COMMENTLABEL","Part Number"
"COMMENT","04657"
"COMMENTIDX",3
"COMMENTLABEL","Sample Description"
"COMMENT",""
"COMMENTIDX",4
"COMMENTLABEL","Sample Date"
"COMMENT","14-MARZO-23 3T"
"COMMENTIDX",5
"COMMENTLABEL","Comment"
"COMMENT","p34285576c*71623110730e2e"
"COMMENTIDX",6
"COMMENTLABEL","Comment"
"COMMENT",""
"COMMENTIDX",7
"COMMENTLABEL","Failure Description"
"COMMENT",""
"MOVETO",1000
"MOVERATE",6.773333
"MAXLOAD",3
"MINLOAD",.1
"ELONGATION",#FALSE#
"DESCRIPTION",""
"MARKERIDX",0
"MARKER",0
"MARKERIDX",1
"MARKER",-100
"MARKERIDX",2
"MARKER",500
"MARKERIDX",3
"MARKER",500
"USELIMITS",#TRUE#
"LIMPOSIDX",0
"LIMPOS",225
"LIMPOSIDX",1
"LIMPOS",275
"LIMLOLOADIDX",0
"LIMLOLOAD",1.85
"LIMLOLOADIDX",1
"LIMLOLOAD",1.85
"LIMHILOADIDX",0
"LIMHILOAD",2.3
"LIMHILOADIDX",1
"LIMHILOAD",2.3
"WAVEFORM DATA",0
"Position","Load","Handheld Gauge Load","Handheld Gauge Time"
3.572941E-04,2.652192E-02,0,0,""
.6879425,2.335037E-02,0,0,""
1.236752,2.234883E-02,0,0,""
1.744897,2.618808E-02,0,0,""
2.616162,2.535346E-02,0,0,""
3.017439,2.602115E-02,0,0,""
3.441614,2.652192E-02,0,0,""
3.984332,2.652192E-02,0,0,""
4.49823,2.685577E-02,0,0,""
4.919885,.0270227,0,0,""
5.46769,2.819116E-02,0,0,""
5.976537,2.735655E-02,0,0,""
6.398973,3.069502E-02,0,0,""
6.952706,3.637043E-02,0,0,""
7.455631,4.087738E-02,0,0,""
7.883222,4.321432E-02,0,0,""
8.427616,6.374595E-02,0,0,""
8.972896,6.574903E-02,0,0,""
9.592607,7.192522E-02,0,0,""
10.10062,7.826832E-02,0,0,""
10.52482,8.260833E-02,0,0,""
11.06925,8.127293E-02,0,0,""
11.5815,8.344293E-02,0,0,""
12.0039,8.394372E-02,0,0,""
12.55256,8.611373E-02,0,0,""
13.0623,9.529454E-02,0,0,""
13.48304,.11182,0,0,""
14.0503,.1318509,0,0,""
14.54307,.1383609,0,0,""
14.96638,.140364,0,0,""
15.51247,.1433686,0,0,""
16.0586,.1542187,0,0,""
16.67835,.1772542,0,0,""
17.1889,.1964505,0,0,""
17.61226,.197619,0,0,""
18.15582,.2126421,0,0,""
18.66888,.2495323,0,0,""
19.08884,.2542062,0,0,""
19.63831,.2697301,0,0,""
20.14712,.3086233,0,0,""
20.58579,.3134641,0,0,""
21.22326,.3612044,0,0,""
21.73466,.3695507,0,0,""
22.15721,.4076093,0,0,""
22.70582,.4263048,0,0,""
23.14692,.4703727,0,0,""
23.63712,.4885674,0,0,""
24.19084,.5391454,0,0,""
24.698,.5798748,0,0,""
25.11793,.5965671,0,0,""
25.66658,.6521526,0,0,""
26.17543,.7007275,0,0,""
26.59959,.7182544,0,0,""
27.1431,.7713361,0,0,""
27.65705,.8235832,0,0,""
28.07873,.876832,0,0,""
28.62735,.9377601,0,0,""
29.13618,.9943472,0,0,""
29.56212,1.050767,0,0,""
30.11079,1.116034,0,0,""
30.65431,1.190482,0,0,""
31.27404,1.271107,0,0,""
31.78032,1.335706,0,0,""
32.20288,1.389623,0,0,""
32.75151,1.447044,0,0,""
33.26034,1.505134,0,0,""
33.68537,1.55037,0,0,""
34.25095,1.611131,0,0,""
34.74281,1.655866,0,0,""
35.16445,1.691087,0,0,""
35.71736,1.743334,0,0,""
36.2211,1.795247,0,0,""
36.6461,1.844991,0,0,""
37.19476,1.886888,0,0,""
37.63414,1.913095,0,0,""
38.12439,1.957998,0,0,""
38.67727,1.962505,0,0,""
39.18192,1.965677,0,0,""
39.60779,1.982871,0,0,""
40.15474,2.00841,0,0,""
40.66274,2.015421,0,0,""
41.10213,1.992719,0,0,""
41.73886,1.996558,0,0,""
42.25023,2.01709,0,0,""
42.67611,2.018593,0,0,""
43.22307,2.040459,0,0,""
43.73016,2.061658,0,0,""
44.15438,2.054481,0,0,""
44.74027,2.054314,0,0,""
45.21354,2.044799,0,0,""
45.63433,2.020262,0,0,""
46.18382,2.016256,0,0,""
46.69096,1.992552,0,0,""
47.11431,1.96501,0,0,""
47.67564,1.961838,0,0,""
48.17348,1.961838,0,0,""
48.59599,1.971519,0,0,""
49.14297,2.018259,0,0,""
49.65267,2.032113,0,0,""
50.07764,2.056484,0,0,""
50.62629,2.063662,0,0,""
51.13349,2.053479,0,0,""
52.11047,2.022265,0,0,""
52.61256,2.019761,0,0,""
53.03928,2.018092,0,0,""
53.58625,2.011749,0,0,""
54.0934,2.004905,0,0,""
54.53365,2.00624,0,0,""
55.17034,2.011081,0,0,""
55.68089,2.018092,0,0,""
56.10592,2.01876,0,0,""
56.65372,2.028274,0,0,""
57.16172,2.06483,0,0,""
57.58426,2.074511,0,0,""
58.13799,2.07568,0,0,""
58.67899,2.077683,0,0,""
59.29616,2.087364,0,0,""
59.80503,2.08002,0,0,""
60.23005,2.076848,0,0,""
60.77955,2.075847,0,0,""
61.3011,2.075513,0,0,""
61.93607,2.075346,0,0,""
62.44747,2.07568,0,0,""
62.87419,2.075179,0,0,""
63.42032,2.075179,0,0,""
63.92831,2.075346,0,0,""
64.35077,2.07568,0,0,""
64.90364,2.074511,0,0,""
65.44638,2.074344,0,0,""
66.0619,2.075012,0,0,""
66.57245,2.07568,0,0,""
66.9983,2.075847,0,0,""
67.54524,2.078017,0,0,""
68.06849,2.075847,0,0,""
68.4791,2.076014,0,0,""
69.02267,2.074845,0,0,""
69.53234,2.056317,0,0,""
69.95906,2.029443,0,0,""
70.50516,2.022599,0,0,""
71.01403,2.019928,0,0,""
71.43738,2.019427,0,0,""
71.98261,2.018092,0,0,""
72.42886,2.01876,0,0,""
72.91821,2.018426,0,0,""
73.46516,2.018259,0,0,""
73.97569,2.020095,0,0,""
74.40071,2.023601,0,0,""
74.96293,2.042462,0,0,""
75.45564,2.067,0,0,""
75.87984,2.072341,0,0,""
76.43186,2.066666,0,0,""
76.93559,2.063828,0,0,""
77.3632,2.064329,0,0,""
77.90844,2.051309,0,0,""
78.41811,2.052812,0,0,""
78.84234,2.064496,0,0,""
79.38505,2.067,0,0,""
79.82957,2.068335,0,0,""
80.32062,2.072675,0,0,""
80.86928,2.074011,0,0,""
81.37814,2.074011,0,0,""
81.80309,2.073343,0,0,""
82.35176,2.073677,0,0,""
82.85893,2.075346,0,0,""
83.28222,2.07618,0,0,""
83.8351,2.094709,0,0,""
84.33971,2.127091,0,0,""
84.76981,2.129762,0,0,""
85.31167,2.132433,0,0,""
85.82221,2.132099,0,0,""
86.24558,2.131264,0,0,""
86.78825,2.129261,0,0,""
87.23286,2.126925,0,0,""
87.72389,2.129929,0,0,""
88.28859,2.126758,0,0,""
88.78388,2.130764,0,0,""
89.20383,2.1326,0,0,""
89.75587,2.132934,0,0,""
90.26301,2.132767,0,0,""
90.68463,2.134436,0,0,""
91.23839,2.149793,0,0,""
91.74379,2.176335,0,0,""
92.16547,2.186684,0,0,""
92.71581,2.185349,0,0,""
93.22294,2.164984,0,0,""
93.64545,2.15597,0,0,""
94.19158,2.139443,0,0,""
94.63519,2.132934,0,0,""
95.14661,2.124755,0,0,""
95.77734,2.106894,0,0,""
96.29046,2.079018,0,0,""
96.71292,2.075847,0,0,""
97.26073,2.075346,0,0,""
97.77128,2.072508,0,0,""
98.19627,2.065164,0,0,""
98.74407,2.051309,0,0,""
99.25206,2.037788,0,0,""
99.67455,2.028775,0,0,""
100.2274,2.037288,0,0,""
100.7312,2.052478,0,0,""
101.1579,2.058654,"","",""
101.7446,2.065998,"","",""
102.2128,2.060991,"","",""
102.6396,2.057819,"","",""
103.1874,2.036787,"","",""
103.692,2.029443,"","",""
104.1162,2.020763,"","",""
104.664,2.020763,"","",""
105.1737,2.019094,"","",""
105.5995,2.01926,"","",""
106.1465,2.018259,"","",""
106.6536,2.018259,"","",""
107.077,2.01876,"","",""
107.6298,2.01876,"","",""
108.1336,2.01876,"","",""
108.6119,2.022933,"","",""
109.2156,2.025103,"","",""
109.7211,2.022766,"","",""
110.1436,2.022599,"","",""
110.6922,2.01876,"","",""
111.2019,2.018426,"","",""
111.627,2.017925,"","",""
112.1748,2.017758,"","",""
112.6828,2.017758,"","",""
113.1061,2.017258,"","",""
113.6581,2.017591,"","",""
114.1619,2.01876,"","",""
114.5886,2.018927,"","",""
115.1347,2.018927,"","",""
115.5911,2.018927,"","",""
116.0694,2.019261,"","",""
116.6121,2.018927,"","",""
117.1227,2.019928,"","",""
117.5494,2.019594,"","",""
118.0955,2.019594,"","",""
118.6086,2.019594,"","",""
119.0285,2.019761,"","",""
119.5746,2.019261,"","",""
120.0878,2.018927,"","",""
120.5085,2.01876,"","",""
121.0546,2.01876,"","",""
121.566,2.017425,"","",""
121.9901,2.018426,"","",""
122.538,2.018426,"","",""
122.979,2.018426,"","",""
123.4693,2.018092,"","",""
124.0213,2.017424,"","",""
124.5251,2.017758,"","",""
124.9526,2.019261,"","",""
125.4979,2.023267,"","",""
126.016,2.031446,"","",""
126.4343,2.033282,"","",""
