UserUnit,Date,ProgNo,ProgName,orderNo,DMCRetractor,DMCMGG,No-actpartstotal,0No-actpartsok,1positionturntable,2contactposmm,3planaritymm,4distancemm,fric1Max/MinnU/min,fric2Max/MinnU/min,upset1Max/MinnU/min,8angelposdegree,fric11s_actmm,fric21s_actmm,brakes_actmm,upset11s_actmm,upset2s_actmm,totals_totmm,fric12t_acts,fric22t_acts,brake1t_acts,upset12t_acts,upset21t_acts,brake_n0t_acts,total1t_tots,fric13t_ups,fric23t_ups,upset13t-ups,upset22t_ups,total2L_FPmm,forceclampX1kN,positionclampX1mm,total3NOKBCD-Code,lastcycles,date,typenumber,typename,FWnumber,ST02cleanlaserprogno,ST02cleanlaserokstatus,ST03lasercamprogno,ST03lasercamokstatus,ST04FWokstatus,ST05anglecamprogno,ST05anglecamvalue,ST05anglecamokstatus,overallokstatus
ZapataF,2023-03-11 12:07:27,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YA,34311248A006102212,1691989,1,3,124.495,0.023,-20.566,13992.267,10789.57,-5.334,181.734,0.068,0.156,0.613,0.368,0.171,1.375,0.03,0.1,0.224,0.04,0.25,0.302,0.974,0.006,0.002,0.002,0.028,29.12,22.8,11.451,0,15.108,2023-11-03 10:55:32,45,CIVIC 1st LH DOM SLL3,1691990,1,OK,2,OK,OK,5,180.72 ,OK,OK
ZapataF,2023-03-11 12:09:09,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YD,34311248A006102212,1691990,2,4,124.514,0.019,-20.562,13992.798,10783.994,-61.273,181.383,0.067,0.184,0.663,0.37,0.154,1.439,0.03,0.1,0.222,0.04,0.25,0.296,0.968,0.006,0.002,0.002,0.022,29.076,22.8,11.453,0,34.244,2023-11-03 10:57:45,45,CIVIC 1st LH DOM SLL3,1691991,1,OK,2,OK,OK,5,181.13 ,OK,OK
ZapataF,2023-03-11 12:09:23,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YE,34311248A006102212,1691991,3,5,124.516,0.037,-20.564,13989.966,10797.403,-32.02,181.414,0.066,0.173,0.622,0.367,0.161,1.39,0.03,0.1,0.22,0.04,0.25,0.294,0.966,0.006,0.002,0.002,0.024,29.126,22.9,11.457,0,11.396,2023-11-03 11:01:58,45,CIVIC 1st LH DOM SLL3,1691993,1,OK,2,OK,OK,5,182.76 ,OK,OK
ZapataF,2023-03-11 12:11:37,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YB,34311248A006102212,1691992,4,6,124.465,0.014,-20.566,13993.329,10788.375,-32.197,181.567,0.067,0.162,0.607,0.369,0.163,1.368,0.03,0.1,0.224,0.04,0.25,0.3,0.98,0.004,0.002,0.002,0.026,29.097,22.7,11.451,0,5.512,2023-11-03 11:02:33,45,CIVIC 1st LH DOM SLL3,1691993,1,OK,2,OK,OK,5,182.42 ,OK,OK
ZapataF,2023-03-11 12:15:31,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900Y9,34311248A006102212,1691993,5,1,124.505,0.025,-20.553,13988.107,10788.154,-55.298,181.512,0.07,0.15,0.564,0.369,0.155,1.309,0.03,0.1,0.22,0.04,0.25,0.296,0.968,0.006,0.002,0.002,0.024,29.196,22.7,11.456,0,8.452,2023-11-03 11:03:39,45,CIVIC 1st LH DOM SLL3,1691994,1,OK,2,OK,OK,5,183.95 ,OK,OK
ZapataF,2023-03-11 12:16:24,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YG,34311248A006102212,1691994,6,2,124.516,0.021,-20.562,13995.498,10796.474,-4.007,181.401,0.068,0.15,0.59,0.369,0.163,1.34,0.03,0.1,0.222,0.04,0.25,0.298,0.968,0.006,0.002,0.002,0.026,29.176,22.8,11.456,0,105.42,2023-11-03 11:06:12,45,CIVIC 1st LH DOM SLL3,1691996,1,OK,2,OK,OK,5,183.81 ,OK,OK
ZapataF,2023-03-11 12:17:31,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YH,34311248A006102212,1691995,7,3,124.547,0.024,-20.544,13991.957,10787.18,0.109,181.306,0.067,0.175,0.63,0.369,0.157,1.398,0.03,0.1,0.22,0.04,0.25,0.294,0.96,0.006,0.002,0.002,0.026,29.149,22.8,11.46,0,10.624,2023-11-03 11:07:45,45,CIVIC 1st LH DOM SLL3,1691996,1,OK,2,OK,OK,5,180.52 ,OK,OK
ZapataF,2023-03-11 12:17:58,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YF,34311248A006102212,1691996,8,4,124.536,0.024,-20.548,13991.648,10796.518,-78.488,181.212,0.067,0.135,0.657,0.371,0.147,1.377,0.03,0.1,0.222,0.04,0.25,0.294,0.964,0.006,0.002,0.002,0.02,29.159,22.8,11.452,0,10.624,2023-11-03 11:07:58,45,CIVIC 1st LH DOM SLL3,1691997,1,OK,2,OK,OK,5,184.84 ,OK,OK
ZapataF,2023-03-11 12:21:37,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YL,34311248A006102212,1691997,9,5,124.505,0.02,-20.579,13992.134,10790.986,-7.813,181.516,0.067,0.167,0.591,0.368,0.166,1.358,0.03,0.1,0.224,0.04,0.25,0.3,0.972,0.006,0.002,0.002,0.026,29.147,22.8,11.456,0,21.696,2023-11-03 11:09:13,45,CIVIC 1st LH DOM SLL3,1691998,1,OK,2,OK,OK,5,183.62 ,OK,OK
ZapataF,2023-03-11 12:21:50,45,CIVIC 1st LH DOM SLL3,20230311,P34361270A*714231006900YK,34311248A006102212,1691998,10,6,124.516,0.018,-20.555,13986.824,10786.339,-3.254,181.048,0.068,0.147,0.684,0.37,0.154,1.422,0.03,0.1,0.218,0.04,0.25,0.29,0.964,0.006,0.002,0.002,0.024,29.094,22.8,11.451,0,32.796,2023-11-03 11:09:25,45,CIVIC 1st LH DOM SLL3,1691999,1,OK,2,OK,OK,5,181.6 D,OK,OK
