"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.775","0.000","-325.800","13994.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.985","0.000","-316.500","13998.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.436","0.010","-273.900","13993.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.800","0.018","-293.700","14000.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.239","0.023","-300.300","13993.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.539","0.028","-323.100","14001.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.882","0.033","-296.400","13993.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.082","0.037","-214.200","14001.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.359","0.041","-128.400","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.651","0.045","-151.500","14001.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.808","0.049","-183.600","13996.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.917","0.053","-175.800","14000.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.160","0.056","-122.400","13998.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.270","0.060","-202.800","13999.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.354","0.063","-113.100","14000.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.511","0.066","-179.100","13989.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.524","0.069","-121.800","13958.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.673","0.072","-147.900","13900.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.661","0.076","-128.100","13848.9","6.000","6.000","12.188","6.500","0.036"
