"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.598","0.000","-248.700","13996.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.017","0.000","-312.900","13995.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.382","0.010","-287.100","13997.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.913","0.018","-270.600","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.222","0.023","-320.100","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.614","0.028","-301.800","13993.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.975","0.033","-280.500","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.157","0.037","-255.300","13993.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.422","0.041","-95.700","14001.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.837","0.045","-145.200","13993.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.865","0.048","-216.900","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.065","0.052","-133.800","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.251","0.055","-165.900","14000.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.418","0.058","-141.300","13997.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.513","0.061","-169.200","14001.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.642","0.064","-129.300","13991.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.738","0.067","-150.300","13955.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.795","0.070","-120.900","13903.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.873","0.073","-153.600","13839.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.828","0.078","-125.400","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.934","0.081","-120.000","13709.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.871","0.085","-137.700","13648.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.954","0.089","-147.000","13570.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.868","0.092","-185.700","13503.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.855","0.095","-139.200","13420.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.785","0.098","-146.100","13342.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.728","0.101","-128.100","13260.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.601","0.104","-148.500","13181.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.475","0.106","-110.700","13110.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.406","0.109","-129.600","13034.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.187","0.111","-110.700","12975.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.162","0.113","-102.900","12908.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.894","0.115","-119.700","12858.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.853","0.118","-75.900","12803.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.645","0.120","-111.900","12754.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.493","0.122","-79.500","12709.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.348","0.124","-96.000","12655.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.151","0.126","-75.900","12613.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.087","0.129","-84.000","12557.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.801","0.131","-88.200","12509.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.802","0.133","-54.600","12452.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.556","0.135","-96.300","12392.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.444","0.138","-56.100","12336.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.313","0.140","-81.900","12265.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.134","0.142","-69.900","12204.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.065","0.145","-70.800","12132.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.845","0.147","-81.300","12061.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.803","0.149","-50.700","11994.1","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.622","0.152","-86.400","11915.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.509","0.154","-59.100","11848.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.426","0.157","-67.800","11772.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.270","0.159","-73.200","11698.9","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.200","0.161","-57.900","11631.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.072","0.164","-75.900","11554.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.960","0.166","-61.800","11490.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.886","0.168","-62.100","11421.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.767","0.170","-75.900","11352.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.658","0.172","-54.900","11295.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.597","0.175","-64.200","11228.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.461","0.177","-69.600","11167.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.402","0.180","-46.200","11110.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.298","0.182","-74.400","11042.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.191","0.185","-58.500","10985.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.183","0.188","-63.300","10920.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.046","0.192","-91.200","10850.7","7.000","8.000","7.820","4.796","0.128"
