"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.382","0.000","-275.700","13998.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.809","0.000","-282.600","13994.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.241","0.010","-312.000","13998.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.548","0.018","-288.900","13996.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.003","0.023","-294.900","13996.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.345","0.028","-313.500","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.733","0.033","-279.600","13994.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.093","0.037","-255.000","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.136","0.041","-112.800","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.538","0.045","-113.100","14002.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.813","0.048","-252.900","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.838","0.052","-121.200","14003.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.018","0.055","-162.900","13994.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.260","0.058","-144.600","14002.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.365","0.061","-169.800","13995.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.463","0.064","-128.700","13994.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.570","0.067","-137.700","13955.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.696","0.070","-145.500","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.690","0.074","-134.700","13848.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.726","0.078","-134.100","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.730","0.082","-120.000","13725.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.750","0.086","-143.700","13655.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.738","0.089","-137.700","13593.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.757","0.092","-199.200","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.689","0.096","-131.700","13447.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.618","0.099","-145.200","13362.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.608","0.101","-138.000","13286.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.448","0.104","-134.700","13203.7","6.000","7.000","12.056","6.322","0.054"
