"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.650","0.000","-287.700","13997.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.070","0.000","-278.100","13994.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.516","0.010","-318.600","14000.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.849","0.018","-279.900","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.309","0.023","-288.600","14001.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.706","0.028","-301.200","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.135","0.032","-301.500","14001.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.388","0.037","-213.000","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.613","0.041","-129.600","14001.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.901","0.044","-128.400","13996.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.223","0.048","-231.600","14000.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.227","0.051","-128.400","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.477","0.055","-170.400","13999.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.615","0.058","-156.000","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.724","0.061","-157.800","13996.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.803","0.063","-141.300","13993.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.891","0.066","-145.800","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.956","0.069","-140.100","13906.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.931","0.072","-128.400","13841.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.979","0.076","-150.000","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.892","0.080","-106.500","13714.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.930","0.084","-157.800","13653.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.807","0.087","-129.000","13580.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.875","0.090","-204.300","13511.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.675","0.093","-126.900","13434.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.656","0.096","-149.700","13353.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.535","0.099","-133.200","13276.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.427","0.102","-130.500","13192.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.280","0.105","-132.000","13123.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.114","0.107","-105.000","13045.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.024","0.110","-128.400","12984.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.802","0.113","-89.400","12917.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.742","0.115","-132.000","12862.0","7.000","7.000","11.500","6.100","0.064"
