"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.724","0.000","-324.900","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.955","0.000","-292.200","13995.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.460","0.010","-261.000","13996.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.832","0.018","-331.800","13997.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.184","0.023","-274.500","13994.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.658","0.028","-281.100","13999.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.011","0.033","-341.100","13994.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.223","0.037","-180.600","14001.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.471","0.041","-153.000","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.766","0.045","-126.300","14002.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.032","0.049","-205.800","13994.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.081","0.052","-173.100","14002.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.280","0.056","-129.000","13995.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.476","0.059","-189.300","14001.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.514","0.062","-138.300","13996.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.659","0.065","-168.600","13993.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.673","0.068","-117.900","13956.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.804","0.071","-164.400","13904.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.770","0.074","-117.300","13848.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.810","0.079","-163.200","13785.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.733","0.083","-102.600","13726.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.774","0.087","-153.000","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.706","0.090","-154.500","13593.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.717","0.094","-187.800","13514.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.599","0.097","-159.600","13446.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.522","0.101","-127.200","13361.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.485","0.104","-168.900","13284.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.281","0.107","-113.100","13203.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.250","0.110","-164.400","13125.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.010","0.113","-100.500","13055.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.976","0.116","-137.400","12980.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.764","0.118","-106.500","12922.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.675","0.121","-120.300","12856.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.462","0.124","-112.200","12806.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.350","0.127","-82.200","12752.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.236","0.130","-146.700","12704.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.950","0.133","-54.000","12660.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.967","0.135","-123.900","12606.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.675","0.138","-90.000","12564.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.619","0.141","-82.200","12508.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.439","0.144","-108.300","12459.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.315","0.147","-71.700","12403.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.211","0.150","-116.700","12340.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.000","0.153","-54.600","12285.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.017","0.156","-114.300","12212.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.743","0.159","-84.600","12151.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.724","0.162","-69.600","12079.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.579","0.165","-113.400","12006.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.442","0.168","-59.100","11940.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.398","0.171","-108.300","11861.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.207","0.174","-79.800","11794.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.183","0.177","-77.400","11719.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.042","0.180","-103.500","11643.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.941","0.183","-65.700","11577.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.881","0.185","-90.600","11500.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.749","0.188","-88.200","11435.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.676","0.191","-67.800","11368.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.601","0.194","-96.900","11298.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.476","0.196","-75.000","11242.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.418","0.199","-72.600","11176.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.303","0.202","-98.700","11114.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.198","0.205","-52.800","11058.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.180","0.209","-94.800","10990.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.027","0.212","-88.500","10930.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.008","0.216","-65.700","10868.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.942","0.220","-120.000","10796.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.842","0.224","-81.900","10734.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.871","0.228","-90.000","10663.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.807","0.232","-125.400","10588.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.755","0.237","-87.600","10522.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.777","0.241","-111.300","10446.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.729","0.246","-135.000","10370.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.692","0.250","-93.900","10301.7","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.734","0.255","-136.500","10224.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.663","0.259","-131.400","10149.0","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.670","0.264","-106.800","10080.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.706","0.269","-147.300","10003.6","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.651","0.274","-131.100","9928.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.663","0.279","-117.000","9860.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.698","0.283","-148.500","9783.6","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.667","0.288","-139.200","9708.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.662","0.293","-121.500","9638.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.731","0.298","-150.300","9561.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.691","0.303","-145.200","9483.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.678","0.308","-133.500","9412.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.709","0.313","-151.500","9334.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.690","0.318","-147.300","9253.7","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.668","0.322","-139.200","9180.9","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.697","0.327","-145.500","9103.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.677","0.332","-147.900","9019.5","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.658","0.337","-135.600","8942.3","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.701","0.342","-150.900","8866.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.665","0.347","-154.500","8782.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.640","0.352","-140.400","8699.9","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.663","0.357","-143.700","8623.4","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.678","0.362","-155.700","8540.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.649","0.367","-145.200","8453.6","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.658","0.372","-146.400","8372.8","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.681","0.377","-144.900","8291.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.686","0.382","-149.700","8202.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.676","0.387","-150.900","8114.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.689","0.392","-147.000","8032.2","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.732","0.397","-143.100","7945.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.731","0.402","-150.000","7853.3","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.751","0.407","-153.900","7764.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.747","0.413","-146.400","7678.5","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.771","0.417","-147.900","7588.2","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.795","0.422","-150.600","7495.0","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.794","0.427","-160.800","7425.7","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.775","0.432","-146.400","7389.0","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.800","0.437","-144.900","7340.0","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.809","0.442","-152.100","7270.9","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.789","0.447","-157.500","7201.5","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.783","0.452","-144.000","7133.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.783","0.457","-151.500","7060.3","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.784","0.462","-142.500","6987.0","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.791","0.467","-150.900","6916.1","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.780","0.472","-157.800","6846.1","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.762","0.477","-144.900","6770.4","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.776","0.482","-146.400","6692.0","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.772","0.487","-150.300","6615.1","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.768","0.492","-150.000","6540.2","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.760","0.497","-148.500","6463.5","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.768","0.502","-149.100","6382.3","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.757","0.507","-152.400","6301.3","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.763","0.512","-140.700","6222.8","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.786","0.517","-153.900","6145.7","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.783","0.522","-151.200","6066.0","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.799","0.527","-149.400","5983.2","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.799","0.532","-154.500","5901.2","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.804","0.537","-153.900","5821.1","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.800","0.542","-149.700","5742.7","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.809","0.547","-156.300","5662.0","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.794","0.552","-149.100","5578.4","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.799","0.557","-153.900","5495.3","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.800","0.562","-148.500","5414.0","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.791","0.567","-155.100","5333.9","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.788","0.572","-150.600","5253.7","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.789","0.577","-151.200","5170.8","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.783","0.582","-155.400","5087.3","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.775","0.587","-144.300","5004.5","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.794","0.593","-156.300","4922.3","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.776","0.598","-152.400","4842.0","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.778","0.603","-150.900","4760.7","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.787","0.608","-151.200","4677.5","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.788","0.613","-157.500","4593.9","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.764","0.618","-153.600","4510.9","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.763","0.623","-149.700","4428.6","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.759","0.628","-156.000","4347.0","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.747","0.634","-156.600","4266.3","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.750","0.639","-159.900","4184.1","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.736","0.644","-150.300","4100.3","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.728","0.649","-154.500","4017.0","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.721","0.654","-155.700","3933.6","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.726","0.660","-157.800","3851.3","9.000","9.000","6.407","4.214","0.308"
