"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.486","0.000","-320.400","13996.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.738","0.000","-300.300","13996.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.261","0.010","-271.500","13994.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.624","0.018","-296.400","13999.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.968","0.023","-321.600","13994.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.398","0.028","-267.000","14000.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.810","0.033","-297.600","13994.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.892","0.037","-237.900","14002.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.310","0.041","-72.000","13993.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.532","0.045","-194.700","14001.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.691","0.049","-157.200","13995.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.847","0.052","-182.700","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.109","0.056","-128.400","13996.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.200","0.059","-185.700","14000.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.352","0.062","-123.600","13998.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.499","0.065","-168.600","13990.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.501","0.068","-132.900","13957.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.656","0.071","-135.900","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.623","0.075","-148.200","13849.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.669","0.079","-134.400","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.625","0.083","-133.200","13726.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.713","0.087","-117.600","13653.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.628","0.091","-192.000","13592.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.653","0.094","-156.900","13516.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.531","0.098","-186.000","13447.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.555","0.101","-111.300","13365.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.417","0.104","-183.900","13285.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.275","0.107","-115.800","13207.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.226","0.110","-144.900","13126.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.988","0.113","-136.500","13058.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.938","0.115","-111.000","12981.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.700","0.118","-132.900","12921.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.637","0.121","-98.700","12857.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.360","0.123","-135.600","12805.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.312","0.126","-69.600","12754.7","7.000","7.000","11.278","6.011","0.068"
