"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.689","0.000","-322.800","13992.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.034","0.000","-254.400","13999.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.491","0.010","-297.000","13994.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.932","0.018","-318.600","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.255","0.023","-254.700","13995.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.757","0.028","-339.300","13997.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.061","0.033","-270.600","13997.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.440","0.037","-243.000","13996.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.573","0.041","-111.300","13999.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.905","0.045","-158.700","13996.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.167","0.048","-197.700","14001.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.243","0.052","-159.900","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.431","0.055","-153.600","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.571","0.058","-156.300","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.722","0.061","-160.500","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.754","0.064","-137.700","13987.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.875","0.067","-148.500","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.897","0.069","-121.800","13900.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.978","0.073","-159.000","13843.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.911","0.077","-111.600","13780.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.937","0.081","-142.800","13715.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.887","0.084","-117.000","13650.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.872","0.088","-173.400","13577.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.836","0.091","-161.100","13509.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.757","0.094","-158.100","13427.4","6.000","7.000","12.389","6.456","0.048"
