"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.659","0.000","-312.600","13997.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.961","0.000","-289.800","13996.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.458","0.010","-271.800","13995.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.755","0.018","-319.200","13998.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.165","0.023","-292.200","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.568","0.028","-281.700","13999.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.961","0.033","-307.500","13993.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.043","0.037","-229.500","14001.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.411","0.041","-101.100","13994.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.714","0.045","-144.900","14002.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.841","0.049","-203.700","13994.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.952","0.052","-150.900","14001.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.214","0.056","-143.100","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.300","0.059","-176.400","14001.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.422","0.062","-139.800","13997.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.483","0.065","-170.400","13992.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.529","0.068","-128.400","13957.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.637","0.071","-140.700","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.598","0.075","-147.300","13847.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.632","0.079","-137.400","13782.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.624","0.083","-112.500","13724.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.689","0.087","-139.200","13651.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.627","0.091","-167.700","13588.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.670","0.095","-170.700","13510.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.556","0.099","-161.400","13442.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.595","0.102","-136.500","13359.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.459","0.105","-164.100","13280.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.375","0.108","-124.800","13200.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.294","0.111","-148.500","13121.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.106","0.114","-129.300","13052.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.043","0.117","-126.000","12976.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.843","0.120","-116.100","12919.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.762","0.122","-117.600","12854.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.541","0.125","-109.200","12804.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.510","0.128","-87.000","12752.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.292","0.130","-124.200","12701.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.154","0.133","-81.300","12659.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.066","0.136","-102.300","12604.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.853","0.138","-88.800","12562.1","7.000","7.000","10.833","5.833","0.076"
