"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.817","0.000","-318.600","13991.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.168","0.000","-278.400","13999.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.608","0.010","-287.100","13993.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.981","0.018","-318.000","13999.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.392","0.023","-257.700","13996.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.814","0.028","-340.800","13998.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.120","0.033","-264.300","13997.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.407","0.037","-251.400","13997.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.574","0.041","-98.100","13999.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.972","0.045","-172.200","13995.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.048","0.048","-188.100","14001.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.228","0.052","-158.700","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.375","0.055","-156.000","14003.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.530","0.058","-163.800","13995.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.588","0.061","-153.300","14003.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.704","0.064","-147.300","13987.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.722","0.067","-162.900","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.735","0.070","-118.500","13900.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.779","0.074","-170.700","13843.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.664","0.078","-121.200","13779.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.683","0.082","-149.100","13715.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.578","0.086","-119.700","13649.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.607","0.090","-186.600","13576.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.462","0.094","-169.500","13509.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.416","0.097","-169.200","13428.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.284","0.101","-138.900","13355.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.238","0.104","-149.700","13268.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.044","0.108","-152.100","13196.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.952","0.111","-117.600","13117.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.807","0.114","-161.100","13047.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.632","0.118","-93.000","12982.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.594","0.121","-153.600","12918.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.325","0.124","-105.600","12868.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.284","0.127","-117.300","12810.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.078","0.131","-113.700","12766.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.008","0.134","-108.000","12714.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.795","0.137","-124.200","12668.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.698","0.141","-77.700","12621.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.595","0.144","-140.700","12566.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.368","0.147","-76.500","12521.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.384","0.151","-110.100","12460.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.146","0.154","-108.300","12407.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.132","0.157","-80.400","12344.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.973","0.161","-118.200","12279.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.900","0.164","-73.200","12218.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.823","0.167","-124.200","12143.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.645","0.171","-80.100","12079.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.658","0.174","-99.600","12005.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.464","0.177","-113.100","11933.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.439","0.180","-70.200","11865.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.338","0.183","-114.300","11786.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.226","0.186","-77.700","11720.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.204","0.189","-89.700","11646.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.067","0.192","-100.200","11573.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.015","0.195","-71.100","11509.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.947","0.198","-100.200","11436.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.822","0.200","-85.200","11374.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.778","0.203","-69.900","11311.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.691","0.205","-98.700","11244.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.574","0.208","-65.400","11189.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.550","0.211","-72.000","11124.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.410","0.214","-94.800","11061.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.358","0.217","-50.400","11004.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.314","0.220","-98.400","10934.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.178","0.224","-84.900","10871.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.194","0.227","-67.200","10806.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.105","0.231","-115.800","10732.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.038","0.235","-79.200","10667.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.043","0.239","-93.300","10595.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.976","0.242","-120.900","10518.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.930","0.247","-81.300","10451.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.948","0.251","-111.600","10375.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.884","0.255","-128.400","10298.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.862","0.259","-90.900","10230.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.882","0.264","-131.700","10154.3","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.802","0.268","-123.600","10078.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.824","0.273","-102.900","10010.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.817","0.277","-140.400","9934.8","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.772","0.282","-122.700","9859.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.788","0.286","-110.400","9791.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.806","0.291","-139.200","9715.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.763","0.295","-134.400","9637.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.766","0.300","-114.900","9568.7","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.787","0.305","-145.800","9491.3","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.753","0.310","-137.700","9411.8","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.768","0.314","-124.200","9340.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.780","0.319","-144.600","9262.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.747","0.324","-141.300","9180.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.736","0.328","-126.300","9105.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.778","0.333","-143.400","9028.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.721","0.338","-153.300","8944.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.724","0.343","-127.800","8864.7","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.764","0.348","-140.100","8788.9","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.714","0.352","-152.400","8705.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.707","0.357","-136.800","8620.7","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.729","0.362","-141.600","8542.7","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.708","0.367","-153.300","8460.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.684","0.372","-139.800","8372.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.707","0.377","-147.300","8288.8","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.701","0.382","-141.600","8207.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.687","0.387","-148.500","8119.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.683","0.392","-147.900","8029.2","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.687","0.397","-141.900","7944.2","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.686","0.402","-151.800","7858.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.667","0.407","-149.400","7766.9","8.000","9.000","6.466","4.332","0.208"
