"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.605","0.000","-320.700","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.009","0.000","-279.300","13991.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.435","0.010","-273.000","13998.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.883","0.018","-290.700","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.261","0.023","-298.200","13999.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.651","0.028","-294.000","13996.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.004","0.032","-305.100","13998.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.182","0.037","-215.700","13998.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.445","0.041","-136.200","13995.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.787","0.044","-119.700","13999.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.912","0.048","-230.100","13995.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.026","0.052","-130.800","14002.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.275","0.055","-166.500","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.341","0.058","-161.700","14003.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.500","0.061","-147.600","13994.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.504","0.064","-168.000","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.570","0.067","-131.100","13953.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.620","0.070","-139.800","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.670","0.073","-135.600","13843.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.631","0.078","-153.600","13785.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.647","0.082","-93.000","13719.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.652","0.086","-156.600","13652.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.647","0.090","-142.800","13587.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.650","0.093","-198.600","13511.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.530","0.097","-132.900","13441.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.590","0.100","-144.900","13354.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.418","0.103","-151.500","13280.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.386","0.106","-128.100","13195.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.235","0.109","-147.300","13123.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.138","0.112","-114.000","13048.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.958","0.115","-140.700","12979.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.848","0.117","-94.800","12918.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.684","0.120","-144.000","12854.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.460","0.123","-87.600","12808.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.416","0.125","-112.200","12751.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.110","0.128","-113.400","12708.7","7.000","7.000","11.167","5.967","0.070"
