"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.508","0.000","-319.500","14000.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.793","0.000","-270.900","13993.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.227","0.010","-302.700","14000.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.578","0.018","-279.000","13993.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.063","0.023","-317.700","13999.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.370","0.028","-308.100","13995.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.748","0.033","-289.500","13999.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.060","0.037","-227.100","13997.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.205","0.041","-150.600","13997.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.435","0.045","-128.700","13999.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.726","0.049","-219.000","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.777","0.052","-144.000","14001.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.950","0.056","-180.300","13996.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.084","0.059","-171.300","14003.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.089","0.062","-186.900","13994.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.008","0.065","-177.600","13994.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.986","0.069","-91.200","13952.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.209","0.072","-162.600","13905.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.193","0.076","-101.100","13842.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.328","0.080","-138.600","13784.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.437","0.085","-83.400","13718.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.437","0.090","-132.600","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.489","0.094","-150.300","13583.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.600","0.098","-191.700","13507.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.599","0.101","-142.200","13436.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.627","0.105","-136.200","13350.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.727","0.108","-168.600","13277.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.603","0.111","-110.700","13191.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.669","0.114","-156.600","13121.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.525","0.117","-122.700","13046.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.359","0.119","-130.500","12978.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.359","0.121","-91.200","12918.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.370","0.123","-143.700","12856.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.143","0.126","-91.500","12810.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","10.026","0.128","-87.300","12753.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.963","0.129","-116.700","12711.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.681","0.131","-59.400","12659.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.681","0.133","-101.400","12612.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.367","0.134","-66.000","12565.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.367","0.136","-89.100","12508.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.112","0.138","-50.700","12461.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","9.027","0.139","-68.100","12398.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.885","0.141","-84.600","12342.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.618","0.143","-30.300","12278.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.360","0.144","-81.600","12209.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.302","0.146","-43.800","12147.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.118","0.148","-60.300","12071.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","8.118","0.149","-50.400","12005.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.913","0.151","-35.400","11932.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.706","0.153","-70.200","11857.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.668","0.155","-33.600","11790.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.527","0.157","-63.300","11712.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.527","0.159","-63.900","11643.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.321","0.160","-42.000","11572.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.191","0.162","-54.000","11498.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","7.104","0.164","-41.400","11436.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","7.023","0.165","-50.400","11366.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.873","0.167","-61.500","11303.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.839","0.169","-27.000","11245.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.717","0.170","-48.600","11177.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.599","0.172","-49.200","11122.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.569","0.174","-25.800","11059.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.432","0.177","-67.800","10994.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.402","0.179","-36.900","10936.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.322","0.182","-56.700","10868.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.243","0.184","-70.800","10800.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.228","0.187","-46.200","10737.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.150","0.190","-78.600","10662.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.096","0.193","-75.000","10593.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.115","0.197","-56.400","10524.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","6.054","0.200","-92.400","10445.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","6.018","0.203","-78.300","10375.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","6.047","0.207","-68.700","10303.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.975","0.210","-109.500","10225.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.980","0.214","-80.400","10156.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.977","0.217","-89.700","10083.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.933","0.221","-111.300","10006.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.937","0.224","-87.300","9938.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.945","0.228","-94.500","9865.5","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.917","0.232","-110.700","9788.1","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.909","0.235","-96.000","9718.6","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.946","0.239","-93.000","9646.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.906","0.243","-117.900","9566.9","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.898","0.247","-104.100","9495.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.934","0.250","-99.600","9422.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.910","0.254","-117.300","9341.0","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.876","0.258","-114.000","9264.8","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.913","0.262","-100.800","9191.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.895","0.266","-114.900","9110.0","8.000","9.000","6.485","4.369","0.176"
