"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.571","0.000","-276.600","13992.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.004","0.000","-271.200","14000.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.454","0.010","-316.200","13993.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.740","0.018","-288.600","14001.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.206","0.023","-279.600","13992.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.596","0.028","-312.600","14001.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.977","0.032","-295.500","13994.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.156","0.037","-247.800","14001.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.361","0.041","-81.300","13995.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.705","0.045","-197.100","14000.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.796","0.048","-165.300","13997.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.918","0.052","-193.200","14000.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.054","0.055","-115.500","13999.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.285","0.058","-192.600","13997.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.259","0.061","-133.500","14001.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.451","0.064","-147.900","13988.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.465","0.067","-141.900","13960.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.543","0.070","-138.900","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.512","0.074","-145.200","13850.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.564","0.078","-118.800","13783.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.497","0.083","-162.600","13726.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.485","0.087","-94.800","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.513","0.091","-196.200","13591.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.449","0.094","-161.700","13519.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.405","0.098","-185.700","13445.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.282","0.101","-107.400","13369.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.342","0.105","-172.200","13285.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.074","0.108","-141.300","13212.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.089","0.111","-122.400","13129.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.857","0.114","-156.900","13062.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.785","0.117","-92.700","12987.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.620","0.120","-167.700","12926.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.426","0.123","-81.000","12866.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.375","0.126","-144.300","12810.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.095","0.129","-88.200","12765.1","7.000","7.000","11.278","6.011","0.068"
