"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.676","0.000","-288.900","13995.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.084","0.000","-292.500","13994.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.464","0.010","-279.900","14000.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.934","0.018","-287.100","13994.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.274","0.023","-301.800","14001.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.746","0.028","-277.500","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.093","0.033","-306.300","14001.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.282","0.037","-221.700","13993.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.516","0.041","-109.500","14001.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.870","0.044","-147.300","13995.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.941","0.048","-216.300","14002.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.073","0.052","-130.800","13996.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.327","0.055","-165.000","14000.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.429","0.058","-150.000","13998.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.566","0.061","-155.100","13999.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.630","0.064","-138.600","13991.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.732","0.067","-149.700","13954.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.716","0.070","-134.100","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.798","0.073","-145.200","13839.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.695","0.078","-142.800","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.735","0.082","-118.200","13712.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.648","0.086","-151.500","13651.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.693","0.089","-142.800","13575.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.590","0.093","-207.600","13507.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.503","0.096","-130.500","13425.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.469","0.100","-156.300","13347.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.329","0.103","-135.900","13267.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.260","0.106","-148.800","13187.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.067","0.109","-126.300","13118.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.020","0.112","-127.200","13042.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.775","0.115","-131.100","12984.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.739","0.118","-102.000","12919.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.496","0.121","-138.900","12868.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.384","0.124","-84.300","12815.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.265","0.126","-123.600","12764.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.048","0.129","-95.100","12721.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.996","0.132","-101.100","12667.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.767","0.135","-100.500","12625.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.729","0.138","-90.600","12569.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.490","0.141","-106.500","12519.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.451","0.144","-74.400","12465.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.291","0.147","-116.700","12403.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.133","0.150","-75.600","12348.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.099","0.153","-93.000","12277.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.883","0.156","-98.100","12215.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.858","0.159","-79.200","12145.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.672","0.162","-100.800","12073.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.606","0.165","-74.400","12007.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.504","0.168","-100.800","11929.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.362","0.171","-83.100","11862.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.317","0.174","-80.400","11788.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.176","0.177","-93.000","11714.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.100","0.180","-80.400","11648.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.007","0.183","-85.800","11571.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.903","0.185","-83.100","11506.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.815","0.188","-81.900","11439.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.735","0.191","-82.200","11370.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.623","0.193","-79.800","11313.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.569","0.196","-72.300","11247.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.439","0.199","-92.100","11185.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.365","0.202","-60.900","11129.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.296","0.205","-83.100","11061.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.172","0.208","-74.100","11003.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.150","0.211","-72.900","10939.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.051","0.215","-101.100","10869.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.989","0.218","-75.600","10808.0","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.979","0.222","-93.300","10736.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.890","0.226","-107.100","10663.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.866","0.230","-85.200","10597.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.853","0.234","-107.400","10521.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.786","0.239","-120.000","10447.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.776","0.243","-96.600","10379.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.771","0.247","-124.500","10301.9","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.709","0.252","-124.200","10228.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.729","0.256","-104.400","10160.3","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.717","0.261","-131.700","10082.4","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.695","0.266","-122.400","10010.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.704","0.270","-121.800","9941.8","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.706","0.275","-132.600","9864.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.690","0.280","-133.500","9791.3","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.677","0.285","-129.600","9722.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.701","0.289","-138.000","9643.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.674","0.294","-136.800","9568.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.674","0.299","-132.000","9498.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.688","0.304","-136.200","9418.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.690","0.309","-138.300","9340.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.684","0.313","-141.900","9267.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.716","0.318","-132.300","9188.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.728","0.323","-144.300","9106.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.715","0.328","-143.100","9032.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.727","0.333","-143.100","8952.9","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.732","0.338","-142.800","8868.5","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.727","0.342","-144.000","8790.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.706","0.347","-153.000","8712.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.700","0.352","-140.400","8628.0","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.710","0.357","-142.800","8544.3","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.703","0.362","-150.000","8466.1","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.682","0.367","-147.600","8382.1","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.699","0.371","-135.900","8294.2","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.684","0.376","-152.100","8210.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.664","0.381","-149.700","8128.4","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.673","0.386","-140.400","8039.5","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.688","0.391","-146.700","7949.7","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.674","0.396","-152.100","7864.8","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.654","0.401","-147.300","7777.4","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.671","0.406","-142.800","7684.6","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.679","0.411","-148.500","7592.4","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.657","0.416","-159.600","7505.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.640","0.421","-145.500","7416.8","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.664","0.426","-144.000","7323.6","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.663","0.431","-154.200","7231.3","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.635","0.436","-158.400","7143.7","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.636","0.442","-144.300","7054.6","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.650","0.447","-151.200","6962.1","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.633","0.452","-156.300","6877.8","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.614","0.457","-157.500","6802.1","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.619","0.462","-148.500","6725.0","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.636","0.467","-147.300","6646.7","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.652","0.473","-154.200","6570.7","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.638","0.478","-159.300","6497.8","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.637","0.483","-155.700","6426.6","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.642","0.488","-151.800","6351.6","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.657","0.494","-156.000","6275.3","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.670","0.499","-155.100","6200.1","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.664","0.504","-162.900","6126.2","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.629","0.509","-161.100","6051.8","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.627","0.515","-154.200","5973.2","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.632","0.520","-156.600","5894.2","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.643","0.525","-157.200","5815.4","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.630","0.530","-165.600","5737.9","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.583","0.536","-162.300","5660.5","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.575","0.541","-155.400","5579.9","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.573","0.546","-159.900","5498.9","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.589","0.552","-163.200","5418.2","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.575","0.557","-159.300","5338.4","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.568","0.563","-158.100","5260.4","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.555","0.568","-164.100","5180.2","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.550","0.574","-161.100","5098.0","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.572","0.579","-158.700","5016.9","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.591","0.585","-160.200","4935.2","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.588","0.590","-169.800","4855.0","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.542","0.596","-172.200","4776.4","9.000","9.000","6.422","4.245","0.282"
