"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.817","0.000","-286.800","13993.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.179","0.000","-308.700","13999.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.607","0.010","-260.400","13994.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.039","0.018","-312.300","13998.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.414","0.023","-267.900","13997.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.833","0.028","-340.800","13997.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.118","0.033","-263.100","13998.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.392","0.037","-249.600","13994.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.548","0.041","-109.500","14000.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.933","0.045","-156.000","13994.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.020","0.048","-190.500","14002.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.144","0.052","-185.400","13994.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.141","0.055","-179.400","14002.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.259","0.058","-146.100","13994.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.424","0.061","-139.500","14002.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.541","0.065","-143.700","13987.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.618","0.068","-130.800","13959.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.769","0.071","-93.600","13901.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.845","0.074","-162.000","13844.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.838","0.079","-98.700","13782.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.931","0.083","-145.800","13715.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.915","0.087","-104.400","13651.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","11.049","0.091","-176.400","13576.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.971","0.094","-170.100","13511.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.993","0.097","-159.900","13428.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.941","0.101","-129.000","13355.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.956","0.103","-150.600","13269.0","6.000","7.000","12.167","6.367","0.052"
