"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.516","0.000","-301.200","13994.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.968","0.000","-243.300","13997.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.463","0.010","-319.500","13993.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.801","0.018","-276.600","13999.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.341","0.023","-292.200","13994.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.683","0.028","-313.800","14000.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.164","0.032","-267.900","13993.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.364","0.037","-258.600","14001.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.583","0.040","-87.900","13993.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.980","0.044","-162.900","14001.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.133","0.048","-189.300","13995.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.246","0.051","-179.100","14001.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.418","0.054","-116.700","13997.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.663","0.057","-184.200","14001.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.652","0.060","-148.200","13999.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.837","0.063","-133.800","13990.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.869","0.065","-144.300","13958.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.985","0.068","-138.900","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.941","0.071","-135.300","13848.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.987","0.075","-124.800","13781.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.943","0.079","-135.600","13724.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.936","0.082","-121.500","13651.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.900","0.085","-165.300","13589.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.872","0.088","-156.600","13513.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.771","0.091","-169.500","13444.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.653","0.094","-104.100","13363.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.639","0.097","-156.300","13283.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.411","0.100","-116.100","13205.9","6.000","7.000","12.056","6.322","0.054"
