"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.741","0.000","-276.900","13993.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.098","0.000","-291.300","14001.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.551","0.010","-283.800","13992.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.928","0.018","-306.300","14000.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.334","0.023","-280.500","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.764","0.028","-302.100","13999.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.118","0.033","-299.100","13995.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.283","0.037","-240.600","13999.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.563","0.041","-88.500","13997.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.948","0.045","-173.400","13998.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.993","0.048","-194.700","13999.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.150","0.052","-158.700","13996.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.347","0.055","-135.000","14001.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.482","0.058","-195.600","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.474","0.061","-143.700","14003.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.639","0.064","-143.400","13987.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.644","0.067","-157.800","13960.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.670","0.070","-139.500","13900.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.643","0.074","-144.900","13849.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.637","0.078","-135.300","13781.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.559","0.082","-152.100","13722.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.484","0.086","-123.300","13653.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.499","0.090","-174.000","13586.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.384","0.094","-179.700","13515.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.299","0.098","-171.000","13437.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.210","0.101","-121.500","13363.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.165","0.105","-168.600","13277.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.938","0.108","-144.600","13204.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.910","0.112","-125.700","13122.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.708","0.115","-155.400","13055.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.612","0.118","-110.700","12985.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.465","0.122","-146.700","12923.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.286","0.125","-105.300","12868.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.198","0.128","-127.800","12809.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.998","0.131","-108.000","12766.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.931","0.135","-117.900","12711.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.688","0.138","-114.000","12669.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.666","0.141","-97.500","12618.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.436","0.145","-139.800","12568.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.313","0.148","-78.900","12521.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.222","0.152","-123.600","12462.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.008","0.155","-105.000","12412.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.947","0.159","-101.100","12347.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.746","0.162","-110.400","12288.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.713","0.166","-90.000","12223.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.520","0.169","-121.800","12152.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.451","0.173","-78.300","12089.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.384","0.176","-110.100","12013.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.216","0.180","-104.700","11945.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.202","0.183","-91.800","11873.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.059","0.187","-112.500","11796.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.007","0.190","-90.000","11730.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.915","0.194","-108.600","11653.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.821","0.197","-97.500","11583.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.766","0.201","-91.200","11515.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.665","0.204","-109.800","11442.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.599","0.207","-88.200","11382.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.544","0.210","-92.400","11315.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.439","0.213","-104.400","11251.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.372","0.216","-78.600","11195.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.313","0.220","-95.400","11128.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.193","0.223","-96.900","11069.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.177","0.227","-69.900","11010.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.081","0.231","-121.500","10941.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.007","0.235","-84.600","10882.7","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.002","0.239","-101.700","10814.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.904","0.243","-116.400","10743.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.893","0.247","-92.100","10679.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.857","0.251","-119.700","10604.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.803","0.256","-120.000","10531.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.799","0.260","-106.200","10463.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.770","0.265","-134.100","10385.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.727","0.270","-124.800","10312.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.742","0.274","-114.000","10243.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.706","0.279","-145.500","10164.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.687","0.284","-124.800","10092.4","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.698","0.289","-130.500","10023.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.664","0.294","-145.800","9945.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.671","0.299","-135.000","9873.4","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.649","0.304","-140.700","9804.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.646","0.309","-144.300","9726.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.640","0.314","-144.300","9652.6","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.638","0.319","-143.400","9582.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.643","0.324","-147.000","9504.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.648","0.329","-145.800","9427.2","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.633","0.335","-149.100","9355.9","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.651","0.340","-144.900","9275.8","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.669","0.345","-148.500","9196.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.649","0.350","-160.200","9122.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.658","0.355","-148.800","9042.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.657","0.360","-152.400","8959.4","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.654","0.366","-152.100","8883.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.649","0.371","-156.300","8804.7","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.652","0.376","-155.100","8719.7","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.654","0.381","-153.000","8638.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.642","0.387","-157.200","8560.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.635","0.392","-155.100","8476.3","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.649","0.397","-154.800","8389.7","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.638","0.402","-160.500","8308.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.625","0.408","-156.600","8226.4","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.632","0.413","-156.900","8136.8","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.622","0.418","-158.100","8049.0","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.605","0.424","-167.100","7965.9","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.588","0.429","-158.100","7877.9","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.613","0.434","-148.500","7785.9","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.610","0.440","-170.100","7697.0","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.592","0.445","-161.400","7611.0","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.608","0.451","-148.800","7520.0","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.648","0.456","-156.600","7434.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.627","0.462","-176.100","7391.3","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.620","0.467","-158.100","7367.4","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.641","0.473","-154.500","7326.6","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.647","0.478","-166.800","7262.8","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.635","0.483","-171.900","7196.0","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.622","0.489","-162.300","7129.7","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.627","0.494","-160.800","7056.4","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.632","0.500","-162.900","6983.6","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.643","0.505","-162.900","6912.4","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.626","0.511","-166.500","6842.4","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.641","0.516","-160.800","6766.6","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.647","0.522","-165.900","6688.5","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.668","0.527","-159.600","6612.0","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.680","0.533","-167.400","6537.4","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.671","0.539","-171.600","6460.4","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.674","0.544","-160.500","6379.3","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.696","0.550","-160.500","6298.7","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.710","0.555","-172.800","6220.0","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.679","0.561","-174.000","6142.7","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.677","0.566","-159.900","6062.6","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.670","0.572","-164.400","5979.9","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.672","0.577","-168.300","5898.1","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.674","0.583","-168.900","5818.1","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.664","0.588","-165.600","5739.4","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.656","0.594","-162.900","5658.7","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.664","0.599","-165.000","5575.2","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.654","0.605","-172.200","5492.0","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.654","0.611","-160.200","5410.6","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.676","0.616","-169.800","5330.7","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.667","0.622","-167.400","5250.2","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.666","0.628","-165.900","5167.4","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.652","0.633","-171.900","5084.2","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.654","0.639","-168.900","5001.3","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.664","0.645","-168.900","4919.3","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.670","0.650","-173.700","4839.1","9.000","9.000","6.420","4.240","0.286"
