"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.602","0.000","-270.300","13992.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.926","0.000","-310.500","13998.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.421","0.010","-259.200","13994.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.743","0.018","-311.100","13997.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.155","0.023","-274.500","13996.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.584","0.028","-288.600","13996.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.896","0.033","-289.500","13998.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.056","0.037","-239.400","13995.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.350","0.041","-94.500","14000.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.704","0.045","-156.000","13995.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.736","0.048","-189.000","14002.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.938","0.052","-153.600","13995.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.023","0.055","-182.100","14002.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.055","0.059","-177.600","13994.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.110","0.062","-154.200","14002.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.340","0.065","-126.000","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.287","0.068","-163.200","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.393","0.071","-121.500","13903.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.436","0.075","-127.800","13845.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.412","0.080","-148.200","13784.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.436","0.084","-115.500","13718.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.456","0.088","-136.200","13655.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.505","0.092","-160.800","13580.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.445","0.096","-190.800","13514.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.454","0.100","-152.700","13432.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.410","0.104","-143.400","13359.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.382","0.107","-154.500","13274.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.256","0.110","-142.200","13199.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.240","0.113","-132.300","13122.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.075","0.116","-141.000","13049.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.004","0.119","-115.800","12986.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.906","0.122","-125.700","12920.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.720","0.125","-121.800","12871.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.676","0.127","-104.100","12812.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.468","0.130","-108.300","12767.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.411","0.133","-105.300","12717.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.172","0.135","-105.900","12668.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.135","0.138","-81.600","12624.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.939","0.140","-111.900","12568.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.781","0.143","-81.900","12522.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.723","0.146","-90.000","12463.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.497","0.148","-88.800","12409.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.472","0.151","-80.400","12349.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.255","0.153","-89.400","12282.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.203","0.156","-66.600","12222.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.036","0.158","-97.500","12147.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.891","0.161","-69.000","12083.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.825","0.163","-78.600","12011.5","7.000","7.000","9.833","5.433","0.094"
