"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.746","0.000","-289.500","13999.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.038","0.000","-300.900","13993.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.442","0.010","-297.000","13998.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.881","0.018","-245.700","13996.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.283","0.023","-362.100","13998.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.555","0.028","-262.200","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.096","0.033","-307.800","13996.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.165","0.037","-241.800","13999.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.490","0.041","-83.400","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.848","0.045","-169.800","14001.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.007","0.049","-186.600","13995.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.094","0.052","-158.700","14003.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.354","0.056","-137.700","13994.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.492","0.059","-187.500","14002.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.538","0.062","-135.000","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.703","0.065","-161.100","13994.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.744","0.068","-132.900","13954.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.799","0.071","-151.500","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.804","0.074","-124.500","13846.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.843","0.079","-154.200","13787.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.754","0.083","-120.900","13724.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.806","0.086","-133.500","13655.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.749","0.090","-165.600","13592.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.766","0.094","-181.500","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.622","0.097","-160.200","13448.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.641","0.100","-120.300","13361.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.535","0.104","-172.200","13287.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.395","0.107","-111.600","13203.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.340","0.109","-150.600","13128.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.147","0.112","-114.000","13055.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.089","0.115","-129.000","12982.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.870","0.118","-106.800","12922.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.837","0.120","-116.100","12857.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.572","0.123","-113.100","12810.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.537","0.126","-75.300","12754.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.361","0.128","-130.800","12709.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.170","0.131","-71.400","12662.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.115","0.134","-103.500","12611.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.871","0.136","-88.800","12568.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.833","0.139","-87.000","12511.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.578","0.141","-91.800","12464.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.564","0.144","-68.400","12405.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.365","0.147","-106.200","12346.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.242","0.149","-58.200","12287.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.203","0.152","-91.200","12216.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.979","0.155","-84.900","12155.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.954","0.157","-64.200","12082.1","7.000","7.000","9.944","5.478","0.092"
