"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.539","0.000","-311.700","13997.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.905","0.000","-281.400","13993.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.309","0.010","-304.200","13996.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.693","0.018","-286.200","13996.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.105","0.023","-308.100","13995.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.510","0.028","-267.900","13998.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.912","0.033","-312.600","13995.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.993","0.037","-225.000","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.347","0.041","-87.900","13994.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.626","0.045","-166.200","14002.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.807","0.048","-175.800","13995.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.873","0.052","-176.400","14003.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.138","0.055","-122.100","13995.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.253","0.059","-186.900","14001.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.382","0.062","-122.100","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.511","0.065","-166.500","13993.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.574","0.068","-113.100","13956.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.690","0.071","-150.300","13904.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.676","0.074","-130.200","13848.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.733","0.079","-140.700","13785.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.683","0.083","-124.500","13725.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.746","0.086","-132.300","13653.6","6.000","6.000","12.375","6.500","0.042"
