"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.596","0.000","-278.400","14000.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.904","0.000","-334.800","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.265","0.010","-262.500","14000.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.871","0.018","-255.900","13992.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.149","0.023","-354.900","14000.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.524","0.028","-273.000","13994.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.988","0.033","-278.700","14000.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.133","0.037","-250.500","13996.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.403","0.041","-114.900","13999.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.752","0.045","-134.700","13998.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.907","0.048","-208.500","13997.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.022","0.052","-138.300","13999.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.272","0.055","-165.900","13996.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.369","0.059","-144.000","14001.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.544","0.062","-158.100","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.618","0.065","-141.600","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.737","0.068","-137.700","13952.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.792","0.070","-124.200","13906.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.869","0.074","-147.600","13840.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.810","0.078","-135.000","13785.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.876","0.082","-115.800","13715.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.864","0.086","-144.300","13651.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.875","0.089","-150.600","13579.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.848","0.093","-191.700","13506.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.768","0.096","-132.600","13432.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.771","0.099","-154.500","13347.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.629","0.102","-128.400","13273.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.560","0.104","-143.700","13187.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.383","0.107","-120.000","13118.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.318","0.110","-129.000","13041.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.100","0.112","-120.300","12976.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.034","0.114","-94.200","12914.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.823","0.117","-137.700","12855.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.667","0.119","-69.600","12808.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.578","0.122","-115.500","12751.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.328","0.124","-87.000","12710.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.248","0.126","-94.200","12658.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.002","0.129","-92.700","12613.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.950","0.131","-69.900","12563.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.679","0.134","-117.900","12508.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.586","0.136","-41.400","12460.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.468","0.139","-108.300","12396.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.230","0.141","-72.300","12342.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.218","0.144","-68.100","12275.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.954","0.146","-99.600","12208.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.920","0.149","-46.800","12144.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.718","0.152","-108.600","12068.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.603","0.154","-53.100","12003.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.532","0.157","-85.800","11928.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.327","0.160","-89.100","11854.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.323","0.162","-46.500","11786.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.149","0.165","-99.000","11707.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.064","0.168","-65.100","11640.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.992","0.171","-74.700","11566.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.828","0.173","-87.600","11494.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.781","0.176","-57.000","11432.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.669","0.178","-87.900","11360.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.536","0.181","-78.000","11300.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.517","0.183","-48.300","11239.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.373","0.186","-102.900","11173.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.284","0.189","-46.200","11118.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.254","0.192","-73.500","11054.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.084","0.195","-87.300","10990.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.108","0.198","-48.900","10932.2","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.016","0.202","-109.200","10862.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.920","0.205","-78.600","10796.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.973","0.209","-66.000","10731.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.848","0.213","-126.600","10655.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.832","0.217","-74.100","10587.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.873","0.221","-96.000","10515.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.764","0.225","-136.800","10436.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.782","0.230","-78.000","10368.5","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.810","0.234","-120.300","10294.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.695","0.238","-132.900","10215.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.775","0.243","-77.100","10147.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.772","0.247","-147.000","10073.3","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.681","0.251","-122.700","9996.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.773","0.256","-93.900","9928.1","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.745","0.260","-155.700","9853.9","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.684","0.265","-123.600","9776.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.756","0.270","-108.600","9707.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.742","0.274","-153.600","9632.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.671","0.279","-127.200","9553.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.747","0.283","-111.600","9482.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.719","0.288","-151.800","9406.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.660","0.292","-131.400","9324.9","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.729","0.297","-120.600","9249.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.712","0.302","-147.000","9174.7","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.654","0.306","-142.500","9091.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.705","0.311","-120.900","9012.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.715","0.316","-146.700","8937.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.628","0.320","-150.900","8854.6","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.663","0.325","-121.200","8771.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.668","0.330","-154.200","8694.7","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.619","0.334","-144.000","8613.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.624","0.339","-129.300","8526.9","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.635","0.344","-141.900","8444.8","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.611","0.349","-146.100","8364.8","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.597","0.354","-143.400","8277.7","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.603","0.359","-139.200","8189.8","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.617","0.364","-143.100","8107.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.621","0.369","-147.000","8021.2","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.571","0.374","-156.300","7930.0","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.613","0.379","-126.300","7840.0","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.618","0.384","-154.500","7755.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.579","0.389","-158.700","7665.3","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.574","0.394","-138.300","7571.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.608","0.399","-145.500","7482.3","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.611","0.404","-150.600","7419.5","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.591","0.409","-156.600","7349.9","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.580","0.414","-144.600","7261.2","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.613","0.419","-143.100","7183.9","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.628","0.424","-156.600","7110.0","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.600","0.429","-159.600","7033.2","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.613","0.434","-140.100","6957.8","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.667","0.439","-141.900","6886.0","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.657","0.444","-168.300","6816.4","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.634","0.450","-149.700","6743.5","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.666","0.455","-144.300","6667.4","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.678","0.460","-154.800","6592.8","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.690","0.465","-153.600","6519.8","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.687","0.470","-154.800","6445.9","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.675","0.475","-154.500","6367.1","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.676","0.480","-147.300","6288.2","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.717","0.485","-148.500","6210.0","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.718","0.490","-161.400","6133.7","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.690","0.495","-152.700","6055.3","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.704","0.500","-149.400","5973.2","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.710","0.505","-152.700","5892.2","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.719","0.510","-156.900","5812.6","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.696","0.515","-156.600","5734.2","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.684","0.520","-156.000","5654.7","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.663","0.526","-151.800","5572.3","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.665","0.531","-155.400","5490.6","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.664","0.536","-153.000","5409.2","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.649","0.541","-155.400","5328.8","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.642","0.546","-154.500","5249.7","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.627","0.551","-153.900","5168.4","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.610","0.557","-156.900","5085.3","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.607","0.562","-152.700","5002.8","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.607","0.567","-159.300","4921.5","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.583","0.572","-157.500","4840.7","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.593","0.578","-153.600","4760.9","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.578","0.583","-159.600","4679.4","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.575","0.589","-155.700","4596.2","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.589","0.594","-157.500","4514.2","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.597","0.599","-160.200","4432.1","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.582","0.605","-165.300","4350.9","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.570","0.610","-163.200","4271.1","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.568","0.616","-166.200","4189.6","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.538","0.621","-164.100","4107.3","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.545","0.627","-160.200","4024.2","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.567","0.632","-158.400","3942.4","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.561","0.638","-172.800","3859.5","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.535","0.644","-166.500","3777.5","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.533","0.649","-167.700","3696.4","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.508","0.655","-174.600","3615.9","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.495","0.660","-166.500","3533.9","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.490","0.666","-164.700","3451.8","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.487","0.672","-167.400","3369.2","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.504","0.678","-166.500","3287.3","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.520","0.683","-163.500","3204.4","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.511","0.689","-177.300","3122.6","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.476","0.695","-178.500","3040.5","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.472","0.701","-174.000","2958.8","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.454","0.707","-175.800","2877.9","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.430","0.713","-183.900","2795.2","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.386","0.719","-179.100","2713.2","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.351","0.725","-180.300","2631.4","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.297","0.731","-183.000","2548.7","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","5.252","0.737","-182.700","2466.8","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","5.222","0.743","-186.000","2384.6","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","5.179","0.749","-187.200","2302.6","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","5.133","0.756","-190.800","2221.6","10.000","10.000","6.400","4.200","0.346"
"174","2","6.000","5.082","0.762","-187.200","2139.7","10.000","10.000","6.400","4.200","0.348"
"175","2","6.000","5.046","0.769","-188.700","2056.8","10.000","10.000","6.400","4.200","0.350"
"176","3","6.160","4.993","0.775","-195.000","1974.2","11.000","11.000","6.400","4.200","0.352"
"177","3","6.320","4.940","0.782","-204.000","1892.7","11.000","11.000","6.317","4.000","0.354"
"178","3","6.480","4.888","0.789","-201.300","1810.1","11.000","11.000","6.233","3.800","0.356"
"179","3","6.640","4.818","0.798","-213.000","1727.0","11.000","11.000","6.150","3.600","0.358"
"180","3","6.800","4.732","0.811","-214.500","1644.7","11.000","11.000","6.067","3.400","0.360"
"181","3","6.960","4.645","0.828","-221.700","1562.3","11.000","11.000","5.983","3.200","0.362"
"182","3","7.120","4.538","0.847","-239.700","1478.3","12.000","12.000","5.900","3.000","0.364"
"183","3","7.280","4.614","0.867","-308.100","1393.5","12.000","12.000","5.800","2.833","0.366"
"184","3","7.440","4.723","0.887","-501.900","1310.3","12.000","12.000","5.700","2.667","0.368"
