"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.525","0.000","-314.400","13999.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.955","0.000","-260.400","13995.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.323","0.010","-315.000","13998.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.688","0.018","-285.000","13996.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.124","0.023","-297.900","13996.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.542","0.028","-278.400","13998.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.822","0.033","-330.900","13995.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.956","0.037","-199.200","14000.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.270","0.041","-131.700","13994.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.440","0.045","-169.200","14001.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.400","0.048","-216.000","13993.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.440","0.052","-189.300","14002.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.740","0.055","-106.800","13994.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.690","0.059","-221.100","14002.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.966","0.062","-75.300","13996.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.005","0.066","-183.900","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.188","0.069","-76.800","13956.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.278","0.072","-162.300","13905.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.397","0.076","-102.300","13849.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.448","0.081","-144.000","13787.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.540","0.085","-97.200","13726.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.642","0.090","-139.500","13655.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.679","0.094","-163.200","13593.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.817","0.098","-168.900","13516.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.728","0.101","-179.100","13448.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.911","0.105","-99.300","13363.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.757","0.108","-193.200","13287.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.848","0.110","-89.400","13204.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.727","0.113","-172.500","13127.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.695","0.115","-100.500","13055.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.616","0.118","-132.600","12981.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.464","0.120","-111.000","12921.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.412","0.121","-107.400","12854.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.171","0.123","-111.900","12806.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","10.193","0.125","-65.100","12751.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.852","0.127","-135.300","12704.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.846","0.128","-39.300","12658.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.620","0.130","-105.600","12606.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.460","0.131","-64.800","12563.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.345","0.133","-68.100","12506.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.113","0.135","-75.900","12458.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","9.079","0.136","-39.300","12401.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.770","0.138","-96.600","12340.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.770","0.139","-17.100","12284.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.531","0.141","-84.600","12212.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.397","0.142","-47.400","12151.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.303","0.144","-41.400","12078.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","8.074","0.146","-80.400","12007.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","8.051","0.147","-18.900","11939.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.830","0.149","-76.200","11861.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.750","0.151","-31.500","11794.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.646","0.152","-39.600","11718.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.468","0.154","-73.500","11644.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.416","0.155","-15.300","11577.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.272","0.157","-63.900","11500.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","7.142","0.158","-48.000","11435.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","7.100","0.160","-17.700","11367.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.916","0.161","-76.200","11299.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.851","0.163","-17.400","11242.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.773","0.164","-41.100","11176.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.582","0.166","-64.200","11115.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.591","0.168","0.900","11059.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.444","0.170","-66.900","10991.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.344","0.173","-45.900","10933.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.366","0.175","-24.300","10868.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.184","0.178","-92.100","10798.5","8.000","8.000","7.700","4.760","0.130"
