"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.766","0.000","-299.700","13998.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.223","0.000","-267.000","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.565","0.010","-325.200","14000.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.924","0.018","-278.100","13995.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.431","0.023","-285.600","13998.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.783","0.028","-303.300","13997.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.111","0.032","-317.100","13997.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.342","0.037","-179.700","13999.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.603","0.041","-151.200","13995.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.876","0.045","-124.500","14002.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.033","0.048","-219.000","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.062","0.052","-153.900","14003.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.371","0.055","-130.500","13995.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.407","0.058","-190.800","14003.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.528","0.061","-129.900","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.565","0.064","-166.500","13995.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.663","0.067","-116.700","13955.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.689","0.070","-165.600","13906.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.689","0.074","-117.300","13847.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.685","0.078","-153.300","13787.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.646","0.082","-105.300","13724.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.648","0.086","-156.600","13656.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.593","0.090","-146.100","13592.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.638","0.094","-192.000","13516.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.440","0.097","-161.400","13448.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.511","0.101","-124.200","13363.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.336","0.104","-173.400","13289.0","6.000","7.000","12.167","6.367","0.052"
