"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.575","0.000","-274.200","13997.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.064","0.000","-302.100","13993.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.364","0.010","-294.300","14000.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.853","0.018","-281.100","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.271","0.023","-306.900","14002.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.661","0.028","-289.500","13993.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.065","0.032","-299.700","14001.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.305","0.037","-219.000","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.503","0.041","-137.100","14000.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.887","0.044","-104.400","13996.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.087","0.048","-241.200","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.089","0.051","-136.200","13998.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.360","0.055","-162.600","13999.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.423","0.058","-159.000","13999.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.544","0.061","-167.700","13997.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.557","0.064","-138.000","13993.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.693","0.066","-140.100","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.673","0.069","-138.900","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.735","0.073","-129.000","13841.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.668","0.077","-151.500","13786.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.690","0.081","-96.600","13714.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.650","0.085","-160.500","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.624","0.088","-138.000","13580.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.609","0.092","-206.400","13512.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.456","0.095","-124.200","13435.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.489","0.098","-159.900","13354.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.300","0.102","-136.500","13277.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.258","0.105","-139.500","13192.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.047","0.108","-136.500","13123.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.001","0.111","-120.000","13045.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.772","0.113","-137.400","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.693","0.116","-88.500","12917.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.528","0.119","-150.900","12862.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.311","0.122","-75.300","12809.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.285","0.125","-121.200","12756.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.002","0.127","-103.200","12714.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.971","0.130","-93.000","12659.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.707","0.133","-108.000","12617.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.674","0.136","-72.900","12564.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.457","0.139","-128.400","12512.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.299","0.142","-60.600","12461.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.265","0.145","-114.000","12399.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.988","0.148","-90.000","12346.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.003","0.151","-75.000","12278.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.758","0.154","-113.100","12215.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.701","0.157","-66.300","12148.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.571","0.160","-108.000","12074.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.412","0.163","-78.300","12009.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.390","0.167","-86.100","11932.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.176","0.170","-103.800","11863.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.144","0.173","-70.800","11791.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.026","0.176","-100.800","11714.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.887","0.179","-87.300","11648.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.853","0.182","-79.500","11572.4","7.000","8.000","9.140","5.192","0.106"
