"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.621","0.000","-316.200","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.945","0.000","-250.500","13992.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.442","0.010","-347.400","13998.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.724","0.018","-256.500","13994.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.211","0.023","-333.900","13999.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.519","0.028","-299.400","13996.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.862","0.033","-330.000","13995.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.009","0.037","-229.200","13997.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.102","0.041","-129.000","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.438","0.045","-125.100","14001.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.632","0.049","-248.700","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.633","0.052","-102.300","14003.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.867","0.056","-189.600","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.988","0.059","-132.000","14003.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.111","0.063","-150.900","13995.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.243","0.066","-152.400","13995.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.287","0.069","-124.800","13955.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.423","0.072","-145.500","13906.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.459","0.076","-124.200","13846.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.534","0.081","-160.800","13787.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.474","0.085","-79.200","13724.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.611","0.090","-174.000","13656.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.568","0.094","-131.400","13591.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.669","0.097","-210.600","13514.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.598","0.101","-136.800","13445.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.615","0.105","-159.000","13359.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.586","0.108","-154.800","13284.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.482","0.111","-126.900","13199.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.482","0.114","-169.200","13126.0","6.000","7.000","11.944","6.278","0.056"
