"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.600","0.000","-291.900","14000.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.936","0.000","-301.500","13993.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.329","0.010","-276.900","13998.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.775","0.018","-282.600","13994.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.218","0.023","-322.500","13999.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.556","0.028","-261.000","13996.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.067","0.033","-331.800","13998.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.285","0.037","-203.700","13998.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.517","0.041","-142.500","13996.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.788","0.045","-126.000","14000.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.065","0.048","-225.600","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.041","0.052","-165.600","14003.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.250","0.055","-134.700","13995.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.421","0.058","-185.400","14003.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.481","0.061","-127.500","13995.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.611","0.064","-179.400","13994.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.579","0.067","-117.900","13953.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.675","0.070","-161.400","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.630","0.073","-122.700","13844.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.659","0.078","-169.800","13785.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.516","0.082","-99.000","13720.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.574","0.086","-154.500","13652.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.463","0.089","-150.300","13587.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.478","0.093","-198.000","13512.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.322","0.097","-142.500","13444.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.296","0.100","-133.500","13357.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.217","0.104","-169.800","13284.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.046","0.107","-111.000","13198.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.018","0.110","-159.000","13126.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.809","0.113","-110.400","13051.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.756","0.116","-150.600","12980.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.520","0.119","-95.700","12920.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.504","0.122","-138.900","12856.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.233","0.125","-105.300","12810.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.177","0.128","-90.300","12754.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.035","0.131","-144.900","12711.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.816","0.134","-65.100","12661.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.800","0.138","-132.300","12612.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.534","0.141","-77.100","12568.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.540","0.144","-112.500","12511.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.274","0.147","-93.600","12464.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.247","0.150","-78.300","12403.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.105","0.153","-126.000","12346.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.926","0.156","-61.200","12285.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.929","0.159","-115.500","12215.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.684","0.162","-81.900","12154.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.692","0.166","-85.200","12079.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.527","0.169","-108.000","12012.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.439","0.172","-72.000","11940.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.376","0.175","-106.500","11864.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.218","0.178","-77.400","11797.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.201","0.181","-84.000","11719.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.072","0.184","-101.100","11649.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.979","0.186","-67.500","11579.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.940","0.189","-97.200","11504.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.800","0.192","-86.100","11441.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.744","0.195","-65.100","11371.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.679","0.197","-108.300","11306.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.537","0.200","-57.600","11248.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.530","0.203","-77.700","11181.2","7.000","8.000","8.420","4.976","0.118"
