"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.567","0.000","-263.400","13991.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.942","0.000","-312.600","13997.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.365","0.010","-268.500","13994.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.804","0.018","-315.000","13999.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.122","0.023","-293.400","13997.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.622","0.028","-283.500","13996.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.931","0.033","-314.100","13998.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.066","0.037","-243.600","13995.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.345","0.041","-76.500","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.745","0.045","-165.300","13995.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.759","0.048","-208.800","14002.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.965","0.052","-135.900","13995.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.163","0.055","-154.200","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.300","0.058","-169.800","13994.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.341","0.062","-156.300","14002.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.496","0.065","-126.000","13988.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.538","0.068","-168.000","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.589","0.070","-115.500","13901.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.639","0.074","-158.400","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.581","0.078","-123.000","13782.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.625","0.083","-134.100","13715.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.585","0.086","-122.100","13651.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.653","0.090","-175.200","13577.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.539","0.094","-177.000","13512.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.552","0.097","-146.100","13430.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.459","0.101","-148.800","13357.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.446","0.104","-139.800","13271.3","6.000","7.000","12.167","6.367","0.052"
