"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.459","0.000","-303.900","13999.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.759","0.000","-257.700","13994.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.211","0.010","-332.400","13999.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.481","0.018","-281.100","13995.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.883","0.023","-362.400","13997.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","7.979","0.028","-342.000","13996.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.142","0.033","-261.300","13995.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.504","0.037","-198.600","13999.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.720","0.041","-177.900","13995.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","8.848","0.046","-72.000","14001.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.227","0.050","-204.000","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.290","0.054","-167.700","14002.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.421","0.057","-106.200","13995.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.690","0.061","-215.100","14003.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.669","0.065","-119.700","13995.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.861","0.068","-174.900","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.886","0.071","-120.000","13954.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.054","0.075","-164.400","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.031","0.079","-115.500","13847.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.160","0.084","-150.300","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.144","0.089","-114.600","13724.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.221","0.094","-147.600","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.263","0.098","-154.800","13591.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.361","0.102","-212.400","13515.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.330","0.107","-160.800","13446.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.315","0.110","-140.100","13360.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.420","0.114","-181.800","13285.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.266","0.117","-134.700","13201.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.303","0.121","-160.200","13126.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.154","0.124","-126.900","13052.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.138","0.127","-157.500","12979.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.966","0.129","-102.600","12919.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.925","0.132","-155.700","12853.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.733","0.135","-103.800","12805.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.609","0.137","-103.200","12749.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.539","0.140","-135.000","12704.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.272","0.142","-68.100","12656.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.249","0.145","-130.500","12605.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.980","0.147","-62.100","12562.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.943","0.149","-119.700","12504.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.688","0.152","-71.700","12457.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.589","0.154","-76.800","12398.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.480","0.157","-116.700","12339.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.214","0.159","-34.800","12280.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.228","0.162","-123.300","12209.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.937","0.164","-53.700","12148.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.902","0.167","-85.200","12074.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.710","0.169","-90.900","12004.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.561","0.172","-41.100","11935.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.520","0.174","-118.200","11857.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.264","0.177","-44.100","11791.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.270","0.180","-78.900","11714.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.102","0.182","-96.000","11642.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.961","0.185","-35.700","11573.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.941","0.187","-105.600","11497.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.744","0.190","-66.300","11433.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.679","0.193","-54.000","11364.8","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.612","0.195","-111.000","11297.5","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.423","0.198","-42.000","11240.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.413","0.200","-78.300","11173.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.292","0.203","-93.000","11114.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.153","0.206","-28.200","11055.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.177","0.210","-105.300","10988.3","7.000","8.000","8.060","4.868","0.124"
