"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.662","0.000","-303.000","13995.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.953","0.000","-297.000","13998.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.392","0.010","-290.700","13993.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.796","0.018","-280.500","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.192","0.023","-305.400","13994.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.552","0.028","-292.800","14001.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.937","0.033","-297.900","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.186","0.037","-225.600","14001.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.358","0.041","-124.800","13993.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.691","0.045","-155.100","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.863","0.049","-194.400","13995.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.929","0.052","-184.500","14001.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.025","0.056","-140.400","13997.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.229","0.059","-183.900","14000.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.223","0.062","-153.000","13999.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.318","0.065","-156.000","13990.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.338","0.068","-137.700","13958.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.427","0.071","-125.400","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.471","0.075","-139.500","13848.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.496","0.080","-128.700","13782.2","6.000","6.000","12.250","6.500","0.038"
