"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.648","0.000","-261.000","13999.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.081","0.000","-297.600","13993.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.352","0.010","-320.700","13999.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.835","0.018","-244.500","13994.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.271","0.023","-315.600","13999.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.622","0.028","-297.900","13996.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.024","0.033","-288.300","13997.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.154","0.037","-231.900","13998.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.483","0.041","-98.700","13995.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.779","0.045","-154.200","14000.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.874","0.048","-209.700","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.010","0.052","-132.900","14002.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.286","0.055","-158.700","13995.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.341","0.058","-172.500","14003.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.449","0.062","-147.300","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.550","0.065","-139.500","13995.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.613","0.067","-151.500","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.632","0.070","-135.900","13905.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.696","0.074","-139.800","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.627","0.078","-149.100","13784.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.596","0.082","-119.400","13720.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.579","0.086","-150.300","13652.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.552","0.090","-155.700","13585.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.515","0.094","-196.800","13509.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.382","0.097","-145.500","13440.1","6.000","7.000","12.389","6.456","0.048"
