"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.628","0.000","-262.800","13993.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.149","0.000","-306.600","13999.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.504","0.010","-279.600","13995.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.968","0.018","-292.800","13999.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.410","0.023","-304.500","13997.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.819","0.028","-306.300","13997.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.218","0.032","-268.200","13998.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.587","0.036","-255.300","13994.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.705","0.040","-105.300","14000.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.067","0.044","-147.900","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.330","0.047","-193.200","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.407","0.051","-176.400","13995.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.557","0.054","-136.800","14003.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.723","0.057","-165.900","13994.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.831","0.060","-167.100","14002.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.857","0.062","-132.300","13987.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.952","0.065","-152.700","13958.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.954","0.068","-116.700","13901.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","11.037","0.071","-158.100","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.923","0.075","-117.300","13781.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.936","0.078","-139.200","13715.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.851","0.082","-112.500","13650.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.848","0.085","-176.700","13577.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.754","0.088","-162.600","13513.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.660","0.092","-143.100","13430.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.583","0.095","-130.800","13357.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.483","0.097","-131.700","13271.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.377","0.100","-139.500","13197.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.188","0.103","-97.500","13120.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.159","0.106","-150.300","13047.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.892","0.108","-83.100","12983.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.864","0.111","-120.600","12916.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.657","0.113","-101.700","12866.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.523","0.116","-96.300","12807.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.376","0.119","-101.100","12764.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.216","0.121","-77.700","12713.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.137","0.124","-122.700","12664.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.855","0.126","-50.700","12620.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.876","0.129","-113.700","12565.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.601","0.132","-74.700","12519.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.540","0.134","-72.600","12459.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.405","0.137","-102.300","12405.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.232","0.140","-56.400","12345.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.200","0.142","-105.600","12278.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.960","0.145","-55.500","12218.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.978","0.148","-93.300","12144.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.755","0.150","-81.300","12079.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.688","0.153","-57.900","12007.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.615","0.156","-102.000","11933.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.432","0.158","-54.600","11866.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.429","0.161","-85.800","11788.0","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.261","0.163","-75.900","11720.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.193","0.166","-61.800","11647.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.120","0.168","-88.800","11573.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.985","0.171","-60.300","11509.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.930","0.173","-70.200","11436.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.835","0.175","-80.700","11373.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.733","0.177","-50.700","11312.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.694","0.180","-78.900","11244.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.558","0.182","-59.100","11189.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.513","0.184","-53.700","11125.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.444","0.187","-77.700","11061.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.311","0.190","-42.900","11005.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.321","0.193","-80.700","10936.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.203","0.196","-82.800","10872.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.133","0.199","-55.500","10809.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.139","0.202","-93.900","10734.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.024","0.206","-79.500","10668.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.002","0.209","-72.900","10598.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.991","0.213","-106.200","10521.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.922","0.217","-87.000","10453.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.912","0.220","-87.600","10379.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.910","0.224","-115.800","10302.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.838","0.228","-86.700","10234.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.866","0.232","-106.200","10158.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.852","0.236","-119.100","10082.5","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.815","0.240","-93.600","10014.6","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.843","0.245","-117.900","9939.7","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.843","0.249","-120.900","9863.3","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.817","0.253","-102.300","9795.3","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.834","0.257","-118.800","9720.2","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.860","0.261","-126.600","9642.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.813","0.266","-109.800","9572.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.848","0.270","-123.900","9496.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.855","0.274","-130.500","9416.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.818","0.278","-113.700","9344.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.840","0.282","-119.100","9268.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.868","0.287","-137.700","9186.3","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.818","0.291","-119.700","9109.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.834","0.295","-113.400","9034.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.877","0.299","-144.000","8951.8","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.814","0.304","-121.800","8870.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.821","0.308","-116.700","8795.6","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.842","0.312","-138.600","8713.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.829","0.316","-126.000","8628.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.810","0.321","-120.000","8549.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.830","0.325","-131.700","8469.2","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.813","0.329","-130.800","8382.1","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.810","0.334","-120.900","8297.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.811","0.338","-131.700","8216.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.797","0.342","-132.900","8129.8","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.798","0.347","-119.700","8039.5","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.811","0.351","-131.700","7953.7","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.808","0.355","-136.500","7869.3","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.779","0.360","-121.500","7778.4","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.813","0.364","-129.600","7686.4","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.808","0.368","-135.000","7598.8","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.797","0.373","-130.500","7511.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.793","0.377","-126.600","7419.3","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.816","0.382","-134.100","7326.4","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.805","0.386","-132.000","7238.2","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.802","0.391","-132.600","7150.6","8.000","9.000","6.458","4.315","0.222"
