"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.700","0.000","-277.800","13997.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.126","0.000","-313.200","13995.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.437","0.010","-283.500","13998.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.837","0.018","-295.200","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.156","0.023","-315.300","14001.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.547","0.028","-286.800","13994.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.868","0.033","-311.100","14002.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.113","0.037","-211.500","13993.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.257","0.041","-144.600","14001.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.574","0.045","-103.800","13994.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.815","0.049","-244.500","14001.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.725","0.052","-147.900","13995.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.933","0.056","-178.500","14000.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.993","0.059","-144.000","13998.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.125","0.062","-176.400","13999.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.148","0.066","-129.300","13991.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.300","0.069","-150.600","13954.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.236","0.072","-144.600","13904.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.323","0.076","-126.600","13838.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.284","0.081","-147.900","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.324","0.086","-102.600","13710.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.352","0.090","-154.500","13649.4","6.000","6.000","12.375","6.500","0.042"
