"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.541","0.000","-306.000","13995.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.926","0.000","-296.400","13996.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.341","0.010","-261.600","13997.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.776","0.018","-310.800","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.143","0.023","-285.900","13999.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.587","0.028","-321.000","13994.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.874","0.033","-287.400","14001.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.136","0.037","-233.400","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.334","0.041","-112.500","14002.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.705","0.045","-145.200","13994.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.761","0.048","-220.500","14002.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.919","0.052","-123.000","13995.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.115","0.055","-194.700","14001.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.205","0.058","-128.400","13997.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.354","0.062","-176.400","14001.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.396","0.065","-126.000","13991.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.496","0.068","-167.400","13955.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.467","0.070","-114.600","13904.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.593","0.074","-159.000","13840.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.475","0.078","-127.800","13783.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.550","0.083","-121.500","13711.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.497","0.087","-134.400","13650.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.571","0.091","-155.100","13573.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.496","0.094","-196.500","13506.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.464","0.098","-133.800","13423.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.438","0.101","-166.500","13346.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.325","0.105","-133.500","13265.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.259","0.108","-156.600","13186.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.106","0.111","-118.500","13115.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.054","0.114","-150.900","13040.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.820","0.117","-114.300","12981.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.817","0.119","-113.700","12915.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.563","0.122","-141.000","12866.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.473","0.125","-82.500","12811.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.342","0.128","-127.200","12762.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.162","0.130","-89.400","12717.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.071","0.133","-108.000","12664.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.865","0.136","-83.100","12622.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.830","0.139","-100.500","12566.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.562","0.142","-102.600","12518.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.531","0.144","-69.000","12462.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.345","0.147","-119.400","12401.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.192","0.150","-66.600","12346.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.121","0.153","-99.300","12275.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.913","0.156","-84.000","12215.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.880","0.158","-80.400","12143.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.682","0.161","-98.100","12072.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.631","0.164","-67.500","12005.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.497","0.167","-95.400","11927.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.379","0.170","-71.400","11861.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.314","0.173","-83.100","11785.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.166","0.175","-88.200","11712.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.103","0.178","-71.100","11645.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.990","0.181","-85.500","11568.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.892","0.183","-83.400","11504.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.807","0.186","-70.500","11436.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.720","0.189","-84.000","11368.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.613","0.191","-71.700","11311.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.555","0.194","-71.700","11244.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.437","0.196","-80.100","11184.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.364","0.199","-61.500","11126.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.286","0.202","-76.800","11059.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.189","0.205","-74.400","11002.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.157","0.209","-72.600","10937.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.047","0.212","-96.300","10868.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.010","0.216","-72.300","10807.0","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.970","0.219","-95.400","10734.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.890","0.223","-97.200","10663.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.876","0.227","-89.700","10596.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.836","0.231","-108.300","10519.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.801","0.235","-102.000","10447.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.790","0.240","-100.500","10378.4","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.758","0.244","-121.200","10299.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.736","0.248","-105.600","10228.4","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.745","0.253","-118.500","10158.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.699","0.257","-129.300","10079.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.726","0.262","-107.400","10009.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.713","0.266","-134.700","9939.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.690","0.271","-124.500","9861.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.731","0.276","-116.400","9790.3","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.712","0.280","-139.800","9720.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.708","0.285","-129.900","9641.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.742","0.289","-121.800","9568.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.730","0.294","-147.000","9496.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.711","0.299","-131.700","9417.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.753","0.303","-127.200","9340.0","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.739","0.308","-146.100","9267.7","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.736","0.313","-129.900","9187.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.758","0.317","-132.600","9106.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.756","0.322","-148.200","9032.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.736","0.327","-139.200","8952.5","8.000","9.000","6.482","4.365","0.180"
