"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.710","0.000","-273.000","13992.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.017","0.000","-311.100","14000.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.501","0.010","-261.900","13992.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.947","0.018","-298.200","14001.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.276","0.023","-321.300","13992.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.633","0.028","-290.400","14000.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.086","0.033","-275.700","13993.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.216","0.037","-258.600","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.528","0.041","-86.700","13996.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.847","0.045","-175.800","13999.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.952","0.048","-174.300","13998.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.117","0.052","-181.800","13997.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.292","0.055","-135.300","14000.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.447","0.058","-179.400","13996.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.474","0.062","-147.000","14001.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.645","0.065","-147.300","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.628","0.067","-154.500","13961.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.766","0.070","-120.300","13902.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.733","0.074","-154.800","13852.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.768","0.078","-120.300","13784.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.741","0.082","-139.500","13727.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.787","0.086","-108.600","13656.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.779","0.090","-184.800","13591.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.744","0.094","-160.200","13520.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.682","0.097","-171.000","13445.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.631","0.100","-119.100","13370.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.593","0.103","-162.000","13284.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.400","0.106","-135.900","13211.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.403","0.109","-121.500","13127.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.169","0.112","-144.900","13060.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.143","0.114","-97.800","12986.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.947","0.117","-141.900","12923.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.831","0.120","-89.700","12863.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.669","0.122","-123.600","12805.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.523","0.125","-84.900","12760.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.417","0.127","-110.400","12704.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.149","0.130","-99.600","12663.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.152","0.132","-68.700","12611.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.874","0.135","-122.700","12563.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.805","0.137","-59.700","12515.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.629","0.140","-101.700","12457.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.474","0.143","-78.300","12408.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.389","0.145","-82.500","12343.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.165","0.148","-90.300","12286.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.156","0.150","-61.200","12221.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.908","0.153","-104.100","12150.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.854","0.156","-58.500","12087.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.732","0.158","-86.100","12011.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.576","0.161","-82.500","11944.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.528","0.164","-62.100","11871.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.353","0.166","-90.600","11795.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.286","0.169","-69.000","11728.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.168","0.171","-75.300","11650.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.050","0.174","-83.100","11582.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.977","0.176","-63.900","11511.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.860","0.179","-78.900","11438.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.744","0.181","-74.100","11377.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.689","0.184","-59.100","11308.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.552","0.186","-89.400","11245.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.486","0.189","-52.500","11188.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.398","0.191","-74.700","11120.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.250","0.194","-72.900","11064.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.241","0.197","-55.500","11002.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.114","0.201","-90.300","10934.7","7.000","8.000","7.940","4.832","0.126"
