"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.684","0.000","-272.700","13997.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.070","0.000","-313.500","13993.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.475","0.010","-265.800","13998.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.007","0.018","-297.300","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.344","0.023","-309.600","14001.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.792","0.028","-290.400","13993.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.166","0.032","-292.800","14002.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.363","0.037","-240.000","13993.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.569","0.041","-118.500","14001.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.973","0.044","-132.300","13994.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.081","0.048","-222.900","14001.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.182","0.051","-142.800","13996.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.395","0.055","-166.200","14000.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.509","0.058","-150.900","13998.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.593","0.061","-173.400","13999.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.626","0.064","-133.200","13992.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.717","0.067","-156.600","13954.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.721","0.069","-121.500","13905.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.763","0.073","-160.800","13839.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.658","0.077","-125.100","13783.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.722","0.081","-119.400","13711.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.629","0.085","-146.100","13650.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.656","0.089","-149.100","13574.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.571","0.092","-197.100","13506.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.492","0.096","-133.200","13425.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.430","0.099","-159.600","13345.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.315","0.102","-131.100","13266.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.226","0.105","-159.300","13186.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.043","0.109","-117.900","13117.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.998","0.112","-139.800","13040.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.750","0.114","-120.900","12982.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.742","0.117","-100.800","12916.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.492","0.120","-141.000","12865.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.388","0.123","-82.800","12812.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.267","0.126","-128.400","12761.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.080","0.129","-87.000","12718.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.999","0.132","-116.700","12663.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.764","0.135","-89.400","12622.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.770","0.138","-94.200","12566.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.478","0.141","-116.100","12517.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.453","0.144","-62.400","12462.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.296","0.147","-124.200","12400.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.127","0.150","-72.600","12345.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.090","0.153","-95.100","12275.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.865","0.156","-93.600","12213.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.866","0.159","-77.100","12143.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.652","0.162","-109.200","12071.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.606","0.165","-64.800","12005.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.497","0.168","-104.700","11927.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.330","0.171","-85.200","11860.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.312","0.174","-77.100","11786.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.141","0.177","-102.600","11710.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.083","0.179","-69.300","11644.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.993","0.182","-89.400","11567.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.856","0.185","-86.700","11501.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.810","0.188","-72.000","11435.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.698","0.190","-96.000","11365.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.579","0.193","-72.900","11308.2","7.000","8.000","8.660","5.048","0.114"
