"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.720","0.000","-280.500","14000.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.120","0.000","-294.600","13992.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.550","0.010","-273.300","14001.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.991","0.018","-291.000","13992.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.325","0.023","-316.200","14000.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.806","0.028","-257.400","13995.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.079","0.032","-332.700","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.276","0.037","-201.600","13997.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.579","0.041","-127.800","13999.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.890","0.044","-130.500","13998.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.002","0.048","-218.700","13997.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.096","0.052","-145.200","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.366","0.055","-155.100","13996.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.392","0.058","-167.700","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.539","0.061","-147.900","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.530","0.064","-160.800","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.653","0.067","-121.500","13953.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.626","0.070","-157.800","13907.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.672","0.073","-129.900","13842.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.560","0.078","-155.400","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.592","0.082","-101.700","13718.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.517","0.086","-167.100","13653.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.497","0.090","-147.300","13584.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.424","0.094","-204.300","13510.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.289","0.097","-145.500","13437.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.300","0.101","-150.900","13352.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.081","0.105","-159.300","13278.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.058","0.108","-131.100","13192.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.846","0.111","-150.300","13123.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.777","0.115","-123.000","13046.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.586","0.118","-139.800","12981.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.520","0.121","-108.000","12919.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.332","0.124","-145.500","12858.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.172","0.128","-101.700","12810.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.123","0.131","-117.600","12753.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.875","0.134","-125.100","12712.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.834","0.137","-96.000","12659.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.639","0.141","-115.800","12614.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.579","0.144","-98.400","12565.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.386","0.147","-119.400","12510.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.294","0.151","-86.100","12462.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.195","0.154","-112.800","12399.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.007","0.157","-104.100","12345.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.988","0.161","-87.000","12279.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.779","0.164","-116.700","12212.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.736","0.167","-83.700","12149.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.579","0.171","-114.300","12073.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.478","0.174","-91.500","12008.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.406","0.177","-95.100","11933.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.262","0.180","-104.700","11859.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.217","0.184","-81.900","11791.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.090","0.187","-101.700","11712.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.013","0.190","-93.600","11645.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.924","0.193","-88.800","11572.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.822","0.196","-99.900","11499.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.744","0.199","-87.900","11436.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.656","0.202","-87.900","11364.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.547","0.205","-97.800","11303.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.482","0.208","-75.600","11242.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.391","0.211","-96.600","11175.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.272","0.214","-82.200","11120.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.241","0.218","-73.200","11055.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.123","0.221","-96.300","10991.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.087","0.225","-78.900","10933.6","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.011","0.229","-101.100","10863.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.936","0.232","-100.800","10797.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.913","0.237","-91.500","10732.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.862","0.241","-113.700","10657.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.810","0.245","-110.100","10589.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.788","0.250","-104.400","10517.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.753","0.254","-124.500","10439.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.704","0.259","-118.800","10370.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.715","0.263","-118.800","10296.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.666","0.268","-138.300","10218.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.660","0.273","-116.400","10149.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.655","0.278","-134.700","10075.0","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.632","0.283","-138.600","9997.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.622","0.288","-132.000","9929.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.608","0.293","-139.800","9854.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.604","0.298","-144.600","9776.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.572","0.303","-139.800","9708.2","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.591","0.308","-140.400","9633.4","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.573","0.313","-149.400","9554.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.553","0.318","-144.000","9482.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.566","0.323","-147.000","9407.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.572","0.329","-150.600","9325.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.525","0.334","-159.000","9250.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.544","0.339","-146.100","9175.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.556","0.345","-154.800","9092.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.509","0.350","-162.000","9012.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.537","0.355","-148.500","8937.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.533","0.361","-155.400","8854.4","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.525","0.366","-163.800","8770.7","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.512","0.371","-158.100","8693.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.517","0.377","-160.800","8612.4","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.509","0.382","-156.000","8525.7","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.496","0.388","-168.900","8443.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.488","0.393","-162.900","8363.5","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.501","0.399","-150.600","8276.0","8.000","9.000","6.473","4.346","0.196"
