"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.399","0.000","-289.800","13997.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.807","0.000","-311.400","13993.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.190","0.010","-273.000","13999.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.601","0.018","-316.500","13994.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.955","0.023","-280.200","14001.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.427","0.028","-301.800","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.748","0.033","-326.100","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.005","0.037","-185.100","13992.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.245","0.041","-160.500","14000.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.503","0.045","-124.500","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.765","0.048","-220.200","14001.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.751","0.052","-147.300","13997.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.035","0.055","-156.900","13999.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.091","0.058","-168.600","13998.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.252","0.062","-132.000","13997.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.373","0.065","-160.800","13992.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.412","0.068","-132.000","13953.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.506","0.071","-120.300","13904.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.609","0.074","-146.700","13839.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.596","0.079","-135.000","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.607","0.083","-104.400","13711.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.688","0.087","-134.400","13650.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.683","0.090","-150.900","13575.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.763","0.094","-185.700","13507.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.681","0.097","-132.000","13427.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.744","0.100","-143.700","13347.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.661","0.103","-135.600","13269.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.637","0.106","-140.100","13186.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.513","0.108","-123.000","13117.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.452","0.111","-129.900","13038.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.290","0.113","-114.000","12977.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.181","0.115","-101.400","12911.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.081","0.117","-131.400","12857.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.833","0.119","-70.800","12806.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.804","0.121","-111.600","12754.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.539","0.123","-78.000","12712.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.469","0.125","-89.700","12657.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.236","0.127","-76.200","12615.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.128","0.129","-74.400","12561.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.957","0.131","-92.100","12510.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.748","0.133","-44.700","12458.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.711","0.135","-93.000","12395.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.431","0.137","-55.500","12341.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.397","0.139","-64.800","12271.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.188","0.142","-75.300","12209.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.065","0.144","-53.400","12140.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.951","0.146","-78.300","12067.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.771","0.148","-50.700","12002.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.719","0.150","-69.900","11924.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.524","0.152","-58.200","11856.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.461","0.154","-59.700","11783.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.332","0.157","-69.600","11707.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.203","0.159","-51.300","11641.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.133","0.161","-64.800","11565.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.006","0.163","-61.800","11498.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.905","0.165","-48.900","11433.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.833","0.167","-71.400","11362.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.692","0.169","-55.500","11305.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.614","0.171","-48.000","11240.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.547","0.173","-70.500","11177.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.400","0.176","-44.400","11121.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.370","0.178","-51.300","11055.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.257","0.181","-63.600","10994.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.191","0.184","-49.800","10934.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.149","0.187","-79.500","10862.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.045","0.190","-65.400","10801.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.025","0.193","-70.200","10731.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.974","0.196","-89.100","10657.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.917","0.200","-75.000","10592.2","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.895","0.203","-87.000","10517.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.875","0.207","-97.500","10441.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.824","0.211","-81.900","10373.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.840","0.215","-101.100","10296.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.805","0.219","-105.600","10221.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.791","0.223","-90.300","10153.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.810","0.227","-117.000","10076.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.776","0.231","-105.300","10002.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.783","0.235","-104.100","9935.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.787","0.239","-119.400","9858.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.787","0.243","-111.000","9783.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.775","0.247","-107.400","9715.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.802","0.251","-124.200","9637.4","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.779","0.255","-117.000","9560.9","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.765","0.260","-111.000","9490.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.796","0.264","-127.800","9412.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.791","0.268","-121.200","9332.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.764","0.272","-116.100","9260.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.794","0.276","-124.200","9181.7","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.795","0.280","-129.900","9099.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.762","0.285","-110.100","9023.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.807","0.289","-127.500","8946.2","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.787","0.293","-133.800","8862.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.761","0.297","-115.200","8781.8","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.792","0.301","-123.000","8705.2","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.782","0.306","-135.000","8621.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.758","0.310","-119.400","8535.9","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.775","0.314","-122.700","8457.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.778","0.318","-136.200","8374.5","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.743","0.323","-120.900","8286.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.750","0.327","-129.900","8201.5","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.747","0.331","-126.900","8119.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.738","0.336","-130.200","8031.1","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.731","0.340","-126.300","7939.9","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.729","0.344","-126.600","7853.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.722","0.349","-132.300","7768.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.722","0.353","-130.800","7676.1","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.707","0.357","-135.000","7583.0","8.000","9.000","6.464","4.327","0.212"
