"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.458","0.000","-283.500","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.862","0.000","-299.100","13993.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.177","0.010","-287.700","14000.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.677","0.018","-268.800","13992.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.055","0.023","-338.400","14000.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.365","0.028","-264.900","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.875","0.033","-308.400","13999.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.008","0.037","-239.100","13994.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.225","0.041","-106.800","14000.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.605","0.045","-129.300","13997.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.781","0.048","-226.200","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.794","0.052","-133.800","13998.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.088","0.055","-169.800","13997.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.082","0.059","-180.900","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.128","0.062","-163.200","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.251","0.065","-126.900","13994.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.314","0.068","-171.000","13953.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.266","0.071","-120.900","13907.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.435","0.074","-114.900","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.390","0.079","-157.800","13787.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.445","0.083","-75.600","13717.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.510","0.088","-159.600","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.540","0.092","-122.400","13582.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.620","0.095","-208.800","13511.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.568","0.099","-112.200","13435.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.678","0.102","-173.100","13352.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.554","0.105","-116.700","13276.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.637","0.108","-144.300","13191.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.459","0.111","-144.900","13122.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.483","0.114","-98.700","13044.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.327","0.116","-157.500","12982.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.254","0.118","-74.700","12917.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.157","0.121","-157.200","12860.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.933","0.123","-55.500","12811.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.968","0.125","-121.800","12756.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.624","0.127","-100.800","12714.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.640","0.129","-56.400","12661.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.380","0.130","-118.500","12617.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.282","0.132","-42.600","12566.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.119","0.134","-120.000","12513.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.892","0.136","-30.600","12464.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.909","0.138","-84.900","12401.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.553","0.140","-84.300","12347.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.569","0.142","-27.000","12280.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.343","0.143","-102.900","12215.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.217","0.145","-29.100","12150.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.135","0.147","-80.700","12075.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.901","0.149","-60.000","12010.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.893","0.151","-39.000","11934.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.672","0.153","-84.300","11863.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.600","0.155","-25.800","11793.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.512","0.157","-72.600","11715.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.329","0.159","-61.800","11650.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.296","0.161","-27.300","11575.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.157","0.163","-87.000","11504.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","7.020","0.164","-30.300","11441.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","7.006","0.166","-44.700","11369.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.817","0.168","-81.600","11311.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.748","0.169","-12.000","11248.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.716","0.171","-74.100","11183.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.511","0.173","-47.100","11128.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.526","0.176","-15.000","11063.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.394","0.178","-85.200","11001.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.303","0.181","-28.500","10942.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.301","0.183","-57.900","10872.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.158","0.186","-86.100","10809.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.135","0.189","-37.500","10742.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.114","0.192","-87.600","10667.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.004","0.195","-84.600","10601.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.019","0.199","-47.400","10528.3","8.000","8.000","7.220","4.616","0.138"
