"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.492","0.000","-282.000","13997.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.916","0.000","-277.800","13993.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.311","0.010","-287.400","14000.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.709","0.018","-309.600","13992.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.018","0.023","-291.600","14000.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.395","0.028","-320.100","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.365","0.033","-407.400","14001.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.120","0.037","-282.900","13993.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.240","0.041","-98.100","14000.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","8.724","0.045","-102.600","13995.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","8.810","0.049","-216.000","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","8.906","0.053","-104.700","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.283","0.057","-114.600","13999.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.425","0.061","-147.300","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.615","0.065","-146.100","13998.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.773","0.069","-135.900","13992.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.928","0.072","-147.300","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.057","0.076","-107.700","13905.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.243","0.080","-159.300","13840.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.207","0.085","-141.000","13785.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.372","0.090","-100.500","13713.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.468","0.095","-142.500","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.598","0.099","-172.200","13577.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.631","0.103","-207.600","13509.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.694","0.107","-134.100","13430.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.765","0.111","-179.100","13350.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.733","0.114","-139.500","13272.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.778","0.117","-153.900","13189.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.719","0.120","-125.100","13120.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.721","0.122","-146.700","13042.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.554","0.125","-122.100","12981.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.631","0.127","-96.000","12915.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.402","0.129","-160.500","12862.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.328","0.131","-62.400","12810.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","10.226","0.133","-131.700","12758.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","10.033","0.134","-78.600","12716.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.963","0.136","-100.800","12661.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.692","0.137","-84.000","12619.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.692","0.139","-56.700","12565.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.363","0.140","-115.800","12514.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.320","0.142","-19.200","12462.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","9.128","0.143","-103.500","12399.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.917","0.145","-44.700","12345.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.888","0.146","-46.800","12275.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.585","0.148","-85.200","12212.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.586","0.149","-14.100","12144.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.332","0.151","-92.400","12070.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","8.219","0.152","-24.000","12005.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","8.132","0.154","-48.600","11927.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.894","0.155","-73.800","11859.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.866","0.157","-13.500","11786.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.673","0.159","-71.100","11710.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.565","0.160","-33.000","11644.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.486","0.162","-34.500","11568.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.288","0.163","-73.200","11501.2","7.000","8.000","9.020","5.156","0.108"
