"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.466","0.000","-292.500","13993.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.816","0.000","-284.100","13999.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.275","0.010","-277.800","13993.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.667","0.018","-290.400","14001.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.039","0.023","-299.100","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.525","0.028","-274.800","14001.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.868","0.033","-319.200","13993.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.167","0.037","-198.900","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.378","0.041","-127.500","13994.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.711","0.045","-152.400","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.909","0.048","-179.700","13997.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.045","0.052","-177.600","14000.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.186","0.055","-139.800","13999.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.409","0.058","-169.800","13998.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.459","0.061","-147.000","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.590","0.064","-162.900","13989.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.591","0.067","-129.600","13959.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.683","0.070","-149.400","13900.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.679","0.073","-137.400","13849.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.656","0.077","-140.700","13781.7","6.000","6.000","12.250","6.500","0.038"
