"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.358","0.000","-277.200","13999.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.823","0.000","-290.400","13992.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.112","0.010","-310.200","14000.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.516","0.018","-288.300","13992.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.888","0.023","-300.000","14000.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.283","0.028","-286.500","13992.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.578","0.033","-322.800","13998.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.770","0.037","-201.300","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.029","0.041","-125.400","13999.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.359","0.045","-131.700","13997.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.533","0.049","-208.200","13998.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.594","0.052","-153.000","13999.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.878","0.056","-140.700","13996.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.978","0.059","-162.300","14000.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.108","0.062","-160.500","13996.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.190","0.065","-135.600","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.306","0.069","-143.400","13953.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.352","0.071","-136.800","13907.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.441","0.075","-133.200","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.423","0.080","-138.000","13787.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.514","0.084","-106.800","13717.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.546","0.088","-144.300","13655.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.591","0.092","-145.500","13584.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.615","0.096","-197.700","13512.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.553","0.099","-137.700","13437.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.629","0.103","-151.800","13353.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.517","0.106","-144.000","13278.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.506","0.109","-138.000","13193.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.351","0.111","-135.900","13124.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.311","0.114","-122.400","13047.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.136","0.116","-129.300","12983.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.059","0.119","-105.600","12918.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.884","0.121","-131.100","12859.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.731","0.123","-80.700","12810.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.671","0.125","-109.800","12756.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.416","0.128","-98.100","12714.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.358","0.130","-79.500","12661.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.139","0.132","-92.400","12618.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.065","0.134","-75.300","12568.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.842","0.136","-100.200","12514.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.729","0.139","-56.100","12466.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.631","0.141","-93.600","12403.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.397","0.143","-70.200","12349.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.381","0.145","-65.400","12283.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.140","0.148","-84.300","12217.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.100","0.150","-51.000","12152.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.921","0.152","-91.500","12077.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.798","0.154","-49.800","12013.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.740","0.157","-72.000","11937.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.539","0.159","-72.000","11865.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.505","0.161","-52.200","11796.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.357","0.163","-78.300","11717.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.259","0.165","-54.300","11651.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.184","0.168","-65.100","11577.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.042","0.170","-71.700","11505.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.967","0.172","-46.500","11443.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.881","0.174","-69.000","11370.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.749","0.176","-60.600","11311.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.687","0.178","-48.600","11249.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.586","0.180","-68.100","11183.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.462","0.182","-48.300","11129.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.429","0.184","-51.300","11064.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.282","0.187","-69.600","11001.6","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.248","0.190","-43.500","10944.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.170","0.193","-81.300","10873.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.079","0.196","-64.500","10810.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.069","0.199","-65.400","10744.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.993","0.202","-91.800","10669.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.944","0.206","-72.600","10603.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.941","0.209","-83.700","10530.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.877","0.213","-101.100","10453.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.859","0.217","-73.500","10385.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.884","0.221","-105.000","10310.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.804","0.225","-108.600","10233.4","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.831","0.229","-78.900","10165.3","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.839","0.233","-122.400","10089.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.789","0.237","-107.100","10014.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.827","0.241","-93.300","9946.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.817","0.245","-126.600","9871.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.790","0.249","-110.100","9795.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.830","0.253","-99.600","9727.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.826","0.257","-134.100","9651.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.783","0.261","-112.800","9573.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.833","0.265","-102.600","9504.3","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.822","0.269","-138.900","9428.1","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.783","0.274","-116.400","9347.5","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.816","0.278","-107.100","9274.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.813","0.282","-132.600","9198.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.774","0.286","-129.000","9115.9","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.787","0.290","-108.600","9039.1","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.816","0.294","-131.100","8964.0","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.739","0.299","-136.800","8881.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.756","0.303","-107.100","8799.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.799","0.307","-121.500","8723.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.753","0.311","-144.000","8641.5","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.723","0.316","-117.000","8556.5","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.759","0.320","-117.600","8476.9","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.746","0.324","-134.400","8396.7","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.717","0.329","-133.800","8309.7","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.715","0.333","-125.100","8223.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.740","0.337","-120.000","8142.8","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.730","0.342","-140.100","8056.3","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.684","0.346","-132.900","7965.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.696","0.350","-120.000","7878.0","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.741","0.355","-120.300","7793.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.716","0.359","-150.600","7703.4","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.671","0.364","-128.700","7610.8","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.715","0.368","-116.100","7521.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.746","0.373","-132.300","7436.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.723","0.377","-149.700","7347.0","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.685","0.382","-130.800","7255.3","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.728","0.386","-117.300","7172.0","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.765","0.391","-139.500","7093.9","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.723","0.395","-150.600","7013.6","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.717","0.400","-124.500","6937.3","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.753","0.404","-124.800","6865.5","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.792","0.409","-135.300","6795.8","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.769","0.413","-141.600","6720.9","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.766","0.418","-133.500","6646.2","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.784","0.422","-124.200","6573.1","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.797","0.427","-138.300","6502.4","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.794","0.431","-140.700","6428.7","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.786","0.436","-137.400","6350.3","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.780","0.440","-130.500","6272.7","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.788","0.445","-132.900","6196.2","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.796","0.449","-135.000","6121.0","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.786","0.453","-138.300","6041.9","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.772","0.458","-135.900","5959.9","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.761","0.462","-133.500","5879.0","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.761","0.467","-135.000","5799.5","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.765","0.471","-132.000","5721.9","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.767","0.476","-141.600","5641.0","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.733","0.480","-141.300","5557.7","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.735","0.485","-125.700","5475.6","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.739","0.490","-135.000","5394.8","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.750","0.494","-132.600","5315.7","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.752","0.499","-141.600","5235.0","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.732","0.503","-141.900","5152.2","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.722","0.508","-139.800","5069.4","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.713","0.513","-135.600","4986.7","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.721","0.517","-137.100","4905.5","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.719","0.522","-134.700","4825.8","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.729","0.527","-140.400","4744.5","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.702","0.531","-148.800","4661.7","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.692","0.536","-140.400","4578.5","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.668","0.541","-144.900","4495.5","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.648","0.546","-138.600","4413.5","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.641","0.550","-143.700","4332.4","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.622","0.555","-144.900","4252.2","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.598","0.560","-151.500","4169.6","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.561","0.565","-146.700","4085.9","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.534","0.570","-150.000","4002.9","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.499","0.575","-147.900","3919.7","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.500","0.580","-139.800","3837.5","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.490","0.585","-144.600","3755.9","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.483","0.590","-146.400","3674.5","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.467","0.596","-160.200","3592.6","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.432","0.601","-158.400","3510.6","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.397","0.606","-162.300","3427.1","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.366","0.611","-159.000","3344.0","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.343","0.617","-159.300","3261.0","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.316","0.622","-157.200","3178.5","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.314","0.628","-154.200","3096.3","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.290","0.634","-161.700","3014.1","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.260","0.639","-165.000","2932.4","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.236","0.645","-165.900","2850.6","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.202","0.651","-178.200","2767.4","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.138","0.657","-178.800","2685.0","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.088","0.663","-184.200","2601.9","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.026","0.669","-183.600","2519.3","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","4.964","0.675","-185.100","2437.0","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","4.927","0.681","-175.500","2353.6","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","4.899","0.687","-183.300","2271.6","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","4.846","0.694","-185.400","2190.1","10.000","10.000","6.400","4.200","0.346"
"174","2","6.000","4.762","0.701","-191.400","2106.8","10.000","10.000","6.400","4.200","0.348"
"175","2","6.000","4.712","0.707","-192.600","2024.0","10.000","10.000","6.400","4.200","0.350"
"176","3","6.160","4.684","0.714","-193.500","1942.1","11.000","11.000","6.400","4.200","0.352"
"177","3","6.320","4.610","0.721","-219.600","1859.6","11.000","11.000","6.317","4.000","0.354"
