"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.719","0.000","-327.300","13999.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.041","0.000","-248.700","13996.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.532","0.010","-333.900","13997.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.838","0.018","-258.600","13997.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.310","0.023","-328.800","13995.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.627","0.028","-288.000","13999.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.052","0.033","-293.400","13995.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.382","0.037","-246.300","14002.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.503","0.041","-90.600","13995.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.899","0.045","-168.600","14003.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.080","0.048","-183.000","13995.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.206","0.052","-169.800","14002.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.319","0.055","-137.100","13995.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.585","0.058","-181.800","14002.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.596","0.061","-143.400","13997.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.725","0.064","-155.100","13993.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.777","0.067","-138.300","13957.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.821","0.070","-149.100","13904.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.807","0.073","-136.200","13848.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.809","0.078","-148.500","13785.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.746","0.082","-127.800","13726.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.687","0.085","-130.500","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.677","0.089","-169.200","13593.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.608","0.093","-178.200","13514.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.539","0.096","-153.600","13446.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.417","0.100","-123.900","13363.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.432","0.103","-167.100","13286.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.193","0.106","-113.100","13205.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.163","0.109","-142.200","13127.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.988","0.112","-126.600","13058.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.865","0.115","-116.100","12983.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.731","0.118","-120.900","12925.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.580","0.121","-113.400","12860.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.456","0.124","-115.800","12811.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.251","0.126","-82.500","12758.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.224","0.129","-126.000","12709.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.959","0.132","-86.100","12665.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.907","0.135","-93.900","12612.2","7.000","7.000","10.944","5.878","0.074"
