"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.635","0.000","-302.700","13995.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.973","0.000","-312.600","13994.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.265","0.010","-269.100","13998.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.806","0.018","-283.800","13993.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.161","0.023","-317.400","14000.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.521","0.028","-281.400","13994.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.958","0.033","-282.300","14002.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.219","0.037","-241.200","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.379","0.041","-103.500","14002.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.737","0.045","-153.000","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.929","0.049","-210.600","14002.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.969","0.052","-141.900","13996.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.222","0.056","-163.500","14001.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.319","0.059","-155.100","13998.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.448","0.062","-159.600","14000.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.522","0.065","-134.700","13992.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.618","0.068","-166.500","13954.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.592","0.071","-113.400","13904.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.689","0.074","-163.500","13839.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.606","0.079","-126.300","13783.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.624","0.083","-129.300","13711.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.583","0.087","-132.600","13649.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.587","0.091","-162.000","13572.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.563","0.094","-189.600","13505.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.462","0.098","-137.400","13423.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.476","0.101","-158.700","13345.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.344","0.105","-133.500","13265.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.293","0.108","-153.900","13185.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.124","0.111","-117.600","13116.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.092","0.114","-147.300","13039.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.870","0.117","-114.900","12980.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.819","0.120","-108.300","12915.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.672","0.122","-138.300","12865.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.488","0.125","-81.000","12812.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.464","0.128","-129.900","12762.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.205","0.131","-83.400","12719.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.173","0.134","-118.500","12665.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.906","0.136","-86.100","12623.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.884","0.139","-94.800","12567.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.666","0.142","-108.300","12518.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.532","0.144","-60.000","12463.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.488","0.147","-119.100","12401.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.228","0.150","-58.800","12345.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.245","0.153","-96.900","12274.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.011","0.156","-87.000","12213.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.965","0.158","-71.700","12142.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.817","0.161","-106.500","12070.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.670","0.164","-52.200","12004.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.639","0.166","-105.600","11926.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.423","0.169","-74.100","11859.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.415","0.172","-69.600","11784.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.270","0.175","-95.400","11710.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.156","0.177","-56.100","11644.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.124","0.180","-91.500","11567.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.961","0.182","-76.500","11503.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.905","0.185","-59.400","11436.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.832","0.187","-95.700","11367.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.678","0.190","-58.500","11311.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.647","0.192","-68.700","11245.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.522","0.194","-95.700","11185.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.398","0.197","-35.400","11129.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.388","0.200","-93.300","11061.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.205","0.203","-67.500","11004.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.204","0.206","-50.700","10940.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.132","0.209","-111.900","10871.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.002","0.213","-57.900","10810.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.043","0.217","-79.200","10738.9","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.951","0.220","-114.900","10666.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.879","0.224","-63.300","10600.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.937","0.228","-107.700","10524.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.850","0.232","-123.600","10450.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.805","0.236","-67.800","10382.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.889","0.241","-130.200","10305.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.775","0.245","-121.200","10232.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.792","0.249","-72.900","10163.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.873","0.254","-147.900","10085.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.767","0.258","-119.400","10014.3","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.805","0.262","-87.000","9945.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.874","0.267","-150.600","9868.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.788","0.271","-127.800","9796.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.806","0.276","-88.500","9727.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.915","0.280","-156.900","9648.9","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.801","0.285","-133.500","9574.7","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.824","0.289","-91.200","9504.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.942","0.293","-156.600","9425.1","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.822","0.298","-142.800","9347.1","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.802","0.302","-93.300","9275.2","8.000","9.000","6.487","4.374","0.172"
