"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.761","0.000","-318.600","13993.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.185","0.000","-249.300","14000.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.661","0.010","-294.000","13993.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.017","0.018","-296.100","14001.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.520","0.023","-288.000","13993.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.861","0.028","-309.600","14001.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.287","0.032","-268.800","13993.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.471","0.037","-238.500","14000.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.737","0.041","-106.200","13995.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.044","0.044","-156.000","14000.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.182","0.048","-179.400","13997.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.314","0.051","-181.800","13999.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.494","0.054","-137.400","13999.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.618","0.057","-176.100","13997.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.672","0.060","-144.300","14001.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.746","0.063","-170.100","13989.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.749","0.066","-123.600","13961.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.838","0.069","-150.900","13901.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.769","0.072","-141.300","13851.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.741","0.076","-139.800","13784.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.672","0.080","-126.000","13727.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.675","0.084","-133.500","13655.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.572","0.088","-178.200","13592.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.541","0.092","-159.600","13520.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.415","0.095","-176.400","13446.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.349","0.099","-117.000","13370.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.239","0.102","-171.300","13286.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.069","0.105","-112.200","13213.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.023","0.108","-150.900","13129.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.779","0.112","-129.900","13063.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.757","0.115","-110.400","12987.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.528","0.118","-141.900","12926.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.461","0.121","-95.100","12865.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.265","0.124","-136.500","12809.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.160","0.127","-76.800","12764.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.033","0.130","-144.000","12709.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.800","0.133","-87.600","12668.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.807","0.137","-98.400","12615.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.527","0.140","-126.300","12569.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.526","0.143","-70.800","12519.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.319","0.146","-128.700","12463.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.228","0.149","-66.600","12413.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.120","0.152","-120.900","12348.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.923","0.156","-87.900","12292.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.951","0.159","-81.900","12225.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.699","0.162","-122.100","12156.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.695","0.165","-57.900","12092.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.544","0.168","-120.900","12016.1","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.431","0.171","-79.500","11950.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.400","0.175","-90.900","11875.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.201","0.178","-111.000","11801.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.203","0.181","-55.800","11734.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.063","0.184","-117.900","11656.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.963","0.187","-79.800","11590.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.931","0.190","-74.100","11518.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.777","0.192","-112.800","11446.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.728","0.195","-55.500","11386.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.661","0.198","-98.400","11316.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.507","0.200","-91.200","11255.6","7.000","8.000","8.540","5.012","0.116"
