"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.597","0.000","-285.000","13998.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.968","0.000","-300.000","13992.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.413","0.010","-288.900","13999.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.769","0.018","-310.200","13992.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.145","0.023","-277.800","14001.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.578","0.028","-303.000","13993.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.993","0.033","-316.800","14001.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.232","0.037","-204.900","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.492","0.041","-146.100","14000.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.731","0.045","-126.600","13995.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.091","0.048","-209.100","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.327","0.052","-157.500","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.327","0.055","-153.000","13999.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.482","0.058","-162.600","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.586","0.061","-154.200","13996.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.706","0.064","-141.600","13993.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.777","0.067","-152.400","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.828","0.070","-120.000","13906.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.881","0.073","-144.600","13841.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.812","0.077","-135.300","13786.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.872","0.081","-119.700","13715.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.791","0.085","-129.900","13655.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.822","0.088","-162.900","13581.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.697","0.092","-177.300","13513.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.694","0.095","-135.300","13436.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.585","0.098","-149.100","13355.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.585","0.101","-132.300","13278.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.373","0.104","-138.900","13194.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.238","0.106","-118.200","13125.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.117","0.109","-135.600","13047.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.944","0.112","-105.000","12986.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.889","0.114","-106.800","12920.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.624","0.117","-124.500","12863.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.588","0.120","-78.600","12812.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.389","0.122","-114.600","12758.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.255","0.125","-85.500","12716.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.113","0.127","-103.800","12661.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.952","0.130","-83.100","12619.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.873","0.133","-86.400","12566.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.636","0.135","-102.600","12515.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.614","0.138","-60.300","12464.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.381","0.140","-112.200","12402.6","7.000","7.000","10.500","5.700","0.082"
