"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.425","0.000","-285.900","13999.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.903","0.000","-263.700","13991.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.212","0.010","-329.100","13997.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.652","0.018","-245.100","13994.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.082","0.023","-321.000","13999.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.402","0.028","-300.300","13997.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.813","0.033","-292.200","13998.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.948","0.037","-226.200","13998.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.240","0.041","-124.200","13995.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.495","0.045","-140.100","13999.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.681","0.048","-201.900","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.741","0.052","-161.700","14002.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.951","0.055","-155.100","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.070","0.058","-155.400","14003.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.157","0.062","-166.800","13995.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.212","0.065","-150.000","13995.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.320","0.068","-120.600","13953.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.339","0.071","-159.000","13905.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.412","0.074","-115.800","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.412","0.079","-150.300","13785.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.455","0.083","-89.400","13721.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.513","0.087","-156.000","13652.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.509","0.091","-139.800","13586.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.593","0.095","-186.300","13510.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.495","0.099","-143.700","13441.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.583","0.102","-142.800","13355.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.454","0.105","-153.300","13281.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.464","0.108","-123.600","13196.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.322","0.111","-158.100","13124.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.249","0.114","-107.100","13050.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.129","0.116","-142.200","12980.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.993","0.119","-97.800","12920.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.891","0.121","-135.900","12857.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.668","0.124","-90.300","12811.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.646","0.126","-92.400","12755.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.359","0.128","-124.800","12712.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.307","0.130","-65.400","12663.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.106","0.133","-109.800","12613.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.970","0.135","-67.200","12569.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.837","0.137","-103.200","12512.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.635","0.140","-68.700","12465.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.597","0.142","-75.000","12404.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.317","0.144","-99.300","12347.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.292","0.147","-50.700","12285.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.091","0.149","-97.500","12215.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.983","0.152","-56.700","12154.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.877","0.154","-78.300","12079.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.695","0.156","-75.000","12012.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.672","0.159","-61.500","11941.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.471","0.161","-87.600","11864.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.417","0.164","-53.100","11798.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.306","0.166","-74.400","11720.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.168","0.168","-76.200","11650.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.103","0.171","-58.500","11580.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.985","0.173","-76.800","11505.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.889","0.175","-64.200","11443.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.815","0.177","-54.900","11373.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.697","0.180","-78.300","11309.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.629","0.182","-45.900","11251.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.545","0.184","-69.300","11184.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.441","0.186","-61.200","11128.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.394","0.189","-50.100","11068.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.285","0.192","-70.800","11001.6","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.242","0.195","-57.600","10944.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.184","0.198","-75.900","10877.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.085","0.201","-77.700","10809.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.103","0.204","-65.100","10747.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.015","0.208","-98.700","10673.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.977","0.211","-77.400","10602.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.990","0.215","-78.000","10534.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.924","0.219","-107.400","10455.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.909","0.222","-86.700","10384.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.925","0.226","-90.600","10314.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.862","0.230","-118.200","10234.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.884","0.234","-83.700","10164.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.893","0.238","-112.800","10093.0","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.836","0.242","-115.200","10014.9","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.885","0.246","-95.100","9945.5","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.857","0.250","-126.300","9874.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.841","0.254","-110.400","9796.4","8.000","9.000","6.495","4.391","0.158"
