"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.753","0.000","-306.900","13992.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.187","0.000","-265.200","14000.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.641","0.010","-290.700","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.950","0.018","-312.300","14000.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.429","0.023","-281.700","13992.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.789","0.028","-303.900","14000.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.165","0.032","-284.400","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.285","0.037","-239.400","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.627","0.041","-101.700","13995.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.918","0.044","-148.500","14000.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.998","0.048","-201.600","13997.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.114","0.052","-168.900","13999.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.317","0.055","-144.600","14000.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.405","0.058","-177.300","13997.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.453","0.061","-155.100","14001.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.552","0.064","-155.100","13988.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.569","0.067","-127.800","13960.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.639","0.070","-144.000","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.585","0.074","-145.200","13850.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.602","0.078","-133.200","13783.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.552","0.082","-125.100","13726.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.549","0.086","-140.700","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.493","0.090","-169.200","13591.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.458","0.094","-182.400","13519.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.339","0.098","-167.700","13446.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.318","0.101","-135.300","13370.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.165","0.105","-171.600","13285.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.040","0.108","-128.100","13212.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.966","0.112","-149.400","13129.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.763","0.115","-135.900","13062.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.702","0.118","-123.000","12987.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.502","0.121","-131.700","12925.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.410","0.125","-117.000","12865.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.213","0.128","-125.400","12809.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.142","0.131","-95.400","12763.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.950","0.134","-136.800","12708.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.801","0.137","-92.100","12667.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.756","0.141","-107.100","12614.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.507","0.144","-120.000","12568.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.483","0.147","-87.000","12518.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.292","0.151","-114.300","12462.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.233","0.154","-86.100","12412.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.089","0.157","-116.400","12347.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.970","0.160","-89.700","12291.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.918","0.164","-95.700","12224.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.720","0.167","-112.200","12155.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.718","0.170","-70.500","12092.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.535","0.173","-120.600","12015.0","7.000","7.000","9.833","5.433","0.094"
